Nome: MARACAJU
Codigo Estacao: A731
Latitude: -21.60916666
Longitude: -55.17749999
Altitude: 388.94
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;200;965,8;25,2;6,4;1,2;
2010-02-28;11;36,8;966,3;26,1;5,8;1,2;
2010-03-31;5;30,8;966,5;26;8,8;1,4;
2010-04-30;2;2;969,7;22,7;7,1;1,3;
2010-05-31;4;1,2;971;17,8;5,2;,9;
2010-06-30;4;1;972,3;19,2;5,4;,9;
2010-07-31;null;null;970,9;19,3;4,5;1,1;
2010-08-31;null;0;971,1;20;5,5;1,3;
2010-09-30;null;null;968,9;23,2;6,6;1,6;
2010-10-31;3;null;967,2;22,9;5,4;1,7;
2010-11-30;6;110,4;965,2;23,5;7;1,7;
2010-12-31;9;85,8;963,3;25,3;7;1,5;
2011-01-31;18;137,6;964,6;25,1;7,1;1,3;
2011-02-28;19;168,2;966;25,1;8,5;1,3;
2011-03-31;15;null;966,1;25;9,2;1,7;
2011-04-30;13;146,6;968,7;22,9;8,1;1,2;
2011-05-31;2;8,2;971,3;19,3;3,6;,9;
2011-06-30;8;16,8;971,2;17,2;4,7;,8;
2011-07-31;20;4,4;970,2;19,6;6,9;,8;
2011-08-31;3;13,2;970,4;20,9;8,1;1,3;
2011-09-30;9;57;970,4;22,2;6,8;1,4;
2011-10-31;15;72;966,1;24,5;7,4;1,5;
2011-11-30;12;132,2;966,1;24,4;11,6;1,7;
2011-12-31;6;null;965,1;25,2;7,6;1,4;
2012-01-31;null;null;null;null;4,5;null;
2012-02-29;12;null;null;24,4;5,8;null;
2012-03-31;12;66,6;968,3;24;7,4;1,1;
2012-04-30;null;null;968,4;22,9;5,9;,8;
2012-05-31;null;null;971;19,7;4,4;,8;
2012-06-30;5;69;971,3;18,4;6,5;,8;
2012-07-31;6;20,6;972;17,5;6,7;,8;
2012-08-31;1;,4;972,5;20,8;5,4;1,2;
2012-09-30;6;44,6;969,8;22,9;6,2;1,2;
2012-10-31;9;124,4;966,4;25,4;7,9;1,3;
2012-11-30;11;223;965,2;25,9;7,2;1,3;
2012-12-31;7;82;965;26,8;6,6;1,3;
2013-01-31;12;95;966,3;25,2;10,4;1,4;
2013-02-28;17;205,6;966,5;25,4;9,7;1,2;
2013-03-31;18;85,6;967,4;25,3;7,5;1,3;
2013-04-30;23;179,8;969,7;21,5;6,4;,8;
2013-05-31;5;null;970,3;20,5;7,1;,9;
2013-06-30;12;106,8;971;19,3;5,1;,6;
2013-07-31;5;30,8;973,2;17,7;4,7;,8;
2013-08-31;3;1,8;971,9;17,8;7,4;1,1;
2013-09-30;8;44,4;969,6;21,8;8,9;1,2;
2013-10-31;26;69,4;968,2;23,7;9,9;1,1;
2013-11-30;10;70,8;965,9;25,5;9;1,5;
2013-12-31;13;85,6;964,4;26,2;6,3;1,2;
2014-01-31;19;264,2;967,8;25;4,8;1;
2014-02-28;16;101,6;966,7;25,6;5,4;1,3;
2014-03-31;17;184;967,6;24,1;6,4;1;
2014-04-30;11;38;969,4;22,9;6,4;1,1;
2014-05-31;13;135,4;970,6;19;4,4;1;
2014-06-30;9;50;971,3;19,4;7;1,1;
2014-07-31;12;135,2;973,6;17,7;7;1;
2014-08-31;4;11,4;971,7;20,8;6,6;1,2;
2014-09-30;10;121,8;968,1;24,1;7,6;1,5;
2014-10-31;6;37,8;967,9;26,4;6,3;1,7;
2014-11-30;14;209,4;966,3;24,5;7,7;1,3;
2014-12-31;17;179,4;966;25,3;5,5;1,3;
2015-01-31;14;87,8;968,3;25,7;5,6;1,1;
2015-02-28;17;122,2;966,8;25,5;7,9;1,1;
2015-03-31;16;59,8;967,7;25;5,2;1;
2015-04-30;11;101;969,2;23,3;4,9;1,1;
2015-05-31;11;103;971,1;20;4,6;1;
2015-06-30;6;41,6;972,8;19,4;3,9;1;
2015-07-31;11;86,6;971,6;19;5,5;1;
2015-08-31;2;7,4;970,1;21,6;5,3;,9;
2015-09-30;8;163,4;967,6;23,5;6,6;1,1;
2015-10-31;12;175,8;967,6;25;7,8;1,5;
2015-11-30;14;145;965,6;25,5;6,5;1,2;
2015-12-31;17;249,2;967;25,4;6,7;1,1;
2016-01-31;15;null;null;24,9;4,8;null;
2016-02-29;null;null;null;null;4,4;null;
2016-03-31;null;null;null;null;5,5;null;
2016-04-30;2;null;null;null;5,8;null;
2016-05-31;14;115,6;972,4;19;4,1;,9;
2016-06-30;7;46;974,3;16,5;3,5;,7;
2016-07-31;4;33,6;972,1;18,3;5,7;1;
2016-08-31;7;84,2;970,7;19,9;6;1,1;
2016-09-30;5;34;971,4;20,6;7,7;1,2;
2016-10-31;8;113,8;967,7;24;8,3;1,1;
2016-11-30;10;37,6;966,8;24,9;5,8;1,4;
2016-12-31;20;204,2;966,4;24,9;6;1,2;
2017-01-31;12;179,4;967;25,5;7,7;,8;
2017-02-28;17;185;966,8;25,5;5,9;,8;
2017-03-31;9;87;967,8;25,3;7,2;1;
2017-04-30;13;188,6;969,2;21,6;6,7;,9;
2017-05-31;14;105,6;968,8;22;4,8;,8;
2017-06-30;12;69,8;971,3;18,2;5,7;,9;
2017-07-31;null;null;null;null;4,4;null;
2017-08-31;1;null;null;null;6,2;null;
2017-09-30;3;22;969,7;24,9;7,2;,1;
2017-10-31;11;123,2;966,5;24,3;8;1;
2017-11-30;8;null;965,2;24,6;6,8;1,3;
2017-12-31;5;null;null;null;6,7;null;
2018-01-31;4;null;null;null;6;null;
2018-02-28;12;null;966,8;25;5,3;1,1;
2018-03-31;18;95;966,6;25,8;6,4;,7;
2018-04-30;null;null;970,2;23,8;1,3;0;
2018-05-31;6;52,4;971,5;20,2;3,4;0;
2018-06-30;8;11,4;973;18,3;3,4;,1;
2018-07-31;0;0;972,4;19,1;6,7;,8;
2018-08-31;11;61,6;972,9;18,4;5,5;1,3;
2018-09-30;11;157,8;968,5;21,2;6,2;1,2;
2018-10-31;17;255;966,7;24,8;7,9;1,4;
2018-11-30;12;138,8;966,1;24,8;5,6;1,4;
2018-12-31;11;86,6;967,2;25,9;6,9;,7;
2019-01-31;16;223,6;968,2;26,2;6,6;,1;
2019-02-28;17;250,8;966,6;25,4;6,4;,6;
