Nome: SAO GABRIEL DO OESTE
Codigo Estacao: A732
Latitude: -19.42027777
Longitude: -54.55305555
Altitude: 646
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;937,9;24,2;8,4;1,9;
2010-02-28;null;null;938,4;24,5;9,7;1,8;
2010-03-31;null;null;938,3;25;10;2,4;
2010-04-30;null;null;940,6;null;9,2;2,3;
2010-05-31;null;null;null;null;8,1;null;
2010-06-30;null;null;null;null;6,4;null;
2010-07-31;null;null;null;null;10,8;null;
2010-08-31;1;null;null;23,6;8,4;null;
2010-09-30;4;30;939,2;25,2;10,9;2,8;
2010-10-31;16;59;938,7;23,9;12,2;,7;
2010-11-30;23;12,6;937;23,6;8;,9;
2010-12-31;15;5,2;935,5;24,2;9,6;1,5;
2011-01-31;null;null;936,7;23,6;8,8;1,4;
2011-02-28;null;null;938,1;23,5;8,6;1,6;
2011-03-31;null;null;937,2;23;8;2;
2011-04-30;7;59,2;940;23,1;7;1,9;
2011-05-31;1;3;942,1;20,2;8,3;2,1;
2011-06-30;2;51;942,1;19,3;13;1,9;
2011-07-31;1;,2;941,8;20,8;11;2,1;
2011-08-31;5;6,2;941,5;21,9;11,1;1,6;
2011-09-30;3;20,2;941,2;24,8;14,9;,7;
2011-10-31;14;185,6;937,8;24;9;,9;
2011-11-30;10;91,4;937,5;24,3;9,2;1,3;
2011-12-31;17;120,4;937,2;24;7,4;1,2;
2012-01-31;null;null;937,6;23,3;6,3;,8;
2012-02-29;null;null;938,7;23,8;7,4;1,1;
2012-03-31;12;90,4;939,8;23,2;10,4;1,7;
2012-04-30;12;89,6;939,7;23,1;11,7;1,6;
2012-05-31;11;126,2;942;19,9;7,9;2;
2012-06-30;9;101,6;942,4;19,5;9,9;1,1;
2012-07-31;2;,8;943;19,2;6,6;1,4;
2012-08-31;null;0;943,5;22,1;7,6;1,9;
2012-09-30;5;37,6;941,2;24,8;10,9;2,3;
2012-10-31;11;75,2;938,3;25,3;13,4;2,4;
2012-11-30;16;254,6;936,9;24,3;10,3;1,9;
2012-12-31;15;159,6;937,5;24,8;9,5;1,2;
2013-01-31;18;185,2;937,9;24,1;10,3;1,4;
2013-02-28;18;354,8;938,7;23,4;8,7;1,4;
2013-03-31;20;211;939;24;10,1;1,3;
2013-04-30;10;93,8;940,8;21,8;9,1;,8;
2013-05-31;8;41,4;941,5;21,4;11,3;1;
