Nome: ITAPACI
Codigo Estacao: A015
Latitude: -14.97972221
Longitude: -49.53944444
Altitude: 551
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;26;96,2;950,3;25,2;5,6;1,1;
2010-02-28;11;97;950,1;25,4;8,2;1,1;
2010-03-31;19;126,6;950,2;25,3;7,1;,9;
2010-04-30;5;58,4;951,1;24,4;5,3;,9;
2010-05-31;null;null;null;null;4,6;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;5;8,8;953,9;22,2;5,7;1;
2010-08-31;null;null;null;22,3;5,6;null;
2010-09-30;null;null;null;null;6,2;null;
2010-10-31;11;141,6;949,3;26,7;10,5;1,3;
2010-11-30;26;242;948,8;24,5;6,7;,9;
2010-12-31;28;299,2;947,6;24,8;7;,9;
2011-01-31;25;236,2;948,7;24,1;8,7;1;
2011-02-28;null;null;949,8;24,4;6,7;,9;
2011-03-31;null;null;949,4;24,3;7,4;1;
2011-04-30;8;null;950,5;23,7;4,7;1,1;
2011-05-31;15;149,8;951,3;22,4;5,2;1,1;
2011-06-30;19;81,4;952,6;20,9;5,2;1,1;
2011-07-31;0;0;952,7;20,9;6,3;1,1;
2011-08-31;1;,8;951,9;23,4;5,6;1,3;
2011-09-30;0;0;951,4;25,3;6,6;1,5;
2011-10-31;24;47,8;949;24,2;11;1,5;
2011-11-30;19;79;949;23,8;8,8;1,4;
2011-12-31;28;130,6;949;23,8;10,1;1,4;
2012-01-31;26;359,6;949,9;23,1;6,6;1,2;
2012-02-29;16;234,8;949,8;23,8;7,1;1,3;
2012-03-31;14;80;950,1;24,4;7,4;1;
2012-04-30;8;142,2;950;24,9;5,9;1;
2012-05-31;10;14;952;22,6;5;1,1;
2012-06-30;6;22;952,9;22,6;4,5;1;
2012-07-31;3;4,6;953,1;21,4;4,5;1,1;
2012-08-31;null;0;954,2;21,7;5,5;1,1;
2012-09-30;4;8;951,8;25,7;9,7;1,5;
2012-10-31;14;138;948,9;26,6;10,4;1,5;
2012-11-30;23;125,8;948,5;24,2;8,7;1,5;
2012-12-31;12;172,2;948,8;25,2;6,9;1,2;
2013-01-31;24;549,4;949,8;23,8;9,8;1,1;
2013-02-28;15;158,6;949,5;24,6;9,2;1;
2013-03-31;19;179,6;950;24,7;5,8;1;
2013-04-30;7;null;951;24,1;6,7;,9;
2013-05-31;1;null;null;null;4,8;null;
