Nome: VALPARAISO
Codigo Estacao: A734
Latitude: -21.31916666
Longitude: -50.93027777
Altitude: 381.9
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;8,2;null;
2010-02-28;null;null;null;null;6,1;null;
2010-03-31;3;null;null;null;6,2;null;
2010-04-30;8;31,8;970,8;23,5;7,3;2,1;
2010-05-31;8;11,8;971,6;19,8;6,7;1,6;
2010-06-30;5;11,2;974,1;19,9;7,8;2,4;
2010-07-31;5;12,2;973,6;21,4;9,2;3,1;
2010-08-31;5;44,8;973,2;21,3;9,8;3;
2010-09-30;7;173,8;969,8;24,2;11,2;3,7;
2010-10-31;14;81,8;968,5;23,5;10,8;2,9;
2010-11-30;9;94,2;966,2;24,6;7,8;2,2;
2010-12-31;19;207,4;964,8;25,6;9,8;2,3;
2011-01-31;18;215,2;965,7;25,7;9,6;1,8;
2011-02-28;7;52,8;967,7;25,4;7,9;1,6;
2011-03-31;null;null;967,3;24,2;7,4;2,4;
2011-04-30;3;51;969,9;23,6;8,4;1,8;
2011-05-31;2;2;972,4;20,3;null;null;
2011-06-30;5;95,2;972,6;18,2;null;null;
2011-07-31;3;6;972,4;21;null;null;
2011-08-31;6;19,2;971,6;22,1;null;null;
2011-09-30;4;58,4;971,7;24,1;null;null;
2011-10-31;12;188,6;967,8;24,4;null;null;
2011-11-30;7;137,6;967,6;24,5;null;null;
2011-12-31;13;275,4;966,2;25,8;13,1;,3;
2012-01-31;18;258,6;967,4;24,5;null;null;
2012-02-29;11;50,8;968,1;26,2;null;null;
2012-03-31;9;87,2;969,2;25,6;null;null;
2012-04-30;11;108;969,4;24,1;8,9;null;
2012-05-31;8;116,4;972,7;20,6;7,2;1,1;
2012-06-30;18;243,8;972,8;20;6,6;,6;
2012-07-31;4;9,6;973,4;19,1;7,4;,8;
2012-08-31;0;0;974,8;22,7;9,6;2,2;
2012-09-30;6;141,4;971,4;24,1;9,9;1,9;
2012-10-31;6;27,8;967,8;26,7;9,9;1,7;
2012-11-30;13;135,8;966,2;25,9;8,3;null;
2012-12-31;17;395,4;966,8;26,6;7,9;2,1;
2013-01-31;15;293;967,5;25,4;8,6;2,4;
2013-02-28;13;198,6;968,4;25,3;8,4;1,9;
2013-03-31;14;123,2;968,8;25;9,3;2;
2013-04-30;12;88,6;970,9;22,5;5,7;1,7;
2013-05-31;10;141,6;971,5;21,2;8,9;1,9;
2013-06-30;11;69,2;972,4;21,1;6,4;1,9;
2013-07-31;5;45;974,6;18,8;7,9;2,4;
2013-08-31;1;2,6;973;19,8;7,9;2,9;
2013-09-30;7;77,8;971,1;23,4;10,2;3,4;
2013-10-31;9;90,8;969,5;24,3;8;2,9;
2013-11-30;11;132,4;967,3;25,2;7,7;2,8;
2013-12-31;17;126;965,5;26,6;9,9;2,3;
2014-01-31;14;173,8;969,3;25,8;8,7;1,9;
2014-02-28;8;null;null;26,7;7,5;null;
2014-03-31;2;null;null;null;6,7;null;
2014-04-30;5;null;null;23,9;7,2;null;
2014-05-31;6;36,4;971,6;21,1;6,8;2;
2014-06-30;2;null;972,7;20,6;7,5;2,2;
2014-07-31;7;null;null;19,6;7,7;null;
2014-08-31;1;4,8;973,2;22,6;8,4;2,4;
2014-09-30;9;139,6;970,2;24,4;12,2;3,4;
2014-10-31;7;141,6;969,7;25,7;9,5;3;
2014-11-30;17;282,2;967,7;24,8;10,4;2,4;
2014-12-31;19;184;967,7;25,6;8,4;2,6;
2015-01-31;11;82,6;969,3;27,3;10,8;2,2;
2015-02-28;17;231,6;968,4;25,6;6,3;2;
2015-03-31;18;216;969;24,6;7,3;1,9;
2015-04-30;11;84,6;970,1;24,1;5,8;1,8;
2015-05-31;11;106,8;972,4;21;6,8;2;
2015-06-30;5;26,8;974,6;20,4;7,2;2,1;
2015-07-31;12;76,8;973,4;20,4;6,8;1,8;
2015-08-31;3;11,6;972,6;22,6;7,7;2,4;
2015-09-30;10;112;969,2;24,5;13,2;2,2;
2015-10-31;13;149,4;969;25,9;11,8;2,5;
2015-11-30;19;413,6;967,2;25,8;9,7;2,3;
2015-12-31;20;205,4;968,9;25,9;7,5;2,2;
2016-01-31;19;331,2;966,6;26;7,9;2,3;
2016-02-29;17;215;969,2;26,3;7,5;1,7;
2016-03-31;10;109,2;970,2;25,5;5,7;1,8;
2016-04-30;4;61,8;970,1;25,5;5,4;1,9;
2016-05-31;14;178,6;973,4;20,1;7,5;1,8;
2016-06-30;12;84,2;975;18,5;5,5;1,4;
2016-07-31;1;9,6;973,7;19,8;7,6;1,6;
2016-08-31;6;136,6;972,2;21,3;9,9;2;
2016-09-30;7;71,8;972,1;21,3;8,2;1,9;
2016-10-31;11;86,2;968,9;24,4;11,4;2,4;
2016-11-30;7;77,8;967,7;25,4;12,1;2,5;
2016-12-31;15;144,4;967,8;26,1;8,2;2,4;
2017-01-31;21;351;968,6;25,1;6,9;1,8;
2017-02-28;12;122,6;968,1;26,6;6,9;1,8;
2017-03-31;10;150,4;969,1;25,6;6,2;1,8;
2017-04-30;10;224,6;970,6;23,5;6,3;2,1;
2017-05-31;4;null;null;22,9;6;null;
2017-06-30;null;null;null;null;8,1;null;
2017-07-31;0;0;977,5;19,4;8,3;2,8;
2017-08-31;6;129,8;972,2;21,6;8,4;2,6;
2017-09-30;2;20;971,8;25,6;8,4;2,8;
2017-10-31;14;198,2;968,5;24,9;9,3;2,5;
2017-11-30;15;309,4;966,9;24,6;7,9;2,3;
2017-12-31;14;406,8;966,8;25,8;7,7;1,9;
2018-01-31;9;null;null;null;null;null;
2018-02-28;null;null;null;null;null;null;
2018-03-31;12;160,6;967,7;26,7;6,7;1,3;
2018-04-30;4;80,8;971,5;24,3;6;1,8;
2018-05-31;5;10,2;973;21,7;5,9;1,7;
2018-06-30;2;,6;973,9;21,6;5,1;1,5;
2018-07-31;1;3;973,6;21,1;6,2;1,4;
2018-08-31;7;32,4;973,8;20,2;6,5;2,1;
2018-09-30;10;52,2;969,6;23,5;9,3;2,3;
2018-10-31;15;261,2;968,3;25,4;10,6;2,1;
2018-11-30;15;223,4;967,6;25,2;7,7;2,6;
2018-12-31;13;166,8;968,3;26,5;6,7;1,5;
2019-01-31;10;89,6;969,8;27,3;8,7;1,5;
2019-02-28;15;219,8;967,9;26,2;6,3;1,5;
2019-03-31;18;234;969,9;25,3;6,5;1,5;
2019-04-30;9;55,6;969,7;24,7;6,7;1,2;
2019-05-31;14;76;971,2;22,6;5,7;1,3;
2019-06-30;5;34,6;974,4;21;6,4;1,6;
2019-07-31;4;58,2;974;19,7;8,3;1,8;
2019-08-31;2;15,8;974,5;21,8;8,5;2,4;
2019-09-30;8;44,6;970,2;25,4;8,1;2,4;
2019-10-31;9;85;968,4;26,9;7,6;2,1;
2019-11-30;7;70;966,9;26,8;7,8;2,4;
2019-12-31;17;357,4;967,6;25,9;6,4;1,6;
2020-01-31;14;254,4;966,8;26,2;7,4;1,3;
2020-02-29;16;203;968,4;25,3;7;1,5;
2020-03-31;5;87;969,4;25,3;5,4;1,7;
2020-04-30;6;73,6;971,5;23;6,6;1,4;
2020-05-31;5;32,2;973,1;19,5;6,3;1,3;
2020-06-30;8;68;972,9;21,3;7;1,8;
2020-07-31;1;,8;972,9;21;6,9;1,9;
2020-08-31;5;9,8;973;21,8;7,1;2,8;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;7,2;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;20;null;967,4;26,1;7,4;2;
2021-01-31;23;165,8;967,9;25,6;5,9;1,5;
2021-02-28;15;155,2;967,1;25,1;6,4;1,5;
2021-03-31;9;115,4;968,5;25,5;6,1;1,2;
2021-04-30;null;null;null;null;6,6;null;
2021-05-31;null;null;null;null;5,3;null;
2021-06-30;4;null;null;20;6,1;null;
2021-07-31;3;2,6;975,4;17,7;6,6;1,8;
2021-08-31;3;11,2;973;23;8,1;2,3;
2021-09-30;5;6,2;969,3;26,8;7,7;2,3;
2021-10-31;14;169,2;968,8;24,5;14,2;2,7;
2021-11-30;8;40,2;966,6;26,7;7,8;2,1;
2021-12-31;14;101,8;965,9;26,1;9,2;2,2;
2022-01-31;17;234,2;967;25,9;7,9;1,6;
2022-02-28;15;116,6;967,7;26,1;6,3;1,4;
2022-03-31;13;214,6;968,5;25,8;6,6;1,5;
2022-04-30;6;null;null;null;7;null;
2022-05-31;1;null;null;null;6;null;
2022-06-30;2;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;11;119,4;969;24,5;7,3;1,9;
2022-11-30;10;88,6;968,4;23,9;8,2;2,4;
2022-12-31;22;185;966,3;25,4;10,9;1,8;
2023-01-31;8;null;967,7;25;6,7;1,6;
2023-02-28;22;182;969;25,1;6;1,1;
2023-03-31;20;222,4;969,6;25,4;6,2;1;
2023-04-30;14;191,6;969,7;23,4;6,8;1,4;
2023-05-31;null;null;972,5;21;5,8;1,1;
2023-06-30;13;127,6;974,7;18,8;5,7;1,2;
2023-07-31;2;1,6;974,2;20,8;6,2;1,6;
2023-08-31;5;39,2;971,3;22,9;7,9;1,8;
2023-09-30;8;28,4;969,4;26,7;8,4;2,1;
2023-10-31;17;234;967,3;26,8;7,4;2;
2023-11-30;10;178,4;967,1;27,3;6;2;
2023-12-31;11;117,8;967,3;27,9;8,1;1,6;
2024-01-31;12;214,4;967,6;26,8;7,5;1,7;
2024-02-29;16;210,4;969,1;26,9;6,6;1,3;
2024-03-31;12;97,2;968,9;27;7,8;1,7;
2024-04-30;14;188,4;969,6;25,8;6,6;1,2;
2024-05-31;5;22,8;971,8;22,9;5,4;1,4;
2024-06-30;0;0;972,8;22,4;5,5;1,5;
2024-07-31;8;null;null;null;4,9;null;

