Nome: JOSE BONIFACIO
Codigo Estacao: A735
Latitude: -21.08555555
Longitude: -49.92027777
Altitude: 408.35
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;0;964,7;25,3;9;1,6;
2010-02-28;0;0;964,9;26;7,7;1,5;
2010-03-31;0;0;964,2;25,5;6,9;1,5;
2010-04-30;0;0;967,3;23,1;8,2;1,9;
2010-05-31;0;0;968;19,8;7,4;1,5;
2010-06-30;0;0;970,7;19,1;7,4;1,7;
2010-07-31;0;0;970,2;21,1;8,4;2,3;
2010-08-31;0;0;969,8;21,2;8,7;2,6;
2010-09-30;null;null;null;null;7,9;null;
2010-10-31;5;null;null;24,1;10,2;null;
2010-11-30;6;39,4;962,7;24,8;8,4;2,1;
2010-12-31;16;31,4;961,4;25,7;8,3;1,9;
2011-01-31;21;110,8;962,4;25,6;8,7;1,6;
2011-02-28;18;414,2;964,3;25,1;9,9;1,4;
2011-03-31;18;341;964;23,8;7,4;1,9;
2011-04-30;11;39,6;966,5;23,5;8,8;1,6;
2011-05-31;3;3;968,8;20,1;6,9;1,7;
2011-06-30;6;1,8;969,2;18;12,1;1,7;
2011-07-31;3;3,4;969;20,4;7,4;2;
2011-08-31;5;2,2;968,2;21,8;8,4;2,5;
2011-09-30;9;5,4;968,4;23,5;9;3,1;
2011-10-31;13;264,2;964,5;24,5;11,1;3;
2011-11-30;7;95,4;964,2;24,1;10,3;2,7;
2011-12-31;9;133,8;962,9;25,5;6,8;2,2;
2012-01-31;21;298;964,3;23,8;8,2;2,2;
2012-02-29;11;56,6;964,8;25,8;8;1,7;
2012-03-31;7;44,6;965,8;25,2;12,3;1,9;
2012-04-30;11;94,6;965,9;23,9;8,5;2;
2012-05-31;9;83,4;969,3;20,2;7,1;2,2;
2012-06-30;17;151,8;969,4;19,9;6,3;1,7;
2012-07-31;5;13;969,9;19,1;6,4;1,9;
2012-08-31;null;0;971,6;21,9;8,9;2,6;
2012-09-30;5;97,8;968,1;23,8;9,4;2,8;
2012-10-31;8;39,8;964,5;26,4;10;2,7;
2012-11-30;12;134,6;962,8;25,6;8,4;2,5;
2012-12-31;17;172,6;963,6;26,3;8,5;2;
2013-01-31;14;267,6;964,2;25;8,5;2,4;
2013-02-28;16;226,2;965,1;25;9,6;1,8;
2013-03-31;15;209,4;965,4;24,9;6,3;1,9;
2013-04-30;13;79,4;967,4;22,4;6;1,7;
2013-05-31;7;118,6;968,1;21,2;7,3;1,8;
2013-06-30;12;53,6;969;21;6,7;1,7;
2013-07-31;6;9,2;971,1;18,9;9,5;2,3;
2013-08-31;0;0;969,5;20,1;7;2,4;
2013-09-30;7;66;967,7;23;9,4;2,7;
2013-10-31;10;66,6;966,1;24,2;9,1;2,7;
2013-11-30;12;165,6;963,9;25,2;10;2,7;
2013-12-31;12;122,6;962,2;26,1;9,8;2,1;
2014-01-31;16;43;965,9;26,1;10;1,7;
2014-02-28;14;102,2;964,9;26,2;8,1;1,9;
2014-03-31;19;154,8;965,7;24,9;6,6;1,7;
2014-04-30;8;30,8;966,9;24,1;6,4;2;
2014-05-31;6;14,4;968,3;20,6;6,3;1,6;
2014-06-30;4;2,4;969,5;20,6;7,2;2;
2014-07-31;8;37;971,9;19,5;8,9;2,2;
2014-08-31;0;0;969,8;22,1;8,5;2,4;
2014-09-30;10;105,2;966,9;24,1;10,5;2,9;
2014-10-31;5;29;966,4;25,2;10,8;3;
2014-11-30;20;156,6;964,3;24,9;10,4;2,5;
2014-12-31;20;211,2;964,6;25,4;8,4;2,6;
2015-01-31;13;174;966;26,8;6,6;2;
2015-02-28;18;201,8;965,2;25,5;7,9;2,1;
2015-03-31;null;null;null;null;6,1;null;
2015-04-30;1;null;null;null;6,1;null;
2015-05-31;13;134,4;969,1;20,8;6,2;2;
2015-06-30;8;19;971,3;20,3;7;2,2;
2015-07-31;12;60,6;970,1;20,3;6,7;2,2;
2015-08-31;2;7,4;969,4;21,7;9,2;2,3;
2015-09-30;10;123,6;965,9;24,2;10,7;2,5;
2015-10-31;5;25;965,7;26,1;10,4;2,8;
2015-11-30;12;191,8;963,9;25,6;10,7;2,3;
2015-12-31;22;207,6;965,7;25,5;7,3;2,2;
2016-01-31;16;201,2;963,4;25,7;6,6;2,7;
2016-02-29;17;156,8;965,9;26,3;7,2;1,9;
2016-03-31;15;155,8;966,8;25,4;6,8;2;
2016-04-30;4;39,2;966,9;24,9;6,2;1,9;
2016-05-31;15;130;969,9;20,1;7,5;2,1;
2016-06-30;13;114,8;971,5;18,7;5,3;1,9;
2016-07-31;3;3,8;970,4;19,4;6,5;2,1;
2016-08-31;8;39,4;968,9;21,1;9;2,5;
2016-09-30;6;42,8;968,4;21,7;8,4;2,5;
2016-10-31;9;81,2;965,5;24,4;10,1;2,9;
2016-11-30;10;104;964,4;24,8;11,1;2,7;
2016-12-31;15;178,6;964,5;25,8;10,6;2,4;
2017-01-31;21;244,6;965,4;25;7,5;2;
2017-02-28;6;null;null;26,4;10,9;null;
2017-03-31;7;null;null;24,9;5,6;null;
2017-04-30;13;103,2;967,1;23,4;6,9;2,3;
2017-05-31;13;108,6;968;22,3;9;2,1;
2017-06-30;8;4,8;970,8;19,6;6,4;2,2;
2017-07-31;0;0;974,2;18,9;6,4;2,5;
2017-08-31;3;,6;968,9;21,3;7,6;2,8;
2017-09-30;2;3,6;968,7;25;8,4;2,8;
2017-10-31;14;127;965,1;25,5;10,1;3;
2017-11-30;12;183,4;963,6;24,7;9,8;2,7;
2017-12-31;2;null;null;null;null;null;
2018-01-31;null;null;null;null;null;null;
2018-02-28;2;null;null;null;null;null;
2018-03-31;13;140;964,4;26,4;6,7;1,8;
2018-04-30;3;8,4;968,2;23,9;6,1;2,1;
2018-05-31;5;19,8;969,6;21,4;7,6;1,9;
2018-06-30;0;0;970,4;21,5;6,3;2;
2018-07-31;1;1,6;970,3;20,8;6;2;
2018-08-31;8;41,8;970,3;20,3;7,8;2,7;
2018-09-30;8;44,8;966,2;23,4;9,4;2,6;
2018-10-31;14;206,8;965;25,2;10,7;2,6;
2018-11-30;15;238,2;964,5;24,8;7,5;2,7;
2018-12-31;14;82,6;965;26,2;6,5;2,1;
2019-01-31;16;68,6;966,5;27,2;8,9;1,9;
2019-02-28;14;220,2;964,7;25,7;8,5;2,1;
2019-03-31;11;87,4;966,5;25,4;8,1;2;
2019-04-30;11;61,4;966,3;24,7;6,2;1,8;
2019-05-31;1;null;null;23,2;6,4;null;
2019-06-30;null;null;null;null;6,2;null;
2019-07-31;2;20,2;970,7;19,8;6,9;2,3;
2019-08-31;5;null;null;null;null;null;
2019-09-30;4;null;null;25,5;11;null;
2019-10-31;8;57;964,9;26,8;8,6;2,5;
2019-11-30;5;null;963,6;26,3;6,1;2,5;
2019-12-31;17;223,4;964,5;25,5;6,8;2;
2020-01-31;11;null;962,8;25,5;6,8;2;
2020-02-29;11;null;null;25;6,8;null;
2020-03-31;5;null;966;24,5;7,1;2,1;
2020-04-30;7;null;967,7;22,8;6,3;1,7;
2020-05-31;2;null;null;null;null;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;1;null;null;null;null;null;
2021-11-30;8;80,4;963,4;25,9;7;2,6;
2021-12-31;null;null;null;null;null;null;
2022-01-31;10;219;964,1;25,7;7,2;2,3;
2022-02-28;8;91,8;964,4;25,7;8,6;1,8;
2022-03-31;12;9,6;965,2;25,8;7,2;2;
2022-04-30;0;0;966,5;24;6,5;2;
2022-05-31;5;7;969,1;19,7;5,5;1,9;
2022-06-30;6;null;969,4;19,7;5,8;1,8;
2022-07-31;null;null;969,5;21,6;6,1;2,1;
2022-08-31;8;null;969,6;20,9;9,6;2,7;
2022-09-30;5;null;967,5;22,2;8,8;3,1;
2022-10-31;9;66,6;965,6;24,5;9,2;2,4;
2022-11-30;5;null;965,8;23,9;8,2;2,8;
2022-12-31;12;176,4;963,2;25;6,3;2,3;
2023-01-31;25;330,6;964,5;24,5;8,9;2,2;
2023-02-28;21;255,2;965,7;24,9;8,1;1,8;
2023-03-31;18;195,6;966,4;25;7,1;1,7;
2023-04-30;16;93;966,4;23,1;5,8;1,8;
2023-05-31;6;null;null;20,7;4,5;null;
2023-06-30;11;78,6;971,2;18,3;4,2;1,6;
2023-07-31;null;null;null;null;null;null;
2023-08-31;null;null;null;null;null;null;
2023-09-30;1;null;null;null;null;null;
