Nome: ARIRANHA
Codigo Estacao: A736
Latitude: -21.13305554
Longitude: -48.84055555
Altitude: 525.44
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;7,5;null;
2010-02-28;null;0;952,7;25,4;7;1,4;
2010-03-31;0;0;951,9;24,6;7,3;1,2;
2010-04-30;0;0;954,9;22,1;9;1,2;
2010-05-31;0;0;955,2;19,5;6,2;1,2;
2010-06-30;0;0;958,2;18,2;7,2;1,3;
2010-07-31;null;null;958,1;19,9;7,2;1,5;
2010-08-31;null;null;null;null;7;null;
2010-09-30;6;null;null;23,6;8,4;null;
2010-10-31;1;null;null;23,2;10,6;null;
2010-11-30;7;29,4;950,3;24,1;9,3;1,6;
2010-12-31;19;176,8;949;25,2;6,8;1,6;
2011-01-31;25;344;950,2;24,7;7,4;1,5;
2011-02-28;18;57,4;952;24,7;8;1,3;
2011-03-31;24;282,6;951,7;23,1;5,6;1,2;
2011-04-30;15;103,4;954,2;22,3;6,3;1,1;
2011-05-31;3;5,4;956,1;19,3;6,4;1,2;
2011-06-30;4;32,6;956,6;17,1;9,5;1,2;
2011-07-31;1;null;null;17,8;7,5;null;
2011-08-31;4;8,4;955,9;21,4;7,6;1,5;
2011-09-30;8;7,2;956;22,6;10,1;2,2;
2011-10-31;25;20,8;952,3;23,7;11,3;2,7;
2011-11-30;15;102,8;951,8;23,2;7,1;2,1;
2011-12-31;24;114,6;950,7;24,1;7,1;1,5;
2012-01-31;22;21,4;952,1;23;8,3;1,8;
2012-02-29;15;15,4;952,6;24,7;6,7;1,5;
2012-03-31;10;21;953,4;24,1;6,2;1,3;
2012-04-30;11;29,4;953,5;23,4;6,4;1,3;
2012-05-31;11;null;956,8;19,3;6,8;1,3;
2012-06-30;6;null;null;null;6,4;null;
2012-07-31;7;21,8;957,4;17,8;7,7;1,4;
2012-08-31;null;0;959,3;20,6;7,8;2,2;
2012-09-30;6;66,8;955,8;22,5;8;2;
2012-10-31;8;38,6;952,3;25,8;7,2;2,2;
2012-11-30;10;85,6;950,5;25;9,1;2,2;
2012-12-31;21;266;951,4;25,6;7,1;1,7;
2013-01-31;14;194,6;952;24,2;9,1;1,8;
2013-02-28;16;136;952,8;24,5;8;1,5;
2013-03-31;17;227,8;953,2;24,1;7,5;1,6;
2013-04-30;14;100,6;954,9;21,7;7,6;1,2;
2013-05-31;5;132,2;955,7;20,2;7,7;1,3;
2013-06-30;11;10,8;956,6;20,2;6,7;1,3;
2013-07-31;7;12,6;958,4;18,2;8,5;2;
2013-08-31;1;,4;957;19;7,4;2,1;
2013-09-30;5;61;955,4;22,2;8;2,5;
