Nome: IBITINGA
Codigo Estacao: A737
Latitude: -21.85555555
Longitude: -48.79972221
Altitude: 496.75
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;1;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;5;null;null;null;null;null;
2010-04-30;10;68,4;958,7;22;7,6;2,3;
2010-05-31;11;26,8;959;19,1;8;2;
2010-06-30;5;15,6;962;18;6,4;2;
2010-07-31;3;15,2;961,7;20;7,4;2,3;
2010-08-31;0;0;961,2;20;7,1;2,5;
2010-09-30;8;76,6;958,1;23;7,9;2,8;
2010-10-31;13;110,4;956,2;22,2;11,3;2,8;
2010-11-30;11;69,4;953,8;24,1;8,3;2,3;
2010-12-31;19;369,6;952,6;24,6;7,3;2,3;
2011-01-31;22;344;953,6;24,9;6,7;1,9;
2011-02-28;19;216,6;955,6;24,7;6,7;1,8;
2011-03-31;22;249;955,5;22,8;7,7;2,4;
2011-04-30;11;121,8;957,9;22,4;6,4;1,8;
2011-05-31;4;3,8;960;18,9;6,2;1,8;
2011-06-30;6;37,2;960,3;17,1;9,9;1,7;
2011-07-31;3;3,2;960,3;19,7;6,2;2;
2011-08-31;6;10;959,5;21;7,5;2,3;
2011-09-30;4;30,8;959,9;22,2;8,3;2,7;
2011-10-31;14;193,6;956;23;7,6;2,6;
2011-11-30;7;120,6;955,6;22,8;8,1;2,5;
2011-12-31;9;131,4;954,2;24,3;8,2;2,2;
2012-01-31;23;355,2;955,7;22,8;7,9;2;
2012-02-29;10;104;956,1;25,2;8,2;1,5;
2012-03-31;5;17,2;957,1;24,3;7,4;1,8;
2012-04-30;4;40,4;957,1;23,2;7,5;1,8;
2012-05-31;5;41;960,6;19;6,1;1,4;
2012-06-30;14;146,2;960,6;18,9;6,1;1,1;
2012-07-31;3;8,8;961;18,6;6,3;,9;
2012-08-31;null;0;963,2;20,8;6,6;,7;
2012-09-30;5;44,4;959,6;22,7;8;2,1;
2012-10-31;8;72,6;956;25,2;7,4;1,7;
2012-11-30;7;60;954,3;24,3;8;1,9;
2012-12-31;13;196;954,8;25,8;7,7;1;
2013-01-31;15;220,2;955,7;23,7;7,3;1,5;
2013-02-28;15;203,6;956,4;24,3;5,9;,8;
2013-03-31;13;143,8;956,8;23,7;8;1,1;
2013-04-30;12;81;958,6;21,6;6,6;1,1;
2013-05-31;1;null;959,4;20,1;5,9;,9;
2013-06-30;6;null;960,1;19,3;6,3;1;
2013-07-31;7;12,8;962,2;17,7;8,1;2;
2013-08-31;2;1;960,6;19,4;8,1;2,1;
2013-09-30;9;47,8;959,1;21,9;9,3;2,3;
2013-10-31;9;null;957,8;22,3;8,3;2,3;
2013-11-30;6;null;null;null;null;null;
2013-12-31;18;243,8;953,5;25;7,6;2,2;
2014-01-31;15;79,8;957,1;25,9;6,2;1,7;
2014-02-28;10;67,8;956,3;26;9,8;2;
2014-03-31;14;163,2;957,1;24,4;7,5;1,9;
2014-04-30;8;39;958,3;22,8;6,3;2;
2014-05-31;5;43,4;959,5;20,2;6,7;1,8;
2014-06-30;3;4,4;960,7;19,9;6,2;1,8;
2014-07-31;9;25,4;963,2;18,7;6,3;1,9;
2014-08-31;1;null;960,8;21,4;8,2;1,8;
2014-09-30;9;97,4;958,5;23,2;9,6;2,3;
2014-10-31;4;12;957,8;24,8;9,4;2,3;
2014-11-30;17;219,6;955,6;24;9,1;1,8;
2014-12-31;13;152;956;24,6;7,5;1,7;
2015-01-31;15;193,6;957,2;26,6;9;1,7;
2015-02-28;20;284,4;956,4;24,6;7,6;1,3;
2015-03-31;18;162,8;957;23,4;6,1;1,2;
2015-04-30;7;12,6;958;22,6;7,1;1,6;
2015-05-31;14;139,2;960,3;19,8;6;1,1;
2015-06-30;5;19;962,6;19,5;6,9;1,4;
2015-07-31;13;58,6;961,3;19,3;5,3;1,2;
2015-08-31;4;8,8;960,8;21,1;8,9;1,6;
2015-09-30;9;136;957,2;23,4;9,6;1,7;
2015-10-31;7;81,4;957,1;24,9;11,1;2,2;
2015-11-30;16;260;955,2;24,4;7,2;1,5;
2015-12-31;17;169;956,8;24,9;7,5;1,3;
2016-01-31;19;424;954,8;24,5;6,4;1,8;
2016-02-29;17;110;957,1;25,5;8,7;1,1;
2016-03-31;18;132,8;958,1;24,4;7,4;,7;
2016-04-30;5;22,4;958,2;24,3;5,5;,8;
2016-05-31;12;106;960,9;19,4;6,9;1,9;
2016-06-30;17;109,6;962,6;17,4;5,6;1,5;
2016-07-31;3;4,6;961,5;18,6;5,7;1,6;
2016-08-31;6;54,6;960,1;20,3;8,2;2,1;
2016-09-30;6;16,6;959,5;21,4;8,3;2,5;
2016-10-31;11;148;956,8;23,3;7,8;2,7;
2016-11-30;10;136,4;955,7;23,8;8,2;2,5;
2016-12-31;15;182;955,8;24,7;7,3;2;
2017-01-31;9;null;null;24,8;10,2;null;
2017-02-28;null;null;null;null;4,7;null;
2017-03-31;null;null;null;23,5;7,2;null;
2017-04-30;null;null;958,4;22,5;6,9;1,8;
2017-05-31;null;null;959,3;20,7;5,8;1,6;
2017-06-30;0;0;961,9;18,5;5,6;1,5;
2017-07-31;0;0;965,6;18;6,7;1,7;
2017-08-31;0;0;960,3;20,1;8;2;
2017-09-30;0;0;960,3;24,1;6,4;1,7;
2017-10-31;1;6;956,5;24,4;8,2;2,2;
2017-11-30;4;62,6;954,9;23,5;7,3;2;
2017-12-31;1;null;954,7;24,9;7;1,6;
2018-01-31;null;null;956;24,1;7,9;1,8;
2018-02-28;null;null;955,7;23,9;6,7;2,1;
2018-03-31;null;null;955,6;25,3;7,9;1,5;
2018-04-30;1;1,8;959,5;22,7;5,5;1,6;
2018-05-31;6;5,8;960,8;20,7;5,4;,8;
2018-06-30;1;,4;961,5;20,6;6,7;1,4;
2018-07-31;0;0;961,4;20,4;5,5;1,3;
2018-08-31;9;41,6;961,4;19,1;6,2;2,2;
2018-09-30;12;47;957,5;21,8;7,9;2,1;
2018-10-31;16;63,2;956,3;23,5;7,7;2,2;
2018-11-30;14;154,2;955,9;23,9;6,9;2,3;
2018-12-31;14;61;956,2;25,4;7,2;1,6;
2019-01-31;16;124,6;957,8;26,2;9,3;1,1;
2019-02-28;5;null;null;25,4;7,6;null;
2019-03-31;4;null;null;24,1;7,1;null;
2019-04-30;10;53,6;957,5;23,4;5,1;1,1;
2019-05-31;9;53,8;958,8;21,2;5;1,1;
2019-06-30;4;7,6;962,4;19,7;5,6;1,1;
2019-07-31;5;37;961,9;18,1;5,6;1,4;
2019-08-31;5;15,8;962,6;20,4;7,3;2,1;
2019-09-30;7;42,2;958,5;23,8;7,7;2,2;
2019-10-31;11;29,4;956,5;25,4;7,3;2,1;
2019-11-30;null;null;955,1;24,8;7,4;2,1;
2019-12-31;null;null;955,6;24,6;5,2;,9;
2020-01-31;null;null;954,8;24,7;8,5;1,2;
2020-02-29;null;null;956,5;23,7;4,9;,7;
2020-03-31;10;7,8;957,4;23,5;5,1;1,4;
2020-04-30;null;null;959,2;21,5;6,5;1,2;
2020-05-31;null;null;960,7;18,5;5,2;1,1;
2020-06-30;null;null;961;20,2;5,2;1;
2020-07-31;null;null;960,9;20;5,5;1;
2020-08-31;null;null;961,2;20;6,3;1,6;
2020-09-30;null;null;958,3;25,3;6,8;1,5;
2020-10-31;null;null;955,8;25,5;8,2;2,3;
2020-11-30;null;null;956,2;24,6;6,7;1,7;
2020-12-31;null;null;955,5;24,6;8,3;1;
2021-01-31;null;null;955,8;24,9;5;,6;
2021-02-28;2;13,8;954,8;24,4;4,3;,8;
2021-03-31;null;null;956,4;24,5;4,7;,5;
2021-04-30;null;null;958,5;21,6;4,1;,8;
2021-05-31;null;null;959,9;20;4,1;,5;
2021-06-30;null;null;961,1;18,5;4,5;,4;
2021-07-31;null;null;962,9;16,9;6,3;,2;
2021-08-31;null;null;961,1;21,4;5,8;1,1;
2021-09-30;null;null;957,7;24,9;7,1;1,5;
2021-10-31;null;null;956,7;22,9;10,5;1,7;
2021-11-30;null;null;954,7;24,2;8,2;1,8;
2021-12-31;null;null;954,1;24,3;5,6;1,4;
2022-01-31;null;null;955,2;23,9;6,4;,8;
2022-02-28;1;null;955,6;24,2;4,1;,4;
2022-03-31;null;null;956,6;24,6;5,1;,8;
2022-04-30;null;null;957,8;22,9;5,7;1;
2022-05-31;5;50;960,1;18,8;4,8;1,4;
2022-06-30;6;16,2;960,4;18,8;5,7;1,4;
2022-07-31;0;0;960,8;20,6;5,8;1,4;
2022-08-31;5;25,6;960,7;20;9;2,1;
2022-09-30;14;80,8;958,7;20,2;8,8;2,3;
2022-10-31;7;81;956,8;22,9;7;2;
2022-11-30;5;14,4;956,1;22,8;8;2,3;
2022-12-31;null;null;954,3;23,9;5,9;1,9;
2023-01-31;null;null;955,7;23,6;6,6;1,6;
2023-02-28;null;null;956,8;23,9;5,5;1,4;
2023-03-31;null;null;957,6;24,2;4,7;1,1;
2023-04-30;null;null;957,6;21,7;4,2;1,2;
2023-05-31;null;null;960,4;19,3;4,7;,9;
2023-06-30;1;null;962,4;17,8;4,2;1,1;
2023-07-31;0;0;962,1;19;4,4;1,3;
2023-08-31;6;11,6;959,3;21,4;5,7;1,7;
2023-09-30;6;20,6;957,5;25,4;7,1;1,9;
2023-10-31;16;94;955,5;24,9;6,7;1,8;
2023-11-30;8;61;955,1;26;4,8;1,7;
2023-12-31;null;null;955,2;26,5;6,4;1,4;
2024-01-31;null;null;955,6;25;7,5;1,5;
2024-02-29;null;null;957,2;25,1;5,8;1,1;
2024-03-31;14;null;957;25;5,7;1,2;
2024-04-30;5;null;957,7;24,5;4,1;1,1;
2024-05-31;4;null;960,1;21,6;4,7;1,3;
2024-06-30;null;null;null;21,1;4,7;null;
2024-07-31;null;null;null;null;null;null;

