Nome: ITAPIRA
Codigo Estacao: A739
Latitude: -22.415
Longitude: -46.80527777
Altitude: 634.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;295,4;941,9;23,9;5,3;1,3;
2010-02-28;16;73,8;942;24,5;6,9;1,4;
2010-03-31;14;184,2;940,5;23,9;5,5;1,2;
2010-04-30;7;42,6;943,9;21,8;5,2;1,3;
2010-05-31;9;15,2;943,9;18,9;4,7;1,2;
2010-06-30;3;16,8;947,2;17,4;5,3;1,3;
2010-07-31;6;31,6;947,3;19,3;6,2;1,5;
2010-08-31;11;9,8;946,6;19,1;6,2;1,3;
2010-09-30;12;81,8;943,7;21,9;8,6;1,6;
2010-10-31;12;68,8;941,4;21,8;5,8;1,6;
2010-11-30;15;126;939,3;23,2;6,5;1,6;
2010-12-31;18;195,6;937,9;24,7;5,8;1,5;
2011-01-31;22;490,6;939,2;24,4;5,1;1,3;
2011-02-28;11;107;941;24,6;5,8;1,1;
2011-03-31;16;218,8;940,9;23,1;5,8;1,1;
2011-04-30;13;131,6;943,2;22,1;5,9;,9;
2011-05-31;10;24;945;18,3;4,7;,8;
2011-06-30;13;65,8;945,5;16,3;6,6;1;
2011-07-31;2;,4;945,7;18,5;6,3;1;
2011-08-31;6;30,6;944,8;20;6,1;1,2;
2011-09-30;3;17,2;945,4;21,6;6,3;1,6;
2011-10-31;13;304,8;941,4;22,5;6;1,7;
2011-11-30;10;143,4;941,1;22,2;5,5;1,5;
2011-12-31;12;118,2;939,6;23,6;6,1;1,2;
2012-01-31;23;319,4;941,2;22,3;4,9;,9;
2012-02-29;9;109,8;941,6;24,6;5,6;,8;
2012-03-31;8;117;942,4;23,6;4,7;,7;
2012-04-30;13;116;942,4;22,3;5,3;,7;
2012-05-31;9;69,6;945,8;18,4;5,6;,7;
2012-06-30;10;null;null;18,7;5,5;null;
2012-07-31;3;null;null;null;3,9;null;
2012-08-31;1;null;null;null;5,4;null;
2012-09-30;9;37,2;945,2;21,8;6,1;1,1;
2012-10-31;9;88,4;941,7;24,6;5,7;1,2;
2012-11-30;12;90,4;939,9;23,8;6,4;1,1;
2012-12-31;22;249,2;940,4;24,9;6,3;,9;
2013-01-31;23;436,4;941,2;23,2;6,1;1;
2013-02-28;16;139;941,8;24;6,4;,8;
2013-03-31;16;205,4;942,3;23,2;6,4;,9;
