Nome: GOIANESIA
Codigo Estacao: A022
Latitude: -15.22027777
Longitude: -48.98999999
Altitude: 667.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;254,4;937,3;24,4;8,2;1;
2010-02-28;11;118;937,1;25;8,3;1,2;
2010-03-31;17;121,4;937,1;24,7;5,7;1,2;
2010-04-30;6;88,2;938,2;24,5;5,1;1;
2010-05-31;0;0;938,4;24,2;5,6;1;
2010-06-30;0;0;941,3;22,9;6,4;1;
2010-07-31;0;0;941,2;23,5;6,9;1,4;
2010-08-31;null;0;940,6;24,4;6,9;1,4;
2010-09-30;2;3,4;938;27,1;6,8;1,6;
2010-10-31;16;141,8;936,4;26,1;10,2;1,6;
2010-11-30;23;324,2;935,8;23,6;8;1,2;
2010-12-31;20;341,2;934,6;24,1;6,5;1,3;
2011-01-31;21;183,6;935,7;23,6;7,3;1,3;
2011-02-28;19;160,8;936,8;23,7;8,3;1;
2011-03-31;20;169,2;936,4;23,6;6,4;1;
2011-04-30;8;23,4;938;24,4;8,3;1,1;
2011-05-31;3;4,8;938,9;23,6;7;1;
2011-06-30;2;8,2;940,1;22,4;4,8;1,1;
2011-07-31;null;null;null;null;6,4;null;
2011-08-31;1;null;939,3;26;6,7;1,8;
2011-09-30;1;3,2;939,2;26,9;7,1;2;
2011-10-31;17;185,4;936,6;23,9;7,8;1,8;
2011-11-30;18;349;936,5;23,5;5,3;1,4;
2011-12-31;23;222;936,4;23,3;6,5;1,4;
2012-01-31;26;241;937,3;22,6;7,4;1,2;
2012-02-29;null;null;937,3;23,7;7;1,2;
2012-03-31;null;null;937,4;24,3;5,5;1;
2012-04-30;6;null;937,5;25,1;5,9;,9;
2012-05-31;4;17;939,6;23,3;6,2;1,1;
2012-06-30;2;2;940,5;23,6;6,8;1;
2012-07-31;0;0;940,6;23,1;6,1;1,1;
2012-08-31;null;0;941,9;23,6;8;1,6;
2012-09-30;5;18,4;939,5;27;7,1;1,5;
2012-10-31;5;45;936,6;27,2;10,2;1,5;
2012-11-30;22;285;936;23,6;5,6;1,2;
2012-12-31;15;208,4;936,3;24,9;6,5;1;
2013-01-31;25;381,6;937,3;23,6;5,9;1,1;
2013-02-28;15;133,8;937;24,7;6,3;,9;
2013-03-31;16;222,4;937,5;24,6;5;,9;
2013-04-30;9;62,8;938,6;24;6,7;,7;
2013-05-31;2;43;939,4;23,7;4;,6;
2013-06-30;1;1,4;940,3;23,3;5,2;,7;
2013-07-31;0;0;941,1;23,2;6,9;,9;
2013-08-31;0;0;939,9;24,6;7,5;1,2;
2013-09-30;3;15;938,7;26,2;6,6;1,4;
2013-10-31;16;231,4;937,7;25,3;7,2;1,1;
2013-11-30;20;226,4;936,2;24,1;6,3;,9;
2013-12-31;24;306,2;935,9;23,6;7,3;,9;
2014-01-31;12;null;938,1;24,6;6,8;,8;
