Nome: BARRA DO TURVO
Codigo Estacao: A746
Latitude: -24.96277777
Longitude: -48.41638888
Altitude: 659.89
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;30;414;939;21,8;5;1,2;
2010-02-28;18;218,4;939,6;22,9;4,9;1;
2010-03-31;23;234,6;939,1;21;4;,9;
2010-04-30;22;241,2;942,9;17,8;3,1;,9;
2010-05-31;19;null;942,2;16,3;3,7;1;
2010-06-30;20;null;945,5;13,9;4,6;,8;
2010-07-31;16;null;944,8;15,6;4,5;,9;
2010-08-31;17;null;944,9;14,1;4,4;,9;
2010-09-30;20;58,2;942,8;16,2;4,7;1,1;
2010-10-31;19;127,8;940,2;16,4;4,3;1,1;
2010-11-30;20;123;937,9;18,6;4,7;,9;
2010-12-31;20;257;936,4;20,6;5,8;1,1;
2011-01-31;29;440;936,6;22,1;4,3;,9;
2011-02-28;25;253,8;938,9;21,9;4,9;,9;
2011-03-31;21;235,8;940,4;19,4;3,9;,6;
2011-04-30;null;null;941,6;19,1;4,3;,5;
2011-05-31;null;null;943,6;15;3,2;,4;
2011-06-30;null;null;943,1;12,7;4,7;,4;
2011-07-31;7;43,6;943,6;14,2;3,3;,4;
2011-08-31;10;286,6;943,1;14,3;5,1;,7;
2011-09-30;13;53,4;945,2;14,7;4,4;,6;
2011-10-31;4;2,4;940;17,3;3,8;,7;
2011-11-30;null;null;940,3;17,6;4;,7;
2011-12-31;null;null;937,9;19,5;3,5;,7;
2012-01-31;null;null;938,9;20,2;4,9;,8;
2012-02-29;null;null;939,5;22,1;4;,5;
2012-03-31;null;null;940,9;20;3,3;,5;
2012-04-30;null;null;940,8;18,6;3,8;,4;
2012-05-31;null;null;944,2;15,8;3,2;,5;
2012-06-30;null;null;943,5;14,3;4,5;,5;
2012-07-31;null;null;943,9;13,3;4,5;,6;
2012-08-31;null;null;947,3;15,5;3,4;,5;
2012-09-30;null;null;943,9;16,5;5,2;,7;
2012-10-31;8;57,8;940,4;18,9;4,4;,8;
2012-11-30;22;84,6;939,4;18,8;3,2;,7;
2012-12-31;22;205,2;937,8;22,4;4,1;,8;
2013-01-31;2;null;null;null;null;null;
2013-02-28;5;null;null;null;null;null;
2013-03-31;24;169,4;940,7;19,9;4,9;,6;
2013-04-30;20;58,4;942,3;17,6;4;,4;
2013-05-31;25;84,8;942,5;15,9;4,7;,5;
2013-06-30;17;null;943,4;15,5;4,8;,4;
2013-07-31;19;null;944,7;13,1;3,7;,6;
2013-08-31;23;26,8;944;13,7;4;,7;
2013-09-30;11;null;943,6;16;4,7;,7;
2013-10-31;19;45;942,2;17,2;5,2;,8;
2013-11-30;17;null;940,1;19,1;4,7;,8;
2013-12-31;12;null;937,6;21,6;4,1;,8;
2014-01-31;20;201,8;940,4;22,7;4,5;,7;
2014-02-28;19;237,8;940,1;22,6;4,7;,8;
