Nome: BARRETOS
Codigo Estacao: A748
Latitude: -20.55916666
Longitude: -48.54499999
Altitude: 534.36
Situacao: Operante
Data Inicial: 2010-06-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;null;null;null;null;null;null;
2010-07-31;1;,4;957;20,8;4,9;1,4;
2010-08-31;null;0;956,3;21,1;5,6;1,5;
2010-09-30;8;72,6;953,3;24,1;6,9;1,8;
2010-10-31;12;97,6;951,4;23,9;7,1;1,8;
2010-11-30;12;143,6;949,4;24,4;5,2;1,5;
2010-12-31;18;246,4;948,1;25,3;5,9;1,4;
2011-01-31;25;260,4;949,4;24,7;5,4;1,3;
2011-02-28;16;184,2;951,1;24,9;5,5;1,3;
2011-03-31;27;336,4;950,7;23,2;4,4;1,3;
2011-04-30;12;53,6;953,2;22,8;4,5;1,1;
2011-05-31;5;4,6;955;19,9;3,5;1,1;
2011-06-30;6;25,8;955,7;18;6,3;1,3;
2011-07-31;2;1;955,8;20,2;3,7;1,3;
2011-08-31;3;8,6;954,8;22,2;4,8;1,5;
2011-09-30;2;20,6;954,9;23,9;5,6;1,8;
2011-10-31;15;94;951,3;24;5,2;1,7;
2011-11-30;10;144,2;950,8;23,9;6,6;1,6;
2011-12-31;19;182,6;949,8;24,3;5,4;1,3;
2012-01-31;23;268;951,3;23;4,3;1,3;
2012-02-29;13;115,8;951,7;24,7;4,1;1,1;
2012-03-31;13;86;952,5;24,3;4,8;1,2;
2012-04-30;10;102,4;952,6;23,2;6,3;1,2;
2012-05-31;14;52,2;955,7;19,4;3,1;1,1;
