Nome: JUTI
Codigo Estacao: A749
Latitude: -22.85722222
Longitude: -54.60555555
Altitude: 375.18
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;264;967,2;25,7;8,2;1,8;
2010-02-28;14;110,2;967,8;26,8;5,1;1,9;
2010-03-31;11;81;968;25,9;6,6;1,6;
2010-04-30;7;61,4;971,4;23,3;5;1,6;
2010-05-31;15;201,4;972,5;18,3;8,6;1,6;
2010-06-30;7;10;974;19,9;6,2;1,8;
2010-07-31;7;85,8;973,9;18,6;6,1;2,2;
2010-08-31;2;3,8;973,6;20,1;6,6;2,1;
2010-09-30;10;255,8;969,9;22,4;6,9;2,1;
2010-10-31;14;167,8;969,4;22;6,1;1,9;
2010-11-30;9;91,2;967;23,5;6,2;1,8;
2010-12-31;16;141;964,8;25,4;5,8;1,8;
2011-01-31;18;118,6;965,8;26;9,1;1,3;
2011-02-28;20;287,4;967,4;25,3;5,6;1,5;
2011-03-31;14;137;967,7;24,7;5,4;1,8;
2011-04-30;14;127,8;970,4;22,9;5,2;1,4;
2011-05-31;5;27,8;973,3;19,3;4,6;1,3;
2011-06-30;8;77,4;972,8;17,7;5,7;1,8;
2011-07-31;8;93,8;972,3;19,7;6,8;1,8;
2011-08-31;9;46,8;971,9;20,4;6,9;2,3;
2011-09-30;7;51,8;972,3;22;7;1,9;
2011-10-31;14;220;967,8;23,8;7,3;2,1;
2011-11-30;7;175,2;967,9;24,3;5,6;2;
2011-12-31;7;84,2;966,7;25,9;5,5;1,5;
2012-01-31;15;238,8;966,8;26;5,6;1,6;
