Nome: AGUAS EMENDADAS
Codigo Estacao: A045
Latitude: -15.596491
Longitude: -47.625801
Altitude: 1030.36
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;17;170,8;899,5;22;6,5;1,9;
2010-02-28;11;171,4;899,3;22,5;6,2;2,1;
2010-03-31;19;211;899,2;22,1;5,8;1,9;
2010-04-30;7;114;900,4;21,3;5,2;2,2;
2010-05-31;5;27,2;900,5;20,8;5,8;2;
2010-06-30;1;,6;903,3;19;6,7;2,3;
2010-07-31;0;0;903,3;19,2;6;2,7;
2010-08-31;1;1;902,8;20,2;6,6;2,8;
2010-09-30;2;6,4;900,7;22,8;6,1;2,9;
2010-10-31;14;117,6;898,7;23;6,9;2;
2010-11-30;21;287;897,8;20,9;6,1;1,8;
2010-12-31;23;321,2;896,6;21,4;6,1;1,8;
2011-01-31;19;217,4;897,7;21,5;5,6;2;
2011-02-28;15;175,6;898,7;21,5;5,6;1,7;
2011-03-31;23;259;898,3;21,4;6,4;1,8;
2011-04-30;10;85,4;900,1;21,3;5,6;2,1;
2011-05-31;2;6;900,9;20,1;5,2;2,2;
2011-06-30;2;2,8;902;19;5,5;2,1;
2011-07-31;0;0;902,3;19;6,2;2,4;
2011-08-31;null;0;901,9;21,2;6,4;2,6;
2011-09-30;2;7,6;901,8;22,2;7;2,7;
2011-10-31;20;245,4;898,7;21;7,3;2,1;
2011-11-30;19;326,2;898,5;20,6;6,1;2;
2011-12-31;21;322;898,3;21;6;1,8;
2012-01-31;23;302,2;899,1;20,7;7,5;1,9;
2012-02-29;13;60,8;899,3;21,4;7,5;2;
2012-03-31;14;178,2;899,7;21,9;5,4;1,9;
2012-04-30;9;118,8;899,8;21,9;5,1;1,8;
2012-05-31;6;48;901,7;19,9;6;2,3;
2012-06-30;0;0;902,5;19,9;6,2;2,1;
2012-07-31;0;0;902,6;19,2;5,9;2,4;
2012-08-31;null;0;903,9;19,7;6,9;3,2;
2012-09-30;3;12,2;901,9;23;6,6;2,6;
2012-10-31;6;54,8;899,1;23,7;6,5;2,4;
2012-11-30;23;366,8;897,9;21,4;5,7;1,8;
2012-12-31;18;143,6;898,4;22,3;6;1,8;
2013-01-31;16;null;899,1;21,4;4,7;1,8;
2013-02-28;10;128,6;899,2;22,6;5,2;1,9;
2013-03-31;18;203,6;899,6;22,1;5,4;1,8;
2013-04-30;9;89,2;900,7;21;5,3;1,9;
2013-05-31;3;25,6;901,4;20,2;5,8;2;
2013-06-30;5;48,2;902,3;19,8;4,9;2,1;
2013-07-31;0;0;903,1;19,3;6,2;2,3;
2013-08-31;1;1;902,1;20,6;6;2,7;
2013-09-30;5;46,6;901,1;22,1;7,3;2,7;
2013-10-31;14;151;899,9;22,1;5,6;2,3;
2013-11-30;16;204,8;898,2;21,6;5,5;2;
2013-12-31;27;350,2;897,7;21,4;5,2;1,8;
2014-01-31;13;125,6;900,2;21,9;6,3;2;
2014-02-28;13;158,2;899,3;21,7;5,8;2;
2014-03-31;26;384,6;899,9;21,2;5,4;1,7;
2014-04-30;16;153,2;900,4;21,3;4,5;1,7;
2014-05-31;2;4,2;901,2;20;4,9;1,8;
2014-06-30;3;6,6;902,5;19;5,5;2,1;
2014-07-31;2;1,2;904,3;18,5;6,3;2,3;
2014-08-31;0;0;902,9;20,5;5,9;2,4;
2014-09-30;3;8;900,9;23,2;6,7;2,5;
2014-10-31;10;52,8;900,2;23,4;7,1;2,5;
2014-11-30;23;213;898,8;21,7;5,6;1,7;
2014-12-31;24;347,4;899,5;21,2;6,7;1,9;
2015-01-31;12;82,2;900,4;22,5;5;1,8;
2015-02-28;16;191,6;900;21,5;5,3;1,9;
2015-03-31;22;329;900;20,9;5;1,6;
2015-04-30;19;231,8;900,3;21,5;5,1;1,5;
