Nome: SETE QUEDAS
Codigo Estacao: A751
Latitude: -23.96694443
Longitude: -55.02416666
Altitude: 398.4
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;225,4;964,2;25,5;8,5;2,7;
2010-02-28;13;160,4;964,8;25,9;11,5;2,7;
2010-03-31;13;127;965,2;24,8;8,2;2,4;
2010-04-30;9;87,4;968,6;22,3;10,3;2,6;
2010-05-31;19;124,8;969,6;17,4;7,7;2,6;
2010-06-30;4;41,8;970,9;18,7;8,1;2,6;
2010-07-31;7;null;970,7;18;8,5;3,4;
2010-08-31;1;null;969,9;19,4;9,7;3,5;
2010-09-30;null;null;null;null;8,7;null;
2010-10-31;null;null;null;null;10,8;null;
2010-11-30;null;null;964,7;null;9,4;2,8;
2010-12-31;null;null;null;null;8,6;null;
2011-01-31;3;null;963,1;26,1;6,6;1,6;
2011-02-28;11;null;null;25,1;5,9;null;
2011-03-31;4;null;964,7;24,7;6,3;2,4;
2011-04-30;1;null;null;null;12,9;null;
2011-05-31;5;18,4;970,4;18,8;7,1;2,3;
2011-06-30;7;73,6;969,7;17,1;7,8;2,7;
2011-07-31;12;171,4;969,3;18,1;8,9;2,4;
2011-08-31;12;105,6;969;18,8;9,4;3,4;
2011-09-30;6;55,2;969,5;21,2;9;3,2;
2011-10-31;13;283;965;23,6;11,9;3;
2011-11-30;9;169,4;965,1;25,1;9,6;2,9;
2011-12-31;9;45;964;26,6;6,9;2,2;
2012-01-31;9;89,8;963,9;27;6,9;2,4;
2012-02-29;8;69,8;965,1;27,1;7;2,1;
2012-03-31;6;76,2;967,1;25,1;8,6;2,1;
2012-04-30;15;401,6;967,2;22,3;7,8;2,3;
2012-05-31;9;74,2;970;19,9;8,4;2,8;
2012-06-30;17;167,4;970;17,9;7,7;2,6;
2012-07-31;11;48,2;970,6;17,7;7,6;2,4;
2012-08-31;3;7,2;971,5;21,4;8,3;3,6;
2012-09-30;8;28,6;968,7;22,7;9,7;3,3;
2012-10-31;13;252,6;965,1;24,1;10,9;3,3;
2012-11-30;13;137,4;964,1;25,1;7,9;2,8;
2012-12-31;17;153;963,1;26,2;7,6;2,2;
2013-01-31;7;112,8;965,1;25,4;8,4;2,5;
2013-02-28;15;76,4;964,9;25;7;2,3;
2013-03-31;18;202,6;966,3;23,5;8,1;2,3;
2013-04-30;11;164,2;968,5;21,3;9,3;2,4;
2013-05-31;15;107,4;969,2;19,2;6,7;2,5;
2013-06-30;17;153,8;969,8;19,2;7,8;null;
2013-07-31;6;8,4;972,1;17,7;8,9;2,7;
2013-08-31;5;10,6;970,7;17,1;8,5;2,9;
2013-09-30;11;120;968,5;20,8;9,3;3,4;
2013-10-31;14;167,8;967;22,4;9,1;2,9;
2013-11-30;8;130;964,7;24,7;10,5;3,4;
2013-12-31;11;156,6;963;25,8;8,7;2,5;
2014-01-31;13;97,6;966;25,9;8,1;2,1;
2014-02-28;12;57;965,3;26,3;8,3;2,5;
2014-03-31;14;147,2;966,3;23,6;9,4;2,2;
2014-04-30;12;149,4;968,1;21,9;8,1;2,5;
2014-05-31;13;null;968,9;19,5;8,8;2,2;
2014-06-30;7;null;null;18,9;8,7;null;
2014-07-31;7;null;972,1;17,9;10,2;3,1;
2014-08-31;2;21;970,5;20,7;7,6;2,8;
2014-09-30;8;148;966,7;22,7;10,1;3,4;
