Nome: BAIXA GRANDE DO RIBEIRO
Codigo Estacao: A375
Latitude: -8.333531
Longitude: -45.094625
Altitude: 519
Situacao: Operante
Data Inicial: 2018-03-22
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;5;null;null;null;null;null;
2018-04-30;8;46,8;953,5;25;6,5;1,8;
2018-05-31;1;13,8;954,2;25,7;7;2,2;
2018-06-30;null;0;955,3;25,4;7,9;2,7;
2018-07-31;0;0;955,2;25,8;8,2;2,9;
2018-08-31;1;2,4;955;27,2;8,6;2,7;
2018-09-30;2;34,6;952,3;28,2;9,4;2,2;
2018-10-31;10;106,2;951,8;27,3;7,6;1,8;
2018-11-30;13;98,2;951,3;26,5;8,2;1,9;
2018-12-31;11;164,2;953,2;25,3;7,9;1,7;
2019-01-31;15;97,6;953,5;25,2;7,3;1,3;
2019-02-28;18;166,2;952,9;24,5;6,9;1;
2019-03-31;19;94,8;953,3;24,9;8,1;1,2;
2019-04-30;13;106,2;953,2;25,2;5,8;1,2;
2019-05-31;5;115,8;953,3;25,7;5,7;1,3;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;1;null;null;null;null;null;
2019-09-30;0;0;953,4;28,6;9,6;2,3;
2019-10-31;11;54;951,9;28,3;8,3;1,9;
2019-11-30;6;76,6;950,8;27,5;8,3;1,9;
2019-12-31;7;50,2;951,2;27,4;8;2,2;
2020-01-31;20;193;953;25;5,9;1,5;
2020-02-29;19;198,6;953,1;24,9;7,7;1,4;
2020-03-31;23;507,2;953,2;24,5;5,9;1,5;
2020-04-30;14;183,8;953,8;25,2;6,9;1,9;
2020-05-31;3;77;954,8;25,4;7,5;2,4;
2020-06-30;4;6;955,2;24,5;9,8;3,1;
2020-07-31;0;0;954,9;24,8;8,9;3,3;
2020-08-31;2;1,8;954,4;26,3;9,2;3,3;
2020-09-30;0;0;953,3;28,4;9,5;3,6;
2020-10-31;11;107,6;951,9;27,8;8,3;2,5;
2020-11-30;11;214,2;952,1;25,6;7,6;2,5;
2020-12-31;10;125,8;951,9;25,6;8,5;1,8;
2021-01-31;11;null;951,8;24,8;7,1;1,5;
2021-02-28;22;401,2;952,2;23,8;6,7;1,3;
2021-03-31;16;136,6;952,4;24,4;8;1,4;
2021-04-30;15;125,8;952,6;24,9;6,5;1,6;
2021-05-31;1;4;954,2;25,2;6,4;1,9;
2021-06-30;0;0;954,5;25,5;6,8;2,1;
2021-07-31;0;0;955,6;25,8;8,7;2,7;
2021-08-31;1;7,4;954,7;26,7;8,4;3,1;
2021-09-30;3;18,2;953,2;28,5;8,2;2,3;
2021-10-31;11;71,6;952,1;27,6;7,2;1,7;
2021-11-30;16;252,8;951,7;24,9;6,7;1,5;
2021-12-31;24;288,8;951,3;24,4;6,9;1,4;
2022-01-31;14;null;null;23,9;6,5;null;
2022-02-28;1;null;null;null;6,7;null;
2022-03-31;null;null;null;null;5,7;null;
2022-04-30;null;null;null;null;6,6;null;
2022-05-31;null;null;null;null;8,6;null;
2022-06-30;null;null;null;null;7,4;null;
2022-07-31;null;null;null;null;7,5;null;
2022-08-31;null;null;null;null;9,6;null;
2022-09-30;null;null;null;null;9,1;null;
2022-10-31;null;null;null;null;9,3;null;
2022-11-30;null;null;null;null;5,5;null;
2022-12-31;null;null;null;null;6,7;null;
2023-01-31;null;null;null;null;4,3;null;
2023-02-28;null;null;null;null;5,8;null;
2023-03-31;null;null;null;null;4,9;null;
2023-04-30;null;null;null;null;6;null;
2023-05-31;null;null;null;null;6,4;null;
2023-06-30;null;null;null;null;7,5;null;
2023-07-31;null;null;null;null;8,1;null;
2023-08-31;null;null;null;null;9;null;
2023-09-30;null;null;null;null;8,3;null;
2023-10-31;null;null;null;null;6;null;
2023-11-30;null;null;null;null;6,1;null;
2023-12-31;null;null;null;null;7,5;null;
2024-01-31;null;null;null;null;4;null;
2024-02-29;null;null;null;null;6,3;null;
2024-03-31;null;null;null;null;6,1;null;
2024-04-30;null;null;null;null;5,7;null;
2024-05-31;null;null;null;null;5,6;null;
2024-06-30;null;null;null;null;5,1;null;
2024-07-31;null;null;null;null;8,6;null;

