Nome: GAMA (PONTE ALTA)
Codigo Estacao: A046
Latitude: -15.93527777
Longitude: -48.13749999
Altitude: 990
Situacao: Operante
Data Inicial: 2014-09-30
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2014-09-30;null;null;null;null;null;null;
2014-10-31;7;null;null;24,5;8,2;null;
2014-11-30;21;241,8;903,2;22,5;7,3;2,1;
2014-12-31;21;275,2;903,8;21,9;8,9;2,3;
2015-01-31;12;76,2;904,8;23,3;12;2,1;
2015-02-28;13;128,8;904,3;22,4;7,7;2,3;
2015-03-31;23;213,8;904,4;21,4;7,2;1,7;
2015-04-30;20;267,4;null;22;6,4;1,7;
2015-05-31;7;68,6;null;20,6;10,1;2,3;
2015-06-30;0;0;null;19,8;9,1;2,7;
2015-07-31;1;1,4;907,7;20,4;8,1;2,6;
2015-08-31;0;0;907;21,6;9,7;3;
2015-09-30;6;34,4;904,6;24,8;8,2;2,5;
2015-10-31;9;100,4;904,2;25,8;8,7;2,7;
2015-11-30;17;185,6;903;23,9;7,7;2;
2015-12-31;20;191,6;904,7;23,3;8,3;2;
2016-01-31;27;319;903,1;22,4;8;2,3;
2016-02-29;13;142,8;904,8;23,3;7,9;2;
2016-03-31;14;112,4;905,6;23;8;1,7;
2016-04-30;2;null;904,9;23,2;8,6;2;
2016-05-31;null;null;null;22;8;null;
2016-06-30;1;,2;908,2;20,4;8,1;2;
2016-07-31;0;0;907,6;20,8;9,1;2,4;
2016-08-31;5;8,4;906,6;22,4;9;2,6;
2016-09-30;6;6,4;905,5;24,6;10,3;2,8;
2016-10-31;16;111;903,6;23,8;9,4;2,4;
2016-11-30;23;125;903;22,3;11,9;2,3;
2016-12-31;17;125,8;903,6;22,6;9;2,5;
2017-01-31;16;184,4;903,9;22,6;9,6;2;
2017-02-28;17;223;903,8;22,3;9,7;2,2;
2017-03-31;13;131;904,1;22,6;6,2;1,8;
2017-04-30;12;75,8;904,8;22,6;8,5;2;
2017-05-31;8;40,4;905,9;21,4;8;2,2;
2017-06-30;0;0;907,5;19,8;9,1;2,5;
2017-07-31;0;0;910;17,8;10,9;3,3;
2017-08-31;null;null;906,3;22,3;8,8;2,9;
2017-09-30;null;0;906,9;23,2;11;4,2;
2017-10-31;5;null;903,5;null;11,5;3,1;
2017-11-30;24;268;902,6;22,4;8;2,3;
2017-12-31;21;221,4;902,8;22;7,9;2;
2018-01-31;23;61,4;903,6;22,5;7,6;2,1;
2018-02-28;17;98,4;903,1;22,3;8;2,2;
2018-03-31;21;276,8;903,6;22,6;9;1,9;
2018-04-30;6;null;905,6;21,4;9,3;2,2;
2018-05-31;2;21,4;906,8;20,3;9,9;2,5;
2018-06-30;0;0;907,8;20,3;10,1;2,4;
2018-07-31;0;0;907,7;19,7;9,1;2,4;
2018-08-31;2;31,2;907;21,9;9,8;2,5;
2018-09-30;6;31;904,2;23,8;9,1;2,5;
2018-10-31;17;180,8;903,5;23,4;6,7;1,9;
2018-11-30;22;395,2;903,3;21,8;9,4;2,1;
2018-12-31;17;112;904,2;22,5;6,4;2,1;
2019-01-31;9;85,6;905,4;22,9;8,4;2,1;
2019-02-28;20;269,2;904,1;22,8;6,9;1,9;
2019-03-31;20;140,8;904,8;22,3;7,9;1,8;
2019-04-30;17;211,2;904,9;22;8,7;1,6;
2019-05-31;7;80,8;905,5;21,5;6,1;1,7;
2019-06-30;0;0;908,3;19,6;9,9;2,4;
2019-07-31;0;0;907,8;19,4;10,2;2,6;
2019-08-31;1;,2;908,3;22,1;12,7;3,2;
2019-09-30;2;4,8;905,3;25,3;8,7;3;
2019-10-31;12;104,2;903,6;24,7;9,1;2,5;
2019-11-30;19;159,2;902,7;23;8,9;2;
2019-12-31;17;187,2;903,4;22,7;10,3;2;
2020-01-31;22;422,6;903,3;22,8;7,2;2,2;
2020-02-29;22;302,6;904,4;22,4;7,4;1,8;
2020-03-31;17;283;904,1;22,5;6,9;2;
2020-04-30;14;183,2;905,6;21,9;7,3;2;
2020-05-31;4;null;907;19,8;8,6;2,1;
2020-06-30;0;0;907,6;19,9;6,5;1,8;
2020-07-31;0;0;907,4;19,6;8,8;2,1;
2020-08-31;0;0;906,9;21,4;9;2,8;
2020-09-30;2;49,2;905,7;24,1;9,1;2,9;
2020-10-31;11;243,2;903,5;24,1;8,3;2,3;
2020-11-30;18;135;903,5;22,6;7,6;2,4;
2020-12-31;15;291,8;903,3;23,1;6,9;1,8;
2021-01-31;13;190,2;903,4;22,8;7;1,8;
2021-02-28;24;437,8;902,7;21,7;6,3;1,8;
2021-03-31;12;123,8;904;22,2;6,2;1,8;
2021-04-30;7;36,8;904,6;21,3;7,6;1,9;
2021-05-31;1;1,4;906,4;20,4;9,1;1,8;
2021-06-30;2;19;907;19,9;9,5;2,2;
2021-07-31;0;0;908,3;19;8,6;2,3;
2021-08-31;0;0;907,1;22;10,2;3,4;
2021-09-30;3;28,4;904,9;25,5;11;2,7;
2021-10-31;7;88,2;903,7;23,6;8,4;2,2;
2021-11-30;22;202,4;902,6;22,4;8,8;2,1;
2021-12-31;23;309,8;901,6;22,3;7,2;1,9;
2022-01-31;15;183;903,3;22,1;6,8;2,1;
2022-02-28;24;320;903,6;21,9;6,5;1,8;
2022-03-31;11;126,2;903,8;22,6;8,8;2;
2022-04-30;5;55,8;904,4;22,7;8,1;2,1;
2022-05-31;2;5,2;906,3;20;8,5;2,1;
2022-06-30;0;0;906,4;20;7,4;2,1;
2022-07-31;0;0;907,5;20;7,8;2,6;
2022-08-31;0;0;906,5;22,2;11,2;3,1;
2022-09-30;2;null;905,3;24,2;9,7;2,9;
2022-10-31;8;48,4;903,9;24,3;10,2;2,8;
2022-11-30;20;269,2;902,8;21,9;9,2;2,3;
2022-12-31;22;332,6;902,4;21,7;7,1;2;
2023-01-31;21;234,8;903,9;21,6;6,9;1,8;
2023-02-28;11;null;904,3;22,8;7,4;1,8;
2023-03-31;16;203,8;904,7;21,6;6,5;1,7;
2023-04-30;15;134,6;904,4;21,5;6,7;1,8;
2023-05-31;1;5,8;906,3;20,4;8,5;1,9;
2023-06-30;1;4,2;907,9;20;7,8;2;
2023-07-31;0;0;908;20,6;9;2,4;
2023-08-31;3;22;906,3;22,6;9,4;2,5;
2023-09-30;6;14,6;905,1;25,2;10,3;2,7;
2023-10-31;7;94,8;903,6;25,4;8,8;2,2;
2023-11-30;14;139,4;903,3;24,8;8,5;2,1;
2023-12-31;14;159,2;903,4;24;8,5;2;
2024-01-31;26;320,2;903,7;22,8;6;1,7;
