Nome: SONORA
Codigo Estacao: A761
Latitude: -17.63527777
Longitude: -54.76055555
Altitude: 495.25
Situacao: Operante
Data Inicial: 2012-11-29
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2012-11-30;null;null;null;null;null;null;
2012-12-31;14;130,6;954,2;25,8;11,8;3,4;
2013-01-31;19;215,8;954,5;25,1;8,3;3;
2013-02-28;19;265,4;955,4;24,3;9,1;3,1;
2013-03-31;18;183,2;955,6;25,2;7,7;2,9;
2013-04-30;9;45,6;957,3;23,8;7,9;3;
2013-05-31;6;24,4;958;23,3;9,2;3;
2013-06-30;9;73;958,7;23;10,2;3;
2013-07-31;4;25,4;960,2;21,7;11,7;3,9;
2013-08-31;0;0;959,1;22,3;10,7;4,4;
2013-09-30;6;52,2;957,1;25,3;10,5;4,4;
2013-10-31;13;119,4;956;25,4;14,3;3,6;
2013-11-30;16;175,8;954,1;25,2;10,5;3,3;
2013-12-31;23;182,2;953,4;24,7;11,9;3,2;
2014-01-31;24;190,8;956,5;24,2;11,9;2,9;
2014-02-28;24;269;955,1;24;10,7;2,9;
2014-03-31;22;283;955,8;24,7;8;3,1;
2014-04-30;10;88,4;956,9;24,8;9,4;3;
2014-05-31;7;72,2;958,1;22,3;9,5;3,3;
2014-06-30;7;18,6;959,1;22,5;8,4;3,4;
2014-07-31;8;140;960,8;21,9;8,5;3,3;
2014-08-31;1;,2;959;24,8;11,2;3,7;
2014-09-30;7;46,8;956,4;26,6;12,5;4;
2014-10-31;8;82;955,8;27,1;11,7;3,5;
2014-11-30;19;218;954,7;24,7;14,3;3,3;
2014-12-31;23;354,4;954,9;24,5;8,1;3,1;
2015-01-31;22;184,8;956,8;25,3;10,1;2,8;
2015-02-28;19;178,4;955,8;24,6;8,9;2,9;
2015-03-31;23;233,4;956;24,6;10,2;2,7;
2015-04-30;15;197;956,9;24,7;9,2;2,6;
2015-05-31;7;101,4;958,5;23,2;7,1;3;
2015-06-30;2;14,6;960,2;22,8;8,2;3,2;
2015-07-31;5;9;959,5;22,9;9;3,4;
2015-08-31;2;19;958;26;11,3;4;
2015-09-30;3;null;null;null;10,8;null;
2015-10-31;12;127,8;955,8;26,8;11,9;3,4;
2015-11-30;18;141,6;954,5;26,1;13;3,6;
2015-12-31;17;108,8;956;25,9;10,3;3,5;
2016-01-31;24;259,8;953,9;25;9;3,5;
2016-02-29;null;null;956,4;25,7;7,6;2,8;
2016-03-31;10;77,6;957,2;25,4;9,3;2,9;
2016-04-30;6;58;957;25,3;9,4;2,9;
2016-05-31;5;1,2;959,4;23,2;9,7;3,2;
2016-06-30;0;0;961,1;21,3;7,9;3,2;
2016-07-31;0;0;959,6;23;8,4;3,5;
2016-08-31;1;,2;958,5;24;12,6;3,7;
2016-09-30;null;null;958,3;24,4;8,3;3,8;
2016-10-31;null;null;955,6;25,5;11,2;3,6;
2016-11-30;null;null;954,7;24,8;13,2;3,5;
2016-12-31;null;null;955,1;25,1;10,2;3,3;
2017-01-31;null;null;955,8;24,9;9,6;2,9;
2017-02-28;null;null;955,4;24,6;9,7;2,7;
2017-03-31;null;null;955,9;25,1;7,7;2,5;
2017-04-30;null;null;957;24,3;9,8;2,9;
2017-05-31;14;55,6;957,7;24,3;8,2;2,7;
2017-06-30;4;2,8;959,6;22,1;7,7;3,2;
2017-07-31;1;1;962,2;21,7;7,7;3,7;
2017-08-31;1;null;957,5;26,2;10,2;3,6;
2017-09-30;6;24,4;957,4;27,3;8,8;3,4;
2017-10-31;3;null;null;null;9,8;null;
2017-11-30;12;186,6;953,7;25,6;8,1;3,2;
2017-12-31;13;null;null;24,7;8,5;null;
2018-01-31;23;207;955,2;24,6;9,9;3;
2018-02-28;24;318,4;954,7;24,4;9;2,8;
2018-03-31;21;250,6;955,4;25,1;7,9;2,5;
2018-04-30;14;209,2;957,7;24,8;8;2,6;
2018-05-31;12;69,8;959;23,2;9,6;2,9;
2018-06-30;6;3,4;960,6;21,5;7,1;3;
2018-07-31;2;1,4;960;22,5;6,8;2,9;
2018-08-31;4;18,2;959,6;23,1;11,9;3,6;
2018-09-30;9;94;956,1;25,6;10,1;3,4;
2018-10-31;4;null;null;null;9,2;null;
2018-11-30;7;null;null;null;10,4;null;
2018-12-31;15;214,4;955,8;25,6;15,6;3,2;
2019-01-31;20;140,2;957,1;25,4;9,9;3,1;
2019-02-28;16;316;955,7;25,2;11;2,9;
2019-03-31;17;148,6;956,7;25,2;10,7;3;
2019-04-30;null;null;956,8;24,5;7,1;2,4;
2019-05-31;null;null;958;23;6,7;2,8;
2019-06-30;2;,4;960;23,2;8,4;3,3;
2019-07-31;0;0;960;21,7;9,6;3,3;
2019-08-31;0;0;960,2;24,2;11,2;3,7;
2019-09-30;2;11,8;956,3;28;8,6;3,5;
2019-10-31;7;45,8;955,5;26,8;17,9;3,9;
2019-11-30;19;142,6;954,3;25,6;13,1;3,5;
2019-12-31;20;143,2;955;25,4;11,9;2,9;
2020-01-31;null;null;954,6;26;8;2,8;
2020-02-29;null;null;955,7;25,2;7,2;2,7;
2020-03-31;null;null;955,7;25,9;9,9;2,8;
2020-04-30;null;null;957,8;24,9;10,3;3;
2020-05-31;null;null;959,6;21,4;8;3,1;
2020-06-30;null;null;959;23,1;8;3,1;
2020-07-31;null;0;958,8;23,2;8,7;3,5;
2020-08-31;0;0;958;25,3;11,6;4,2;
2020-09-30;0;0;956,2;28,6;8,9;3,7;
2020-10-31;3;6,6;954,5;28,1;13,3;3,6;
2020-11-30;null;null;null;26,6;14;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;11;null;null;24,4;8,3;null;
2022-04-30;18;6,2;956,5;24,7;12,6;2,9;
2022-05-31;5;1,6;959,2;21,2;7,7;3,2;
2022-06-30;15;4;959;21,5;7,8;2,9;
2022-07-31;0;0;958,6;23,8;8,4;3,5;
2022-08-31;4;,8;958,7;23,3;12,2;4,1;
2022-09-30;null;null;956,6;25,2;11,7;4,1;
2022-10-31;2;null;955,5;25,2;10,3;3,7;
2022-11-30;null;null;955;24,5;11,6;3,9;
2022-12-31;null;null;953,4;25,2;9;3,1;
2023-01-31;null;null;955,1;24,2;9,3;3,1;
2023-02-28;null;null;956,2;24,4;10,3;2,7;
