Nome: CAMPO MAIOR
Codigo Estacao: A376
Latitude: -4.86416666
Longitude: -42.14555555
Altitude: 125
Situacao: Operante
Data Inicial: 2018-11-22
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-11-30;1;null;null;null;null;null;
2018-12-31;10;null;null;null;8,2;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;null;null;null;null;null;null;
2019-03-31;6;null;null;null;null;null;
2019-04-30;23;317,8;997,4;26,4;6,4;1,2;
2019-05-31;23;91,6;997,2;26,9;6,3;1,2;
2019-06-30;6;10;999,1;27;6,2;1,7;
2019-07-31;8;9,4;998,9;27,7;6,3;1,9;
2019-08-31;4;1,6;999,5;28,8;7;2;
2019-09-30;4;12;997,4;29,9;6,3;2;
2019-10-31;5;11,2;995,8;30,2;6,2;2,2;
2019-11-30;5;15,6;994,5;30,6;6,2;2,1;
2019-12-31;5;7,4;994,7;30,2;7,2;2;
2020-01-31;19;148,6;997,1;27;6,8;1,3;
2020-02-29;null;null;997,4;26,5;8,9;1,1;
2020-03-31;null;null;997,3;26,4;6;1,1;
2020-04-30;null;null;997,7;26,9;6,8;1,4;
2020-05-31;null;null;998,4;27,1;4,7;1,5;
2020-06-30;6;3,4;998,4;27,4;6,8;2,1;
2020-07-31;null;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;4;3,4;997,7;28,5;6,3;2,2;
2022-09-30;5;21,2;996,6;29,6;6,6;2,2;
2022-10-31;6;19,6;995,2;30,2;6,2;2,3;
2022-11-30;5;null;995,6;28,5;6,2;1,9;
2022-12-31;5;null;995,4;null;6,6;1,9;
2023-01-31;10;null;996,9;26,7;7;1,6;
2023-02-28;15;null;996,5;26,8;6,9;1,3;
2023-03-31;20;null;997,4;25,9;6,8;1,1;
2023-04-30;18;233,8;996,7;26,6;8,1;1,2;
2023-05-31;9;108,4;997,7;27,6;5,8;1,1;
2023-06-30;3;9,2;998,9;27,6;5,7;1;
2023-07-31;2;10,8;998,9;28,4;5,9;,2;
2023-08-31;0;0;997,5;29,4;6,5;,6;
2023-09-30;1;,6;996,3;30,6;6,8;,9;
2023-10-31;3;1,6;995;31,1;6,8;,9;
2023-11-30;2;null;994,5;null;6,8;null;
2023-12-31;null;null;null;null;8,1;null;
2024-01-31;2;null;null;null;6,7;null;
2024-02-29;null;null;null;null;8,6;null;
2024-03-31;null;null;997;27,4;8,1;,8;
2024-04-30;null;null;null;null;7,1;null;
2024-05-31;null;null;null;null;5,3;null;
2024-06-30;null;null;null;null;5,5;null;
2024-07-31;null;null;null;null;7;null;

