Nome: ANGICAL DO PIAUI
Codigo Estacao: A377
Latitude: -6.08944444
Longitude: -42.72749999
Altitude: 183
Situacao: Pane
Data Inicial: 2019-11-13
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-11-30;3;null;null;null;null;null;
2019-12-31;14;101,8;987,9;28,5;4,2;1,1;
2020-01-31;17;112;989,9;26,2;5,4;1;
2020-02-29;21;200,4;990,1;26;4,5;,9;
2020-03-31;27;616,4;990;25,8;4,8;,9;
2020-04-30;24;199,2;990,6;26;3,8;,9;
2020-05-31;17;57,6;991,4;25,9;4;1;
2020-06-30;4;6,6;991,8;25,2;4;1,1;
2020-07-31;0;0;991,5;25;4,4;1,3;
2020-08-31;0;0;991,1;26,2;4,9;1,4;
2020-09-30;2;,8;990,1;28,1;4,5;1,4;
2020-10-31;8;33,6;988,6;29,6;4,3;1,3;
2020-11-30;27;35,4;988,7;27,4;4;1,1;
2020-12-31;15;3;988,7;26,9;7,3;1;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;0;991,4;26;5,7;1,4;
2022-09-30;0;0;990,1;28,1;4;1,3;
2022-10-31;null;null;988,6;29,2;5,2;1,2;
2022-11-30;null;null;988,9;26,2;3,2;,9;
2022-12-31;null;null;988,7;26,2;3,5;,9;
2023-01-31;null;null;989,8;25,1;4;,8;
2023-02-28;null;null;989,6;25,3;3,6;,8;
2023-03-31;null;null;989,9;25,5;4,5;,9;
2023-04-30;null;null;989,4;25,8;5;,9;
2023-05-31;null;null;990,7;26;3,8;,9;
2023-06-30;null;null;992,2;25,7;3,7;null;
2023-07-31;null;null;992,4;25,7;null;null;
2023-08-31;null;null;991;26,8;null;null;
2023-09-30;null;null;null;null;null;null;
2023-10-31;null;null;null;null;null;null;
2023-11-30;null;null;null;null;null;null;
2023-12-31;null;null;null;null;null;null;
2024-01-31;null;null;null;null;null;null;
2024-02-29;null;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

