Nome: SANTA FE DO ARAGUAIA
Codigo Estacao: A048
Latitude: -7.124191
Longitude: -48.781267
Altitude: 171
Situacao: Operante
Data Inicial: 2016-07-29
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-07-31;1;null;null;null;null;null;
2016-08-31;1;11,2;989,2;27,4;8,3;2,1;
2016-09-30;11;144,2;988,8;27;11,9;2,1;
2016-10-31;10;95,8;987,2;26,4;null;null;
2016-11-30;16;147;986,4;26,1;null;null;
2016-12-31;15;101,4;987,3;25,6;null;null;
2017-01-31;21;179;988,1;25,3;null;null;
2017-02-28;18;328,8;988,2;25;null;null;
2017-03-31;25;355;988,2;25,7;null;null;
2017-04-30;23;188,2;988,3;25,8;null;null;
2017-05-31;13;57,6;988,7;26,6;null;null;
2017-06-30;4;23,6;989,6;25,7;7,7;2;
2017-07-31;0;0;991,6;25,7;8,1;2,7;
2017-08-31;2;49;988,8;27,6;7,9;2;
2017-09-30;1;1,2;988,3;28,5;7,8;2,6;
2017-10-31;7;29,8;986,7;27,8;11,3;2,3;
2017-11-30;7;null;null;null;8,6;null;
2017-12-31;18;227,2;987,2;25,3;null;null;
2018-01-31;24;211,4;987,8;24,9;null;null;
2018-02-28;23;234,8;988;24,8;null;null;
2018-03-31;28;410,2;988;25,3;null;null;
2018-04-30;19;148,6;988,8;25,6;null;null;
2018-05-31;8;58,2;989,3;26;6,9;null;
2018-06-30;0;0;990,3;25,7;7;2;
2018-07-31;0;0;989,9;26,5;7;2,1;
2018-08-31;5;48,4;989,9;26,7;6,8;1,9;
2018-09-30;9;74,4;987,5;26,9;7,5;1,9;
2018-10-31;10;179,8;987,3;26,7;8,7;1,9;
2018-11-30;16;278,2;986,8;25,8;10,5;1,9;
2018-12-31;16;185,8;988,7;25,4;6,9;1,8;
2019-01-31;22;333;989,2;24,9;null;null;
2019-02-28;21;222,8;988,5;25,5;null;null;
2019-03-31;22;443,4;989;25,6;null;null;
2019-04-30;20;263,6;988,6;25,9;null;null;
2019-05-31;5;null;null;null;9,5;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;null;null;null;null;null;null;
2019-08-31;null;null;null;null;null;null;
2019-09-30;null;null;null;null;null;null;
2019-10-31;12;null;null;25,9;6,8;null;
2019-11-30;18;170,2;986,6;25,6;12,1;1,7;
2019-12-31;15;114,8;987;25,9;8;1,8;
2020-01-31;22;252,6;988,6;25,6;8,2;1,9;
2020-02-29;22;321,4;988,8;25,5;7,3;1,8;
2020-03-31;26;531,4;988,7;25,6;7,4;1,9;
2020-04-30;22;428;989,2;25,8;6,9;1,8;
2020-05-31;10;50,2;989,7;26,4;6,1;1,8;
2020-06-30;3;15,6;989,9;26;7,9;2,3;
2020-07-31;0;0;989,5;25,9;8,9;2,5;
2020-08-31;1;7,6;988,9;26,9;9,1;2,5;
2020-09-30;3;null;null;27,4;7,8;null;
2020-10-31;3;null;null;null;6,7;null;
2020-11-30;null;null;null;null;9,9;null;
2020-12-31;null;null;null;null;10,9;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;15;null;987,7;26;7,4;1,8;
2022-05-31;4;22,2;989,5;25,9;8;1,8;
2022-06-30;9;60,2;989,2;25,7;7;1,8;
2022-07-31;0;0;989,6;26,4;7,6;2,2;
2022-08-31;1;1,6;988,9;27,4;8,4;2,2;
2022-09-30;3;30,8;988;27,6;12;2,2;
2022-10-31;7;79,4;987;27,5;8,8;2;
2022-11-30;21;238,6;987,6;25,3;8,5;2,1;
2022-12-31;21;213,8;987,4;25,1;8,3;1,7;
2023-01-31;19;157,8;988,5;25,1;7,6;1,7;
2023-02-28;21;null;988,2;25,6;7,4;1,8;
2023-03-31;25;381,4;988,6;25,3;7,8;1,8;
2023-04-30;21;255,6;988;25,9;5,9;1,6;
2023-05-31;10;130,2;989,1;26,5;6,6;1,7;
2023-06-30;0;0;990,2;26,6;6,6;2;
2023-07-31;0;0;990,4;26,6;7,8;2,1;
2023-08-31;6;31,6;989;27,4;9,1;2;
2023-09-30;7;151,2;988,1;27,7;8,7;1,8;
2023-10-31;7;57,6;987,1;27,5;9,4;1,8;
2023-11-30;13;143,4;987,1;26,9;8,4;2;
2023-12-31;12;89,2;987,2;26,9;8,7;1,8;
2024-01-31;19;259,4;988,8;26,5;7,5;1,8;
2024-02-29;26;190;989,1;26;9,5;1,9;
2024-03-31;22;248;988,4;26,7;6,6;1,8;
2024-04-30;25;197,6;988;26,6;5,1;1,5;
2024-05-31;9;12,8;988,4;27,4;7,2;1,8;
2024-06-30;0;0;989,6;27,2;7,3;2,3;
2024-07-31;null;null;null;null;7,9;null;

