Nome: SAO JOAQUIM
Codigo Estacao: A815
Latitude: -28.27555554
Longitude: -49.93472221
Altitude: 1400.06
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;324;860,6;17,7;7,3;2,9;
2010-02-28;19;259,6;861,7;18,7;7,7;2,9;
2010-03-31;24;153,6;861;16,3;8,4;2,9;
2010-04-30;17;194,2;863,6;13,5;7,3;3,1;
2010-05-31;24;227,6;862,3;10,8;8,8;3,1;
2010-06-30;14;118,4;864,4;10,1;9,2;2,5;
2010-07-31;13;165,2;864,6;11;9,1;3,2;
2010-08-31;7;88,8;864,5;10,2;10;3,1;
2010-09-30;10;219;862,1;12,1;10,1;3,2;
2010-10-31;21;136,4;860,5;11,7;8,6;2,9;
2010-11-30;15;160;858,7;14,1;8,7;2,8;
2010-12-31;19;152,6;858,3;16,2;7,9;3;
2011-01-31;24;181,6;859;18,1;7,3;2,7;
2011-02-28;24;328,2;860,8;17,5;7,4;3;
2011-03-31;18;144,4;862,1;15,5;6,8;3,1;
2011-04-30;16;91,8;862,4;14,3;8,2;2,3;
2011-05-31;21;78,2;863,4;10,2;7,8;3;
2011-06-30;20;113,2;862,1;8,7;9,1;2,6;
2011-07-31;17;182;862,6;10;7,1;2,8;
2011-08-31;21;292,6;862,2;9,9;11,4;3,7;
2011-09-30;15;116,4;864,1;11,4;8,3;3,1;
2011-10-31;13;140,4;860,2;13,5;8,6;3,3;
2011-11-30;12;54,6;860,9;14,1;7,8;3;
2011-12-31;17;133,4;859,2;15,3;7,4;2,9;
2012-01-31;20;172,6;860,3;16,4;7,7;3;
2012-02-29;17;153,6;861,4;18,5;6,1;2,7;
2012-03-31;18;59,4;862,2;16;7,4;2,6;
2012-04-30;12;null;861,1;13,7;8;2,7;
2012-05-31;7;31,2;864,3;11,6;7,8;2,6;
2012-06-30;11;150;862,7;10,6;10;2,3;
2012-07-31;18;170,4;862,7;9,1;9,5;3,1;
2012-08-31;7;21,4;866,6;13,2;9,3;3;
2012-09-30;12;143,4;863,5;12,5;11;2,9;
2012-10-31;20;181,6;860,9;15;10,4;2,7;
2012-11-30;12;50,4;860,5;15,3;6,7;2,6;
2012-12-31;19;175,4;859,5;18,6;9,8;2,4;
2013-01-31;18;76,8;861,3;16,1;7,2;2,5;
2013-02-28;24;249,8;860,9;16,9;9,1;2,2;
2013-03-31;21;163,6;861,9;14,9;6,8;2,4;
2013-04-30;17;60,4;862,8;13,6;7,6;2;
2013-05-31;14;69,8;862,3;11,9;10,5;2,1;
2013-06-30;22;181,4;862,4;10,6;8,9;2,4;
2013-07-31;13;null;null;10,4;10,2;null;
2013-08-31;8;null;null;null;7,3;null;
2013-09-30;17;222,6;862,6;12,1;8,8;2,5;
2013-10-31;17;125,4;861,8;12,6;9,7;2,7;
2013-11-30;18;120;860,8;15,1;10,2;3,1;
2013-12-31;22;131,6;859,3;17,4;8,9;2,6;
2014-01-31;20;167,8;862,1;19;10;2,2;
