Nome: NOVO HORIZONTE
Codigo Estacao: A816
Latitude: -26.40638888
Longitude: -52.85027777
Altitude: 943.57
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;216,8;905,6;21,4;10,4;3,9;
2010-02-28;12;123,6;906,5;22,2;8,5;4,2;
2010-03-31;12;309,4;906,4;20,8;10,4;3,1;
2010-04-30;9;352,2;909,3;17,9;9;3,3;
2010-05-31;20;260,4;908,8;13,8;10,4;3,6;
2010-06-30;8;119,6;910,7;14,5;10,5;4,2;
2010-07-31;11;154,6;910,7;13,8;10,9;4;
2010-08-31;6;56,4;910,6;15,2;10,8;4,3;
2010-09-30;10;62,2;907,6;17,1;13,4;3,9;
2010-10-31;13;202,6;906,8;16,8;12,8;3,2;
2010-11-30;10;85,8;904,6;19;11,1;3,3;
2010-12-31;16;360,2;903,3;20,1;11,8;3,3;
2011-01-31;19;283,4;904,1;21,6;10,6;2,9;
2011-02-28;18;216,8;905,8;20,7;9,2;3,3;
2011-03-31;11;192,2;906,8;20;9;3,3;
2011-04-30;13;119,6;908,2;18,3;9,8;3;
2011-05-31;12;55,4;910;14,8;8,7;2,1;
2011-06-30;15;214,6;908,9;12,6;9,5;2,6;
2011-07-31;13;226,4;908,9;14,5;10,6;2,8;
2011-08-31;13;261,8;908,5;14,5;13,8;3,7;
2011-09-30;9;217,8;910;16,5;13,3;2,2;
2011-10-31;14;244,2;905,9;18,2;10,2;1,9;
2011-11-30;9;129,4;906,2;19,1;9,5;1,2;
2011-12-31;5;51,6;904,8;20,7;7,2;1,3;
2012-01-31;null;null;905,4;21,5;7,9;1,5;
2012-02-29;null;null;906,5;22,7;9,7;2,3;
2012-03-31;null;null;907,9;20,8;8;1,3;
2012-04-30;6;140;907,6;17,8;9,8;1,7;
2012-05-31;6;90;910,4;15,4;8,1;2,9;
2012-06-30;11;156,6;909,4;13,6;8,9;3;
2012-07-31;12;156;909,6;13;10,4;3,4;
2012-08-31;5;4,8;912,1;17,8;8,2;3,6;
2012-09-30;8;79,6;909,3;18,1;12,3;3,7;
2012-10-31;19;336,6;906,4;19;17,9;3,7;
2012-11-30;11;60,4;905,4;20,9;8,1;2,6;
2012-12-31;18;316;904,7;21,7;9,3;3,7;
2013-01-31;11;259,6;906,5;20,8;10,1;3;
2013-02-28;18;206;906,2;20,5;8,6;3,5;
2013-03-31;18;344,4;907,2;18,6;9;3;
2013-04-30;8;156,4;908,9;17,8;9,5;2,7;
2013-05-31;17;185,4;908,9;15,5;10,9;3,2;
2013-06-30;16;301;909;14,3;8;2,7;
2013-07-31;8;73,8;911,1;13,4;8,4;3,3;
2013-08-31;15;209,6;909,7;13,4;10,3;3,6;
2013-09-30;14;218,6;908,8;16,1;10,9;3,2;
2013-10-31;12;146,8;907,8;17,7;11,2;3;
2013-11-30;9;99,4;905,9;19,9;10,6;3,5;
2013-12-31;11;127,6;904,5;21,7;8,7;2,8;
2014-01-31;5;null;907,5;null;10,8;3,4;
2014-02-28;null;null;null;null;8,9;null;
2014-03-31;null;null;null;null;7,4;null;
2014-04-30;null;null;null;null;6,5;null;
2014-05-31;null;null;null;null;10,6;null;
2014-06-30;4;null;null;null;11,1;null;
2014-07-31;10;145;911,8;13,7;11;4;
2014-08-31;7;54,2;910,6;16,3;11,7;4,3;
2014-09-30;18;414;907,6;17,5;10,7;4,3;
2014-10-31;8;129,2;908,2;20,8;12,6;3,7;
2014-11-30;12;215,2;906,1;20,3;8;3,3;
2014-12-31;17;155,2;905,8;20,6;10,7;3,7;
2015-01-31;22;338,6;907,8;21,6;10;3,7;
2015-02-28;17;104;906,6;21,2;8,5;3,4;
2015-03-31;15;104;907,6;20,7;7,1;3;
