Nome: COLINAS DO TOCANTINS
Codigo Estacao: A049
Latitude: -8.092708
Longitude: -48.478605
Altitude: 200
Situacao: Operante
Data Inicial: 2016-11-10
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2016-11-30;13;null;null;26,3;7,6;null;
2016-12-31;19;143,8;985,1;25,9;6,6;1,6;
2017-01-31;23;249,2;985,9;25,3;8,9;1,5;
2017-02-28;22;null;986,2;25,3;6,9;1,6;
2017-03-31;24;266,8;986;25,9;8,6;1,5;
2017-04-30;21;103,8;986,1;26,1;6,7;1,4;
2017-05-31;6;22;986,7;26,5;6,9;1,5;
2017-06-30;1;9,8;987,7;25,2;5,7;1,7;
2017-07-31;0;0;989,9;24,7;6,1;2;
2017-08-31;3;6,8;986,8;27,4;6,7;1,9;
2017-09-30;1;null;986,3;28,7;7,2;2,1;
2017-10-31;6;52,8;984,5;28,1;6,9;2;
2017-11-30;17;291,2;984,5;26,5;8,1;1,7;
2017-12-31;21;337;985,1;25,4;6,1;1,6;
2018-01-31;24;355;985,7;25,2;9,8;1,6;
2018-02-28;25;385,4;985,8;25,2;7,6;1,6;
2018-03-31;29;321,2;985,9;25,7;7,4;1,5;
2018-04-30;16;129,6;986,8;25,6;5,6;1,5;
2018-05-31;4;17,2;987,3;26;5,7;1,6;
2018-06-30;2;1,2;988,4;24,9;6,3;1,6;
2018-07-31;2;,4;988,2;25,3;5,9;1,7;
2018-08-31;7;83,2;987,8;26,6;8,7;1,7;
2018-09-30;6;28,8;985,3;27,4;6,9;1,9;
2018-10-31;12;107,6;985,2;26,8;7,9;1,7;
2018-11-30;17;118,6;984,8;26,1;7,9;1,6;
2018-12-31;null;null;null;null;8,4;null;
2019-01-31;null;null;null;null;8,8;null;
2019-02-28;5;null;null;null;7,2;null;
2019-03-31;21;324,8;986,9;25,8;6,1;1,5;
2019-04-30;19;257,8;986,6;26,2;7,7;1,4;
2019-05-31;3;null;null;null;null;null;
2019-06-30;null;null;null;null;null;null;
2019-07-31;3;null;988,7;25,5;6,1;1,8;
2019-08-31;null;0;988,7;26,4;7,1;1,9;
2019-09-30;4;52,4;986,2;28,5;7,7;2;
2019-10-31;15;99,4;985,3;26,3;9,4;1,7;
2019-11-30;13;180,6;984,5;26;6,9;1,5;
2019-12-31;13;131,2;984,8;26,2;8,1;1,6;
2020-01-31;16;284,2;986,4;25,9;9,3;1,7;
2020-02-29;20;371,4;986,7;25,8;8,5;1,6;
2020-03-31;23;316,6;986,6;25,8;6,8;1,6;
2020-04-30;17;271;987,2;25,8;6,7;1,5;
2020-05-31;9;71;987,8;26,2;7,2;1,4;
2020-06-30;0;0;988,1;25,3;5,2;1,6;
2020-07-31;0;0;987,8;24,7;5,9;1,7;
2020-08-31;0;0;987,1;26,3;7;1,8;
2020-09-30;3;4,8;985,9;28,1;6,8;1,9;
2020-10-31;9;173,8;985;27,8;6,7;1,8;
2020-11-30;12;271;985,2;26,6;8,9;1,7;
2020-12-31;16;242,8;985,2;26,1;8,4;1,6;
2021-01-31;16;null;985,3;25,8;5,1;1,5;
2021-02-28;21;322,2;985,8;25;7,3;1,6;
2021-03-31;19;260,6;986;25,7;4,7;1,4;
2021-04-30;19;300;986;25,8;5,2;1,4;
2021-05-31;4;14,8;987,3;25,5;4,9;1,3;
2021-06-30;3;30,6;987,7;25,2;6,9;1,4;
2021-07-31;1;,4;988,7;25;5,1;1,4;
2021-08-31;null;0;987,6;null;5,7;1,6;
2021-09-30;null;null;null;null;5,5;null;
2021-10-31;null;null;null;null;5,2;null;
2021-11-30;null;null;null;null;4,6;null;
2021-12-31;null;null;null;null;5,2;null;
2022-01-31;null;null;null;null;4,5;null;
2022-02-28;null;null;null;null;5,1;null;
2022-03-31;null;null;null;null;5,3;null;
2022-04-30;null;null;null;null;6;null;
2022-05-31;1;78,2;987,5;null;3,8;1,2;
2022-06-30;5;115,4;987,3;null;6,8;1,3;
2022-07-31;0;0;987,9;null;4,6;1,4;
2022-08-31;1;,2;987,1;null;5,5;1,5;
2022-09-30;3;4,2;985,9;null;6,9;1,7;
2022-10-31;7;97,2;984,8;null;6,2;1,7;
2022-11-30;14;null;985,5;null;5,7;1,6;
2022-12-31;19;308,8;985,3;null;6,7;1,4;
2023-01-31;19;180,2;986,4;25,6;7,2;1,4;
2023-02-28;16;null;986,1;25,8;5,4;1,3;
2023-03-31;19;443;986,5;25,6;7,2;1,4;
2023-04-30;18;316,2;985,9;26,2;5;1,2;
2023-05-31;7;51,2;987,2;26,7;4;1,2;
2023-06-30;0;0;988,4;26,2;4,8;1,3;
2023-07-31;0;0;988,6;25,8;5,9;1,4;
2023-08-31;4;43;987,1;27,3;5,7;1,5;
2023-09-30;6;82;985,9;28,4;7,9;1,6;
2023-10-31;6;null;985;28;6,1;1,6;
2023-11-30;7;null;984,9;null;6;1,5;
2023-12-31;8;null;985;null;6,8;1,5;
2024-01-31;17;null;986,7;null;6,4;1,5;
2024-02-29;12;null;987;null;5,8;1,5;
2024-03-31;19;164,8;986,3;null;5,8;1,4;
2024-04-30;21;352;986;null;6,4;1,2;
2024-05-31;1;2,6;986,5;null;4,1;1,1;
2024-06-30;0;0;987,9;null;4,3;1,3;
2024-07-31;1;null;null;null;4,6;null;

