Nome: ARAGARCAS
Codigo Estacao: A013
Latitude: -15.90277777
Longitude: -52.24527777
Altitude: 327.35
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;23;248;974;26;10,4;1,2;
2010-02-28;19;229,8;973,8;26,8;5,9;1,2;
2010-03-31;20;276,8;973,7;26,8;6,2;1,1;
2010-04-30;6;26,2;975,3;26,4;4,2;1,1;
2010-05-31;0;0;975,9;24,8;3,9;1,2;
2010-06-30;2;6,8;978,4;23,8;4;1;
2010-07-31;0;0;977,8;24,3;4,9;1,3;
2010-08-31;0;0;977,3;25;4,9;1,2;
2010-09-30;2;14;973,8;29,1;6,3;1,4;
2010-10-31;8;45,2;973;29,2;6,5;1,5;
2010-11-30;16;162,4;972,3;26,5;5,6;1,2;
2010-12-31;23;178,6;971,3;26;6,2;1,1;
2011-01-31;22;344,2;972,3;25,8;8,3;1,1;
2011-02-28;17;203,2;973,7;26,1;7,5;1,1;
2011-03-31;23;467;973,1;25,1;5,9;1;
2011-04-30;12;55,6;974,8;26,2;4;,8;
2011-05-31;1;null;null;25,4;3,5;null;
2011-06-30;1;null;null;22,8;4,6;null;
2011-07-31;1;3,2;977,1;23,8;4,4;1,1;
2011-08-31;0;0;976,2;26,4;5,4;1,4;
2011-09-30;1;3,6;975,6;29,1;6,9;1,5;
2011-10-31;17;136,2;973,1;26,8;7,2;1,4;
2011-11-30;12;113,4;973,1;26,2;4,9;1,4;
2011-12-31;23;279,4;973,1;25,4;7,3;1,2;
2012-01-31;25;368;973,9;24,8;7;1,3;
2012-02-29;15;68,4;974,3;25,8;6,7;1,3;
2012-03-31;13;125,8;974,7;26,3;5,6;1;
2012-04-30;11;170,6;974,6;26,5;6,6;1;
2012-05-31;4;12,2;976,9;24,3;3,9;,9;
2012-06-30;3;10,6;977,6;24,5;3,9;1;
2012-07-31;0;0;977,8;23,7;4,2;1,1;
2012-08-31;null;0;978,4;26;4,5;1,3;
2012-09-30;6;33,6;975,9;28,4;6,7;1,3;
2012-10-31;10;71,8;973;28,9;8,8;1,3;
2012-11-30;24;239,8;972,4;25,9;5,1;1,1;
2012-12-31;15;194,8;973,1;27;6,9;1,2;
2013-01-31;26;502,2;973,7;25,5;6,9;1,2;
2013-02-28;15;null;974,3;25,9;6,6;1,1;
2013-03-31;17;199;974,3;26,4;6,7;1,1;
2013-04-30;10;null;null;25,7;3,4;null;
2013-05-31;3;null;null;null;null;null;
2013-06-30;4;36,6;977,3;24,7;3,8;,8;
2013-07-31;0;0;978,5;23,6;4,1;1;
2013-08-31;0;0;977,1;25;5,7;1,3;
2013-09-30;3;19;975,3;28,1;6,3;1,4;
2013-10-31;14;137,6;974,3;27,7;7,1;1,4;
2013-11-30;17;136,6;973;26,4;6,7;1,3;
2013-12-31;22;291;972,4;26;6,7;1,2;
2014-01-31;23;290;975,2;26;5,5;1,2;
2014-02-28;18;274,6;974;25,7;5,3;1,3;
2014-03-31;19;137,8;974,7;25,9;9,8;1;
2014-04-30;null;null;975,4;26,4;4,6;,8;
2014-05-31;null;null;976,4;25,2;3,7;,8;
2014-06-30;null;0;977,6;24,2;3,2;,8;
2014-07-31;null;null;979,4;24;5,2;1,2;
2014-08-31;null;0;977,3;26,2;4,4;1,1;
2014-09-30;0;0;974,9;28,9;6,2;1,3;
2014-10-31;null;null;974,3;29,1;7,3;1,4;
2014-11-30;null;null;973,4;26,7;4,7;1,2;
2014-12-31;2;null;null;25,1;5;null;
2015-01-31;null;null;null;null;4;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;977,1;24,9;5,3;1;
