Nome: JOACABA
Codigo Estacao: A841
Latitude: -27.16916666
Longitude: -51.55888888
Altitude: 767.63
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;210,8;925,1;21,8;9;2,6;
2010-02-28;16;205;925,9;22,6;11,6;2,7;
2010-03-31;14;152,8;926;20,2;10,6;2,5;
2010-04-30;12;292,6;929,3;17,4;6,6;2,5;
2010-05-31;22;203,6;928,9;14;7,1;2,3;
2010-06-30;15;73,8;931;13,5;10;3;
2010-07-31;15;128,2;931,2;13,5;9;3,2;
2010-08-31;8;62,4;930,9;14,5;9,6;3,5;
2010-09-30;9;90,2;927,8;16,8;8,8;3,4;
2010-10-31;12;158,4;926,7;16,4;9;2,8;
2010-11-30;13;101,2;924,1;18,9;9;2,9;
2010-12-31;18;362,6;922,9;20,3;8,8;2,7;
2011-01-31;25;124,2;923,3;22;7,6;2,2;
2011-02-28;22;250,6;925,3;21,5;7,1;2,2;
2011-03-31;9;172,6;926,8;20;7,7;3,1;
2011-04-30;18;138;928;17,9;9,9;2,3;
2011-05-31;19;74,4;930,1;13,9;8,2;2,2;
2011-06-30;22;171,6;929,1;11,7;8,8;2,8;
2011-07-31;18;255,8;929,1;13,3;9,6;2,9;
2011-08-31;14;279;928,5;14,3;9,9;3,6;
2011-09-30;14;187,8;930,3;15,3;11,5;3,6;
2011-10-31;13;286,6;925,8;18,2;10,4;3,1;
2011-11-30;10;138,6;926,1;19;8,2;3,2;
2011-12-31;12;106,4;924,2;20,2;8;3;
2012-01-31;13;107,8;925;21,2;7,8;2,7;
2012-02-29;12;130,8;925,8;22,8;8,1;2,6;
2012-03-31;10;40,8;927,4;20,3;7,8;2,6;
2012-04-30;18;139,8;927,3;17,5;10,7;2,4;
2012-05-31;13;59,4;930,7;14,8;7;2,7;
2012-06-30;22;119,2;929,6;13;9,2;2,5;
2012-07-31;14;203,8;929,8;12,7;8,9;2,7;
2012-08-31;4;13;932,5;17,3;8,6;3,2;
2012-09-30;9;76,6;929,4;17,2;10,8;3,6;
2012-10-31;20;186,8;926,2;18,8;10,6;3,3;
2012-11-30;5;16,6;925,1;21,4;8,4;3,2;
2012-12-31;21;244;923,9;22,7;9,2;2,9;
2013-01-31;7;104;926,2;21,3;8,1;2,9;
2013-02-28;20;145,4;925,7;21,1;7,2;2,4;
2013-03-31;17;203,8;927,1;18,8;8,8;2,6;
2013-04-30;15;121,4;928,8;16,8;8;2,7;
2013-05-31;21;84,4;928,7;14,9;10,4;2,5;
2013-06-30;28;212;929,1;13,4;7,4;2,2;
2013-07-31;13;82,4;931,3;12,4;8,6;2,7;
2013-08-31;14;260;929,9;13,4;9,6;3;
2013-09-30;18;239;928,8;15,7;9,8;3,1;
2013-10-31;14;229,8;927,6;17,8;8,3;3;
2013-11-30;14;127,4;925,7;20,3;10,8;3,7;
2013-12-31;12;125,8;923,9;22;7,6;2,7;
2014-01-31;22;269,2;926,6;22,1;10,2;2,2;
2014-02-28;18;182;926,8;21,9;10,2;2,6;
2014-03-31;21;266,4;927;19,5;6,7;2,2;
2014-04-30;14;135,4;928,8;18,1;8,5;2;
2014-05-31;24;243;929,1;14,5;9,3;1,9;
2014-06-30;23;461,4;929,2;14;7,7;2,3;
2014-07-31;12;70,6;932,2;13,5;8,5;2,6;
2014-08-31;14;99,2;930,6;15,3;9,3;2;
2014-09-30;20;282,8;927,6;17,4;10,7;1,9;
2014-10-31;7;76,8;928,1;20,1;11;1,5;
2014-11-30;13;212,4;925,8;20,3;8,1;,7;
2014-12-31;17;266,2;925,4;21,2;8,6;,8;
2015-01-31;21;254,6;927,2;21,8;8,6;,5;
2015-02-28;20;111;926,1;21,2;6,4;,1;
2015-03-31;13;127,8;927,1;20,8;6,7;,2;
2015-04-30;16;77,8;928,6;18,2;8,6;,2;
2015-05-31;19;150,4;929,9;15,5;9,8;,3;
2015-06-30;19;210,6;931,4;14;8,7;,6;
2015-07-31;24;312,6;929,7;13,9;8,2;,4;
2015-08-31;7;49,2;929,5;18;7,1;,6;
2015-09-30;15;250,8;926,1;17,5;10,4;,7;
2015-10-31;19;321;926,9;19,1;11,7;,4;
2015-11-30;19;258,8;924,7;19,7;6,9;,3;
2015-12-31;21;344;925,3;21,7;8,3;,3;
2016-01-31;12;87;925,2;22,9;6,5;,3;
2016-02-29;22;192,8;926,3;22,5;6,8;,1;
2016-03-31;15;240,8;927,9;19,6;5,5;,2;
2016-04-30;7;null;null;null;4,8;null;
2016-05-31;null;null;null;null;8,1;null;
2016-06-30;9;44,4;933,2;10,1;7,9;2,4;
2016-07-31;13;67,4;930,1;13,4;8,2;2,9;
2016-08-31;15;191,2;929,3;14,4;11,9;2,7;
2016-09-30;10;71,6;929,8;15,2;8,7;2,9;
2016-10-31;9;null;null;17,7;9,7;null;
2016-11-30;null;null;null;null;null;null;
2016-12-31;10;null;null;null;null;null;
2017-01-31;14;118;926;22,3;9,9;2,4;
2017-02-28;15;183,6;926;22,2;8;2,5;
2017-03-31;15;171;927,7;20,4;9,4;2,7;
2017-04-30;12;null;928,5;18,3;8,5;3;
2017-05-31;21;358,2;928,7;16,4;8,6;2,6;
2017-06-30;11;null;930,6;15,4;9;2,8;
2017-07-31;4;null;934,7;16,1;9,4;3;
