Nome: NOVA FATIMA
Codigo Estacao: A842
Latitude: -23.41527777
Longitude: -50.57777777
Altitude: 664.31
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;21;null;null;25,5;9,3;2,7;
2010-02-28;7;null;null;26;10,8;2,7;
2010-03-31;5;56;936,9;24,8;10,3;3,2;
2010-04-30;5;43,2;940,5;21,5;10;3,6;
2010-05-31;4;null;null;18,5;9,4;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;6;null;null;null;null;null;
2010-10-31;13;129,8;937,7;20;9,3;3,3;
2010-11-30;11;74,4;935,4;22;9,3;3;
2010-12-31;19;137,6;934,1;22,6;10,3;3,1;
2011-01-31;16;246,6;934,9;23,5;8;2,2;
2011-02-28;17;189,6;936,9;23,3;8,2;2,2;
2011-03-31;14;98,2;937,2;22;10,7;4,3;
2011-04-30;7;75,2;939,3;21,2;9,6;3;
2011-05-31;2;6,8;941,4;17,7;9;3;
2011-06-30;8;84;941,2;15,9;8,6;2,6;
2011-07-31;10;95,2;941,3;18;10,6;2,6;
2011-08-31;7;61,8;940,6;18,6;9,4;3,4;
2011-09-30;4;8;941,4;19,8;12;4,4;
2011-10-31;16;255,4;937,2;21;12,2;3,5;
2011-11-30;8;110,6;937,1;21,3;11,6;3,8;
2011-12-31;8;78,2;935,6;23,1;9,6;3,1;
2012-01-31;17;295,2;936,7;22,1;9,2;2,8;
2012-02-29;9;74,6;937,5;24,1;6,9;2,3;
2012-03-31;11;64,2;938,6;23;7,8;2,9;
2012-04-30;11;114,2;938,5;21,3;10;2,8;
2012-05-31;8;62;941,8;17,9;9,6;3,6;
2012-06-30;10;null;null;17,6;7,8;null;
2012-07-31;7;47,4;941,9;17,3;9,6;2,6;
2012-08-31;2;2,8;944,3;20;7,6;3,3;
2012-09-30;4;null;940,3;22,5;10,8;3,6;
2012-10-31;9;81,6;937,5;23,5;12,5;3,6;
2012-11-30;12;68;936,1;22,6;10,5;4;
2012-12-31;12;90,6;936,3;24,9;9,5;2,3;
2013-01-31;11;124,6;937,2;22,4;10,7;3,2;
2013-02-28;16;null;937,8;22,4;7,3;2,4;
2013-03-31;13;null;938,2;22,4;10,3;2,9;
2013-04-30;11;119,2;940,1;20,2;10,3;2,7;
2013-05-31;8;null;940,5;19,4;8,4;2,2;
2013-06-30;11;null;null;16,9;11,5;null;
2013-07-31;5;34;943,1;16,3;9,8;2,6;
2013-08-31;2;1,6;941,7;18;9,7;3,4;
2013-09-30;9;92,6;940,3;20;9,8;3,6;
2013-10-31;9;156,2;939;20,4;11,9;3,6;
2013-11-30;9;null;936,9;22,1;12,2;4,2;
2013-12-31;9;42,8;935,2;23,6;12,7;3,4;
2014-01-31;15;129;938,6;24,2;12,4;2,1;
2014-02-28;12;145,8;937,8;24,7;10,8;2,5;
2014-03-31;15;166,8;938,3;22,8;9,5;1,9;
2014-04-30;7;57,4;940;21,2;10,4;2,5;
2014-05-31;0;0;940,6;18,5;11,1;1,7;
2014-06-30;null;null;941,6;17,7;10;1,4;
2014-07-31;null;0;944,2;16,7;9,6;1,5;
2014-08-31;2;11;942,4;19,2;9,9;2,2;
2014-09-30;13;231,6;939,7;20,6;14,5;3,9;
2014-10-31;2;18,2;939,5;23;12,5;4,1;
