Nome: BOM JARDIM DA SERRA - MORRO DA IGREJA
Codigo Estacao: A845
Latitude: -28.12694443
Longitude: -49.47972221
Altitude: 1790.38
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;29;460,6;820,5;null;19,6;6,5;
2010-02-28;26;316,8;821,6;null;18,2;6,9;
2010-03-31;27;374;820,7;13,6;18,4;6;
2010-04-30;26;419,4;822,8;10,7;19,8;7,6;
2010-05-31;25;697,8;821;8,7;19,7;8;
2010-06-30;23;136,6;823;7,8;20;7,6;
2010-07-31;18;239,2;823,1;8,5;20;8,8;
2010-08-31;17;148,4;823;7,9;19,8;7,2;
2010-09-30;19;170;821,1;9,3;19,7;8,2;
2010-10-31;27;209;819,5;8,6;19,4;6,4;
2010-11-30;24;206;818,1;10,8;19;6;
2010-12-31;28;271,2;818,1;13;18,1;6,6;
2011-01-31;30;544,8;819,1;15,1;17,1;5,1;
2011-02-28;27;530,8;820,7;14,6;19,9;6,9;
2011-03-31;29;288,2;821,8;12,3;18,8;5,9;
2011-04-30;27;105;821,7;11,7;18,5;6,6;
2011-05-31;27;201,8;822;7,7;18,8;7,5;
2011-06-30;16;123,8;820,1;6,9;20;8,3;
2011-07-31;22;270,2;821,2;7,9;19,8;8,3;
2011-08-31;25;590;820,3;7,5;26;8,7;
2011-09-30;16;248,8;822,9;8,8;22,1;7,5;
2011-10-31;24;152,6;819,9;10,4;21,4;6,9;
2011-11-30;25;206,8;820,4;10,8;17,5;5,4;
2011-12-31;24;261,6;818,8;12;14,4;5,5;
2012-01-31;28;469;820;13,1;15,7;5,7;
2012-02-29;23;248,4;821,3;15,7;19,3;6,5;
2012-03-31;25;65,2;821,8;13,1;15,9;5,1;
2012-04-30;24;113,2;820,7;10,8;18,4;6,1;
2012-05-31;20;114;823,2;9;18,6;6,3;
2012-06-30;16;231,2;821,5;9;20;6,7;
2012-07-31;22;197,8;821,1;7;24,8;9,1;
2012-08-31;21;56,2;825,4;10;23,1;8,8;
2012-09-30;22;242,4;822,4;9,6;27,2;8;
2012-10-31;24;302,4;820,6;11,9;23,3;7,6;
2012-11-30;22;133,8;820,1;11,8;15,2;5,3;
2012-12-31;27;257,8;819,5;15,6;24;6,9;
2013-01-31;31;277,2;820,8;12,6;22,4;6,5;
2013-02-28;28;322;820,6;13,9;20,6;6,5;
2013-03-31;28;370;821,2;12;17,4;6,6;
2013-04-30;19;92,8;822;11,1;18,3;6,2;
2013-05-31;18;92;821,1;10;25,7;7,6;
2013-06-30;20;249,2;821,2;8,6;20,8;7,3;
2013-07-31;15;120;822,5;7,7;20,9;7;
2013-08-31;23;597,8;821,7;7,7;20,2;8,2;
2013-09-30;23;337,2;821,7;9,4;21,3;7,5;
2013-10-31;28;182,8;821;9,3;23,5;7,2;
2013-11-30;25;234,2;820,4;11,6;21,7;7,8;
2013-12-31;10;81,2;819,5;13,8;16,6;6,4;
2014-01-31;null;null;822,4;16,1;20,1;6,5;
2014-02-28;null;null;822,7;15,8;18,9;6,8;
2014-03-31;null;null;821,8;13;23,4;7,1;
2014-04-30;null;null;822,9;11,1;20,8;6,4;
2014-05-31;null;null;null;10,5;26,6;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;825,1;7,9;22,7;8,2;
2014-08-31;4;null;null;null;null;null;
2014-09-30;14;null;null;null;null;null;
2014-10-31;23;211,8;822,9;null;null;null;
2014-11-30;21;null;820,7;null;18,6;null;
2014-12-31;26;428,2;820,6;13,6;21,3;null;
2015-01-31;28;379,2;822,4;15,6;22;7,1;
2015-02-28;null;null;821,4;14,5;17;6,5;
2015-03-31;null;null;821,9;13,2;18,9;6,1;
2015-04-30;null;null;822,4;10,9;20,4;6,4;
2015-05-31;null;null;822,6;9;22,5;7,6;
2015-06-30;null;null;823,4;8,5;20,6;9,3;
2015-07-31;null;null;821,6;8,2;26,4;9,1;
2015-08-31;null;null;823,2;12;21,9;9,4;
2015-09-30;null;null;819,7;10,4;24,5;8,6;
2015-10-31;null;null;821,2;11,8;25,2;7,9;
2015-11-30;null;null;819,5;12,2;20,9;7,1;
2015-12-31;null;null;820,5;14,9;22,5;7,9;
2016-01-31;null;null;821,2;14,9;19,9;6,5;
2016-02-29;9;162,8;821,8;14,5;19,4;6;
2016-03-31;26;368;822,4;12,5;18,3;6,5;
2016-04-30;22;230,2;822,3;13,8;19,8;6,9;
2016-05-31;21;170,6;822,1;7,7;22,2;6,8;
2016-06-30;12;74;822,8;6;18,5;6,6;
2016-07-31;11;137,4;821,6;8,1;28,2;8,9;
2016-08-31;18;155,2;821,6;9,4;23,1;8;
2016-09-30;15;109;821,6;8,9;29,5;6,1;
2016-10-31;30;322,8;820,4;10,1;22,5;7,5;
2016-11-30;26;111,8;820,2;11,4;20,2;6,7;
2016-12-31;27;415,2;820;12,4;19,4;7,4;
2017-01-31;26;344,2;821,4;14,9;16,1;6;
2017-02-28;24;206,4;821,8;15,8;21;6,8;
2017-03-31;29;265,6;822,4;13;24,2;6,5;
2017-04-30;25;218,6;822,3;10,7;21,8;7,4;
2017-05-31;25;301,8;822,3;10,2;18,2;null;
2017-06-30;19;201,6;822,4;8,7;22,8;9,1;
2017-07-31;16;30,6;826,6;8,5;26,1;9,1;
2017-08-31;20;174;822,3;9,2;26,1;9,1;
2017-09-30;11;83,2;824,6;13,9;21,8;7;
2017-10-31;22;200,4;819,8;11,1;24;8,8;
2017-11-30;22;164,2;819;10,9;23,7;7,3;
2017-12-31;24;345,4;819,8;13,7;17,9;6;
2018-01-31;28;429;820,5;13,9;19,8;6,8;
2018-02-28;26;156,6;820,9;12,8;16,5;5,7;
2018-03-31;9;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;null;null;null;null;null;null;
2018-06-30;null;null;null;null;null;null;
2018-07-31;null;null;null;null;null;null;
2018-08-31;null;null;null;null;null;null;
2018-09-30;null;null;null;null;null;null;
2018-10-31;null;null;null;null;null;null;
2018-11-30;2;null;null;null;null;null;
2018-12-31;24;301,2;821,1;14,2;18,9;6,6;
2019-01-31;28;256,4;823;16,5;22,7;6,6;
2019-02-28;26;344,4;821,2;13,7;18,3;6,5;
2019-03-31;28;367,2;822,7;13,1;17,4;6,6;
2019-04-30;23;204,2;821,8;12,7;19;5,8;
2019-05-31;26;344,6;821,7;10,7;25,6;7,5;
2019-06-30;15;44,2;824;10,5;22,4;7,8;
2019-07-31;18;148,2;822,6;8,4;21,8;8,8;
2019-08-31;20;48,8;824,2;7,7;25,5;null;
2019-09-30;23;106,8;822,2;10,1;24;8,2;
2019-10-31;26;251,4;821,9;12,6;21,9;7,4;
2019-11-30;25;251,6;820,3;12,3;18;7,1;
2019-12-31;20;132,4;820,4;14;21,7;6,5;
2020-01-31;26;525,4;820,2;14,4;18,9;6,3;
2020-02-29;26;244;821,8;13,2;16,8;6,1;
2020-03-31;26;155;823,1;13,4;16,6;5;
2020-04-30;23;73,4;822,4;10,2;19,5;6,8;
2020-05-31;16;37,8;821,4;9,6;22,7;8,6;
2020-06-30;24;222,4;821,5;9,5;26,7;9,4;
2020-07-31;19;198,8;821,2;7,7;25,5;9,7;
2020-08-31;12;158;823,3;10,1;22,5;8,1;
2020-09-30;24;174,6;822,4;11,2;19,5;8,6;
2020-10-31;22;211,6;820,9;11,8;22,5;7,5;
2020-11-30;28;259,4;821,1;10,9;14,6;null;
2020-12-31;31;254,8;820,3;13,4;null;null;
2021-01-31;29;461,6;820,7;14,1;null;null;
2021-02-28;17;233,8;820,3;13,5;null;null;
2021-03-31;30;230,6;820,9;13,6;null;null;
2021-04-30;25;202,2;823,1;10,2;17,4;5,7;
2021-05-31;17;163,8;821,3;8,9;null;null;
2021-06-30;23;294;821,9;7;18,9;null;
2021-07-31;12;51,8;823,1;7;27,5;null;
2021-08-31;22;58,8;824;9,3;21;7,7;
2021-09-30;25;228,8;821,6;11;18;null;
2021-10-31;26;280;820,8;9,8;null;null;
2021-11-30;26;209,6;819,6;12;19,6;null;
2021-12-31;28;257,6;819,9;12,4;13;null;
2022-01-31;null;null;820,9;15,4;null;null;
2022-02-28;null;null;821;14,7;14;null;
2022-03-31;null;null;821,2;13,4;null;null;
2022-04-30;null;null;821,6;10,9;null;null;
2022-05-31;null;null;820,5;7,8;25,3;null;
2022-06-30;null;null;820,9;7,7;23,7;7,9;
2022-07-31;null;null;822;10,5;27,7;9,9;
2022-08-31;null;null;822,3;7,3;26,7;7,9;
2022-09-30;null;null;821,2;7,2;20;null;
2022-10-31;null;null;820;10,3;24,3;7,4;
2022-11-30;21;null;821;9,7;17,3;7,3;
2022-12-31;29;299;819,6;13,3;16,5;null;
2023-01-31;27;428,4;820,9;14,3;null;null;
2023-02-28;22;303,2;820,7;14;null;null;
2023-03-31;31;295,4;822,6;14,5;null;null;
2023-04-30;25;141,4;821,3;10,6;21,1;null;
2023-05-31;20;139,4;823,3;11,1;19,5;6,8;
2023-06-30;14;200;823,2;10;21,2;7,7;
2023-07-31;22;204,2;822,8;8,4;26;7,6;
2023-08-31;21;137,6;821,5;10;24,6;9;
2023-09-30;24;293,8;820,9;12;23,6;9,6;
2023-10-31;28;539,6;819,6;11,2;18,7;7;
2023-11-30;24;456,8;819,7;13,4;24,6;7,8;
2023-12-31;27;254,4;821,2;15,1;17,1;5,8;
2024-01-31;29;577;821,2;14;19,9;6,2;
2024-02-29;26;238,4;822,9;15,4;null;null;
2024-03-31;26;228,8;822,5;15;null;null;
2024-04-30;25;276,8;822,3;13,9;null;null;
2024-05-31;23;331,6;821;10,8;null;null;
2024-06-30;18;200;822,2;10,4;24,1;9,8;
2024-07-31;12;null;null;null;18;null;

