Nome: MACEIO
Codigo Estacao: A303
Latitude: -9.55111111
Longitude: -35.77027777
Altitude: 84.12
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;18;186,8;1003,6;26,1;6,6;2,6;
2010-02-28;19;145,4;1003,1;26,8;6;2,5;
2010-03-31;7;131,4;1002,7;27;7,5;2,6;
2010-04-30;21;139,8;1003;26,7;8,2;2,2;
2010-05-31;24;132,4;1003,9;25,8;5;1,9;
2010-06-30;27;527,6;1006,5;24,8;7,8;2,5;
2010-07-31;29;218,4;1007,2;23,9;6,8;2,5;
2010-08-31;25;147,2;1008,2;23,3;7,4;2,7;
2010-09-30;24;118;1006,8;23,8;7;2,9;
2010-10-31;9;84;1004,2;25,3;7,5;3;
2010-11-30;12;12,6;1002,8;25,8;6,9;3,4;
2010-12-31;9;31,2;1001,3;26,4;7,2;3,4;
2011-01-31;21;129,2;1001,9;26,1;6,6;2,7;
2011-02-28;20;137,6;1002,5;26,3;6,8;2,6;
2011-03-31;9;27,2;1001,8;27;6,8;2,6;
2011-04-30;24;523,2;1002,7;26;6,1;2,4;
2011-05-31;31;359,4;1004,1;25,1;6,5;2,3;
2011-06-30;25;200,6;1006;24,2;6,2;2,2;
2011-07-31;30;348,2;1006,8;23,3;6,8;2,5;
2011-08-31;25;220,4;1007,5;23,4;6,8;2,3;
2011-09-30;23;113,8;1008,1;23,8;6,4;2,7;
2011-10-31;19;53,4;1003,8;25,1;6,8;2,9;
2011-11-30;15;117,6;1003,6;25,4;6,9;3,2;
2011-12-31;9;16,2;1003,4;26,2;7,7;3,6;
2012-01-31;19;176;1003,8;25,9;7,8;3;
2012-02-29;16;68,8;1003,5;26,1;6,3;2,8;
2012-03-31;12;134,6;1004;26;6,4;2,6;
2012-04-30;16;56,4;1003,9;25,6;5,7;2,2;
2012-05-31;15;95;1005,5;25,3;6,6;2,2;
2012-06-30;28;259,2;1007;24,2;5,9;2;
2012-07-31;20;null;1007,3;23,4;6,7;2,2;
2012-08-31;5;null;null;null;5,9;null;
2012-09-30;13;28,2;1008,4;23,9;6,2;2,6;
2012-10-31;19;79,6;1005,7;24,6;7,9;2,9;
2012-11-30;5;10,2;1003,1;25,9;8,3;3,8;
2012-12-31;13;23;1003,2;26,2;6,9;3,3;
2013-01-31;13;65,6;1003,8;26,7;8,3;3,4;
2013-02-28;9;18,2;1003,5;27,1;7;3,1;
2013-03-31;8;28;1003,6;27,2;7,2;2,9;
2013-04-30;17;222,2;1003,8;26,5;6,3;2,6;
2013-05-31;23;250,2;1005;25,3;6,1;2;
2013-06-30;26;229,4;1006,1;24,4;5,7;2;
2013-07-31;31;359,6;1007,5;23,7;7,5;2,2;
2013-08-31;27;168,8;1007,2;23,6;6,3;2,3;
2013-09-30;23;92;1007,1;24,3;6,4;2,7;
2013-10-31;18;201,8;1005,7;24,9;6,8;3;
2013-11-30;18;106,6;1003,6;25,2;7,3;3,1;
2013-12-31;10;23,8;1003,2;26,1;8,5;3,6;
2014-01-31;13;56,4;1004,4;26,1;7;2,8;
2014-02-28;18;105,2;1003,2;26;6,6;2,5;
2014-03-31;19;46;1003,7;26,5;6,1;2,6;
2014-04-30;17;134;1003,7;26,5;6,1;2,3;
2014-05-31;25;360,4;1004,6;25;6,2;2;
2014-06-30;28;175;1006,6;24,4;6,1;2,2;
2014-07-31;28;206,8;1009;23,8;6,3;2,3;
2014-08-31;30;154,2;1008,5;23,5;6;2,3;
2014-09-30;17;123,6;1007,4;24;7,3;2,8;
2014-10-31;20;243;1006,4;24,7;6,7;3;
2014-11-30;10;48;1004,1;25,4;7,5;3,2;
2014-12-31;13;33,2;1004,6;26;7,5;3,1;
2015-01-31;16;32,6;1005,3;26,3;6,5;2,9;
2015-02-28;9;95,6;1004,3;26,5;6,2;2,8;
2015-03-31;15;58;1003,8;26,7;6,1;2,5;
2015-04-30;7;17,2;1003,7;27,2;7,1;2,6;
2015-05-31;24;207,6;1005,3;26;7,7;2;
2015-06-30;30;335;1007,4;24,5;6,8;2,1;
2015-07-31;29;321,4;1008;23,9;6,6;2,3;
2015-08-31;20;156;1008,2;23,7;6,8;2,4;
2015-09-30;15;48,8;1007;24,4;6,8;2,6;
2015-10-31;13;59,6;1006,4;25,1;6,9;3;
2015-11-30;8;7,8;1003,9;26,1;7,8;3,8;
2015-12-31;17;62,4;1005,3;26,3;8,3;3,2;
2016-01-31;14;153;1003,8;26,5;7,4;2,9;
2016-02-29;20;69,4;1004,6;26,6;6,2;2,5;
2016-03-31;18;136;1004,7;26,7;5,7;2,3;
2016-04-30;22;120,2;1004,4;26,4;6;2,3;
