Nome: PLANALTO
Codigo Estacao: A855
Latitude: -25.72194443
Longitude: -53.74805555
Altitude: 399.1
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;13;146,6;964,7;25,2;9,3;2,6;
2010-02-28;11;169,6;965,4;25,5;9,7;2,8;
2010-03-31;8;236;965,7;24,1;11,7;2,8;
2010-04-30;10;238,2;969,3;21,1;9,8;2,8;
2010-05-31;16;147,8;970;17;8,2;2,7;
2010-06-30;8;49,8;971,6;17,5;8,5;3;
2010-07-31;9;73,4;971,5;17;7,8;3,2;
2010-08-31;4;27,6;971,3;18,1;9,2;3;
2010-09-30;4;null;967,7;20,4;11;3,4;
2010-10-31;null;null;967;20,3;9,6;3;
2010-11-30;null;null;964,5;22,5;9,2;2,7;
2010-12-31;null;null;962,4;23,4;10,7;2,8;
2011-01-31;null;null;963,2;24,7;8,9;1,8;
2011-02-28;null;null;965,1;24,4;7;2,1;
2011-03-31;null;null;null;24,5;8,7;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;5,4;null;
2011-06-30;12;97,6;970,3;15,8;7,9;2,9;
2011-07-31;11;263;969,8;17;8,5;2,8;
2011-08-31;14;253,6;969,3;17,7;9,4;3,3;
2011-09-30;10;160,2;970,3;19,8;8,6;3,3;
2011-10-31;11;306,4;965,7;22,2;12,1;3,2;
2011-11-30;9;165,2;965,8;22,8;10,8;3,3;
2011-12-31;8;30,2;964;24,4;7,4;2,7;
2012-01-31;8;175,6;964,5;25,7;9,9;2,8;
2012-02-29;13;126,4;965,5;26,5;10,9;2,6;
2012-03-31;7;50,8;967,5;24,5;9,6;2,6;
2012-04-30;12;367,4;967,7;21,6;10,3;2,7;
2012-05-31;7;80,4;970,9;19,1;7,7;3,1;
2012-06-30;13;124,4;970,5;17,2;7;2,6;
2012-07-31;14;80,6;971;16,3;8,6;2,7;
2012-08-31;4;3,2;972,3;21,5;9,6;3,3;
2012-09-30;8;51,6;969,4;23,1;9,5;3,6;
2012-10-31;16;209,2;965,8;24,9;13,7;3,7;
2012-11-30;8;29,6;964,6;25,5;8,5;3;
2012-12-31;16;206,8;963,6;25,9;11,3;3;
2013-01-31;5;null;null;null;10,4;null;
2013-02-28;null;null;null;null;7;null;
2013-03-31;2;null;null;null;6,7;null;
2013-04-30;6;51;969;21;11,5;2,7;
2013-05-31;14;137,8;969,5;18,5;7,4;2,6;
2013-06-30;22;277;970;16,9;7,5;2,4;
2013-07-31;5;34,4;972,5;16,2;6,5;2,6;
2013-08-31;9;55,8;971;16,2;7,9;3;
2013-09-30;13;194,8;969,1;19,3;10,5;3,2;
2013-10-31;14;154;967,6;21,7;9,7;3;
2013-11-30;10;170,8;965,3;24;12,4;3,6;
2013-12-31;11;126,6;963,5;24,8;9,9;2,7;
2014-01-31;20;230,6;966,4;24,8;9,9;2,3;
2014-02-28;14;146,6;966;25,6;9,1;2,9;
2014-03-31;10;216,2;966,8;23,4;9,3;2,7;
2014-04-30;14;215;968,7;21,4;10,2;2,8;
2014-05-31;12;218;969,4;18,5;9,1;2,7;
2014-06-30;15;226,6;969,9;17,4;11,8;2,8;
2014-07-31;10;190,4;973;16,6;8,1;3,1;
2014-08-31;1;null;null;null;7,9;null;
2014-09-30;9;null;null;20;9;null;
2014-10-31;7;50,4;967,2;25,1;10,9;3,5;
2014-11-30;12;179,8;965,4;23,8;9,9;2,8;
2014-12-31;13;61;965,1;24,6;8,8;2,9;
2015-01-31;8;null;967,4;25,2;12;2,4;
2015-02-28;null;null;null;null;8,3;null;
2015-03-31;null;null;null;null;10,1;null;
2015-04-30;null;null;null;null;7,8;null;
2015-05-31;12;null;970,9;19;8;2,6;
2015-06-30;8;178,6;972,1;18,3;7,3;2,9;
2015-07-31;22;350,8;970,6;16,7;10,8;3;
2015-08-31;5;41,4;969,4;21,5;11,7;3;
2015-09-30;13;97,4;966,4;21,8;16,9;3;
2015-10-31;15;114,8;966,5;23,7;12,6;3,2;
2015-11-30;22;261,2;964,6;22,7;10,5;2,7;
2015-12-31;22;429,4;965,3;23,8;12,3;2,5;
2016-01-31;16;211;964,4;25,6;8,4;2,6;
2016-02-29;22;348,4;966,1;25,3;6,4;2,3;
2016-03-31;13;137,4;968,3;22,8;7,2;2,6;
2016-04-30;6;80;967,9;24,1;8,2;2,8;
2016-05-31;15;192,4;971,5;17;8,8;2,4;
2016-06-30;10;35,8;973,8;14,2;7,6;2,5;
2016-07-31;12;76,2;971,1;16,8;10,3;2,7;
2016-08-31;11;137,4;969,8;18,3;11,5;2,9;
2016-09-30;8;53;970,8;18,8;10,3;2,8;
2016-10-31;17;267,2;966,9;21,3;9;3,4;
2016-11-30;5;null;null;23,3;8,1;null;
2016-12-31;18;226;965,2;23,6;9;2,7;
2017-01-31;13;59,4;965,8;25;9,3;2,4;
2017-02-28;14;191,4;965,7;25,1;9,8;2,4;
2017-03-31;18;155,2;967,3;24,2;8,4;2,6;
2017-04-30;16;63,6;968,8;21;8,5;2,7;
2017-05-31;21;199,8;968,8;20;8,7;2,4;
2017-06-30;9;null;null;null;null;null;
2017-07-31;null;null;null;null;null;null;
2017-08-31;8;147;969,6;19,9;8,2;3,2;
2017-09-30;5;28,6;969,5;24,3;8,2;3,2;
2017-10-31;18;461,2;966,1;21,4;16,9;3,5;
2017-11-30;11;306;964,9;22,4;9,9;2,8;
2017-12-31;14;80,2;964,1;24,9;7,6;2,5;
2018-01-31;20;358,8;965,3;23,9;6,9;2,2;
2018-02-28;9;177,8;965,9;24,2;7,3;2,6;
2018-03-31;9;null;null;null;13,1;null;
2018-04-30;3;null;null;23,5;7;null;
2018-05-31;11;105,8;971;19,4;9,6;2,5;
2018-06-30;20;109;972,1;15,8;10,2;1;
2018-07-31;9;10,8;971,5;17,7;8;,3;
2018-08-31;12;82,4;972,2;15,8;7,2;,4;
2018-09-30;14;313;967,6;19,9;12,9;,9;
2018-10-31;21;290,2;966,3;21,4;14,1;1,2;
2018-11-30;10;155,2;965,6;24,2;9,5;1,3;
2018-12-31;11;42,4;966,1;24,9;11,5;,5;
2019-01-31;17;123,6;967;25,9;11,9;,5;
2019-02-28;14;211,2;965,7;24,5;11;,7;
2019-03-31;10;219,2;968;23,5;9,5;,5;
2019-04-30;15;213;967,8;22,1;7,9;,4;
2019-05-31;19;300,2;968,7;19,9;8,8;,6;
2019-06-30;8;36,2;971,6;19,4;9,1;,4;
2019-07-31;9;32,2;972,1;16,2;8;,5;
2019-08-31;4;6,6;972,8;18,8;9,4;1,2;
2019-09-30;6;50,2;968,2;22,5;9,8;1,4;
2019-10-31;8;112,6;966,5;24,9;12,3;1,1;
2019-11-30;13;153;964,8;24,8;8,6;1,3;
2019-12-31;15;214,8;965,4;23,8;9,3;1,2;
2020-01-31;14;184;964,5;25,1;9,7;1,2;
2020-02-29;7;102;966,3;25,4;8,2;2;
2020-03-31;4;60,6;967,7;25,3;7,2;1,9;
2020-04-30;2;47,4;970,1;20,9;6,7;1,8;
2020-05-31;12;278;971;17,1;7,3;1,7;
2020-06-30;13;139,8;969,7;18,5;9,4;1,9;
2020-07-31;10;65;970,6;17;7,4;1,8;
2020-08-31;7;121,6;970,7;19,1;8,1;2,2;
2020-09-30;3;25,6;967,7;23,6;8,6;2,2;
2020-10-31;6;72;966;24,8;9,3;2,3;
2020-11-30;9;41,2;966,4;24,6;12;2,4;
2020-12-31;2;null;null;null;11;null;
2021-01-31;null;null;null;null;6;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;18;178;969,4;17,5;10,7;3,4;
2022-10-31;19;373,6;967;20,8;9,7;2,9;
2022-11-30;6;61,6;967,6;22,4;8,5;3,5;
2022-12-31;11;41,2;964;25,2;8,1;2,8;
2023-01-31;12;247,8;965,3;24,5;9,8;2,6;
2023-02-28;17;221,6;966,2;23,2;8;2,5;
