Nome: SAO MIGUEL DO OESTE
Codigo Estacao: A857
Latitude: -26.78638888
Longitude: -53.51416666
Altitude: 647
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;151,6;937,1;23,6;10,2;2,9;
2010-02-28;12;104,6;937,8;24,7;11,1;3,2;
2010-03-31;12;210,2;938,2;22,3;8,9;2,5;
2010-04-30;9;285,8;941,5;19,3;8,6;2,7;
2010-05-31;18;229,4;941,6;14,9;7,2;2,8;
2010-06-30;12;31,8;943,1;15,6;9,8;3,2;
2010-07-31;10;134,4;943,3;14,9;11;3,4;
2010-08-31;4;55,4;943,3;16,2;12,6;3,3;
2010-09-30;10;129,8;939,8;17,8;9,5;3,4;
2010-10-31;11;183,4;939,2;18,1;12;3,1;
2010-11-30;2;null;936,7;20,6;10,8;2,8;
2010-12-31;null;null;934,9;22;8,5;2,6;
2011-01-31;10;35,4;935,6;23,4;8,1;2,3;
2011-02-28;null;null;937,4;22,6;8,2;2,6;
2011-03-31;null;null;938,5;21,9;8,6;2,8;
2011-04-30;null;null;940,2;20;11,4;2,6;
2011-05-31;null;null;942,7;16,1;6,5;2,6;
2011-06-30;16;276;941,6;13,8;9,1;3;
2011-07-31;12;225,2;941,4;15,1;8,6;3;
2011-08-31;15;201;940,9;16;10;3,8;
2011-09-30;9;165;942,3;17,9;10,1;3,2;
2011-10-31;11;281,6;938;20;9;3,1;
2011-11-30;8;120,2;938,1;21,1;9,1;2,7;
2011-12-31;8;54;936,6;22,8;7,6;2,9;
2012-01-31;9;120,8;936,9;24,1;7;2,7;
2012-02-29;14;87,2;937,8;25,2;11,1;3;
2012-03-31;4;39,4;939,8;22,8;11,9;2,6;
2012-04-30;15;241,6;939,8;19,3;10,1;2,4;
2012-05-31;5;54,8;942,8;17;6,8;2,6;
2012-06-30;16;118,8;942,1;15;9;2,8;
2012-07-31;12;176,2;942,4;14,2;8,9;3,2;
2012-08-31;8;5,6;944,2;19,7;7,3;3,2;
2012-09-30;9;89;941,4;19,6;10,6;3;
2012-10-31;18;261,2;938,2;20,4;12,8;3,2;
2012-11-30;11;111,6;937,2;22,4;7,8;2,2;
2012-12-31;21;375;936;23,8;9,7;2,8;
2013-01-31;4;null;null;null;7,1;null;
2013-02-28;null;null;null;null;11,2;null;
2013-03-31;null;null;null;null;7,1;null;
2013-04-30;null;null;null;null;5,2;null;
2013-05-31;8;null;null;null;9,2;null;
2013-06-30;20;191;941,6;14,8;9,2;2,5;
2013-07-31;9;71,8;943,9;14,7;10;2,8;
2013-08-31;11;155,8;942,6;14,2;8,9;3,3;
2013-09-30;13;186,4;941,1;17,5;10,7;3,3;
2013-10-31;15;154,6;939,8;19,5;8,6;2,9;
2013-11-30;10;142,6;937,6;22;10,7;3,3;
2013-12-31;14;220,6;936;23,4;9,8;2,6;
2014-01-31;16;219,8;938,7;24,4;14,8;2,7;
2014-02-28;12;104,6;938,6;24,7;8,2;3;
2014-03-31;13;251;939,1;21,3;9,9;2,6;
2014-04-30;17;277;941;19,3;14,2;2,5;
2014-05-31;17;242,8;941,5;16,2;8,2;2,5;
2014-06-30;26;421,4;941,4;15,4;9,3;2,9;
2014-07-31;15;103,2;944,4;15,2;9,5;3;
2014-08-31;10;52,2;942,9;17,8;8,6;3,2;
2014-09-30;19;446;939,5;19;11;3,3;
2014-10-31;7;119,6;939,8;22,4;9;2,9;
2014-11-30;10;157,8;937,9;22,1;7,7;2,6;
2014-12-31;14;268,4;937,4;22,6;10,3;3;
2015-01-31;21;283;939,3;23,5;7,9;2,8;
2015-02-28;14;111,2;938,2;23,2;7,1;2,5;
2015-03-31;14;66,4;939,4;22,5;8,1;2,3;
2015-04-30;11;61,4;940,8;20;9,3;2,3;
2015-05-31;15;245,6;942,2;17,2;12,6;2,6;
2015-06-30;11;212,2;943,6;16,6;8,2;2,9;
2015-07-31;21;424,2;942,1;15,1;11,6;3;
2015-08-31;4;null;940,9;21,2;8,3;3,5;
2015-09-30;null;null;null;null;null;null;
2015-10-31;17;267,6;938,8;20,7;11,7;3,1;
2015-11-30;22;312,6;936,9;20,6;9,2;2,7;
2015-12-31;17;393,6;937,4;22,8;8,8;3;
2016-01-31;8;91,6;937;24,9;9,9;2,6;
2016-02-29;26;179;938,5;23,7;11,2;2,5;
2016-03-31;null;null;940,4;21;8,7;2,6;
2016-04-30;null;null;null;null;7,5;null;
