Nome: XANXERE
Codigo Estacao: A858
Latitude: -26.938666
Longitude: -52.39809
Altitude: 878.74
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;242,8;913,2;22;12,3;3,8;
2010-02-28;12;151;914,1;23;10;4,4;
2010-03-31;16;234;914,1;20,8;10,5;2,9;
2010-04-30;11;339;917,1;18,1;9,5;3,6;
2010-05-31;15;207,6;916,7;14,2;10,9;3,5;
2010-06-30;10;71;918,6;14,8;11,8;4,5;
2010-07-31;13;183,2;918,6;14,6;14;4,5;
2010-08-31;7;70,2;918,6;15,1;13,8;2,7;
2010-09-30;12;19,6;915,4;17,1;13,6;2,4;
2010-10-31;1;2;914,6;17;15,8;1,1;
2010-11-30;8;49,8;912,3;19,3;11,3;1,7;
2010-12-31;17;359,6;911;20,5;14,7;3,5;
2011-01-31;21;109,4;911,7;22,1;8,8;2,8;
2011-02-28;22;248,8;913,5;21,3;11,9;3,4;
2011-03-31;12;149,2;914,6;20,6;10;3,5;
2011-04-30;10;139,4;916;18,8;13,1;3,3;
2011-05-31;10;73,2;917,9;15;11,3;3,3;
2011-06-30;14;321;916,8;13,6;13,3;4;
2011-07-31;11;258;916,8;14,5;11,7;4,2;
2011-08-31;16;226,2;916,3;14,9;13,9;4,7;
2011-09-30;9;175,2;917,9;16,4;10,4;3,7;
2011-10-31;11;256,2;913,7;18,6;10,6;3,4;
2011-11-30;11;98,4;914;19,7;11,1;3;
2011-12-31;11;79;912,4;21,1;9,1;2,7;
2012-01-31;11;106;913,1;21,7;9,3;3,2;
2012-02-29;13;68,4;914,1;23,3;13,3;3,4;
