Nome: PEDRO AFONSO
Codigo Estacao: A020
Latitude: -8.9686111
Longitude: -48.17722221
Altitude: 189.71
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;19;254,6;989,4;26,1;4,9;,8;
2010-02-28;20;150,6;988,8;26,4;5,5;,8;
2010-03-31;25;304;989,3;26,7;5,3;,8;
2010-04-30;14;231,8;989,3;27,3;5,1;,7;
2010-05-31;4;37,6;989,5;28;3;,7;
2010-06-30;1;,8;991,9;26,9;4,4;,8;
2010-07-31;2;14,4;991,6;26,6;3,9;1;
2010-08-31;1;1,6;991,1;27;4,7;,9;
2010-09-30;null;null;null;null;4,8;null;
2010-10-31;null;null;null;null;5,2;null;
2010-11-30;10;null;null;26,2;5,9;null;
2010-12-31;16;160;987,1;26,2;5,3;1;
2011-01-31;23;277,2;988,2;25,4;5,9;,9;
2011-02-28;25;465,4;989,3;25;6;,9;
2011-03-31;23;216,8;988,8;25,9;4,9;,9;
2011-04-30;23;221;989,4;26,1;5,2;,8;
2011-05-31;13;126,6;989,8;26,3;4,8;,7;
2011-06-30;6;1,2;991,1;26,1;3,8;,8;
2011-07-31;0;0;991,2;25,9;4,9;,9;
2011-08-31;3;2,6;990,7;27,5;4,2;,8;
2011-09-30;0;0;990,2;28,6;4,7;,9;
2011-10-31;15;188,4;988;27,1;6;1,1;
2011-11-30;20;335;988,7;25,7;6,8;,9;
2011-12-31;17;284,2;988,5;26,1;5,2;,9;
2012-01-31;25;423,4;989,6;24,6;5,9;,9;
2012-02-29;23;270,8;989,2;25,1;5,9;,9;
2012-03-31;25;253,6;989,6;25,5;5,7;,7;
2012-04-30;16;174,8;989,1;26,6;5,3;,7;
2012-05-31;7;63,8;990,4;26,6;4,3;,8;
2012-06-30;2;11,2;991,5;26,2;5,8;,8;
2012-07-31;0;0;991,4;26;4,4;1;
2012-08-31;null;0;992,2;26,5;5,6;1,2;
2012-09-30;1;1,4;990,6;28,3;4,6;1,1;
2012-10-31;6;124,6;988,2;28,9;4,8;1,2;
2012-11-30;15;null;988,5;26,6;7,4;1,1;
2012-12-31;15;136,4;988,3;26,2;5,1;,9;
2013-01-31;21;407,4;989,8;25,9;5,1;,9;
2013-02-28;21;187,6;988,7;25,9;6,7;,9;
2013-03-31;21;358,8;989,6;26,3;5,5;,9;
2013-04-30;11;130,8;990;27;4;,8;
2013-05-31;13;67,6;990,5;26,8;4,1;,8;
2013-06-30;5;11;991,1;26,6;4,1;,8;
2013-07-31;1;,8;991,8;26,8;4,2;1;
2013-08-31;1;11,8;990,4;27,6;4,4;1;
2013-09-30;2;null;null;null;6;null;
2013-10-31;14;81,8;989,2;27,5;9,4;1,1;
2013-11-30;17;237;988,1;26,3;5,3;1,1;
2013-12-31;22;281,6;988,8;25,8;4,9;,9;
2014-01-31;23;184,8;989,9;25,6;6,3;,8;
2014-02-28;20;243,6;989,1;25,4;7,8;,6;
2014-03-31;25;279;989,8;25,9;4,8;,6;
2014-04-30;17;140,8;990,2;26,6;4,7;,7;
2014-05-31;12;128,6;990,4;26,8;4,7;,6;
2014-06-30;5;1;991,4;26,3;4,1;,8;
2014-07-31;0;0;993;26,6;4,5;,9;
2014-08-31;1;,4;991,5;27,3;4,6;,9;
2014-09-30;8;125,2;990,1;28,2;6,9;1;
2014-10-31;10;129,2;989,5;27,2;5,1;1;
2014-11-30;17;283,8;988,7;26,6;5,4;,9;
