Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;4;null;null;26,2;7,4;null;
2010-02-28;13;38,2;987,7;26,6;8,2;3,2;
2010-03-31;17;143,6;987;26,5;6,9;2,8;
2010-04-30;23;241;988,1;24,8;6,7;2,9;
2010-05-31;25;70;988,8;24,2;6,7;2,6;
2010-06-30;19;101,8;992,3;22,2;8,4;3,6;
2010-07-31;25;281,4;993;21,4;7,3;3,2;
2010-08-31;26;82;993,4;20,9;7,8;3,2;
2010-09-30;19;79,8;991,8;22,1;7,6;3,2;
2010-10-31;12;34,6;988,4;24,5;7;3,2;
2010-11-30;2;4,8;986,7;25,6;7,1;3,2;
2010-12-31;8;99,6;985,2;25,8;7,3;3;
2011-01-31;13;null;986,4;25,2;8,4;3;
2011-02-28;12;55,2;986,9;25,7;7,1;3;
2011-03-31;9;77,6;985,9;26,4;6,8;3;
2011-04-30;19;131;987,9;24,5;6,7;2,8;
2011-05-31;26;132,2;989,5;22,8;6,6;2,9;
2011-06-30;28;158,2;991,2;21,7;7,9;2,8;
2011-07-31;29;71;992,2;21,2;7,4;3;
2011-08-31;25;108,8;992,4;21,6;6,5;2,8;
2011-09-30;21;84;993,2;21,4;7,3;3,3;
2011-10-31;20;92;988,2;23,3;7,8;3;
2011-11-30;14;73,6;988,2;23,4;7,5;3,1;
2011-12-31;13;20,8;987,4;25;6,5;2,7;
2012-01-31;null;null;null;null;7,4;null;
2012-02-29;15;52,2;987,9;25,2;7,4;3;
2012-03-31;10;17,2;988,3;25,4;7,1;2,7;
2012-04-30;17;53,2;988,4;24,7;6,2;2,5;
2012-05-31;23;73,8;990,4;23,4;6,7;2,7;
2012-06-30;26;109,4;992;22,4;6,6;2,3;
2012-07-31;23;96,2;992,6;21,5;6,8;2,5;
2012-08-31;28;134;994,2;21;7;2,9;
2012-09-30;21;48;992,9;22,3;7,8;2,8;
2012-10-31;16;34,8;990;23,2;6,8;2,7;
2012-11-30;10;50,4;986,9;25,1;7,3;2,5;
2012-12-31;4;11;987,2;25,7;6,5;2,8;
2013-01-31;8;103;987,8;26,2;7,4;2,8;
2013-02-28;11;82,2;987,9;25,8;6,8;2,8;
2013-03-31;9;20,2;987,9;26,3;6,5;2,7;
2013-04-30;17;136,2;988,7;24,8;7,3;2,9;
2013-05-31;29;61;989,9;23,5;6,9;2,5;
2013-06-30;null;null;991,2;22,6;6,4;2,3;
