Nome: RIO NEGRINHO
Codigo Estacao: A862
Latitude: -26.2486111
Longitude: -49.57416666
Altitude: 856
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;28;334,6;916,5;20,6;8,4;2,4;
2010-02-28;23;167,8;917,4;21,6;9,3;2,1;
2010-03-31;25;316,4;916,9;19,6;7,3;2,2;
2010-04-30;24;319,6;920,3;16,7;7,4;1,9;
2010-05-31;25;109,4;919,5;14,2;7,7;2,1;
2010-06-30;19;null;922,1;12,5;9,7;2;
2010-07-31;null;null;null;null;8,1;null;
2010-08-31;null;null;null;null;7,7;null;
2010-09-30;12;null;null;14,8;8,5;null;
2010-10-31;16;219,6;918,2;15,3;7;2,4;
2010-11-30;17;147,6;915,8;17,9;7,1;2,3;
2010-12-31;22;222;914,8;18,9;7,2;2,4;
2011-01-31;24;135,4;915,1;21,3;9,1;1,8;
2011-02-28;22;208;917,2;20,7;6,2;2,1;
2011-03-31;24;85,8;918,8;18,4;8,6;2,6;
2011-04-30;24;80,6;919,6;17,4;8,1;1,8;
2011-05-31;22;35,2;921,4;13,7;5,9;1,8;
2011-06-30;27;111,2;920,5;11,2;6,8;1,6;
2011-07-31;25;227,6;921;12,5;6,6;1,7;
2011-08-31;22;278,2;920,5;12,8;9,8;2,5;
2011-09-30;16;151;922,5;13,5;7,8;2,2;
2011-10-31;16;213,2;917,7;16,6;7,5;2,5;
2011-11-30;11;null;918;17,2;6,9;2,4;
2011-12-31;8;null;null;18,3;6,4;null;
2012-01-31;19;null;917,4;19,5;6,7;2;
2012-02-29;16;132,6;917,8;21,4;9,5;1,7;
2012-03-31;23;39,6;919,1;19,2;5,6;1,9;
2012-04-30;21;215,4;918,7;17,3;7,3;1,8;
2012-05-31;24;92,8;922,1;14,3;5,1;1,7;
2012-06-30;26;236,8;921;12,8;6,4;1,5;
2012-07-31;26;195,8;921,2;11,9;7,2;1,7;
2012-08-31;15;7,2;924,7;15,2;5,8;1,6;
2012-09-30;19;58,8;921,4;15,4;7,2;1,8;
2012-10-31;17;133,8;918,2;17,8;7,9;1,9;
2012-11-30;14;82,4;917,4;18,6;6,6;1,8;
2012-12-31;22;246,6;916;21,4;7;1,6;
2013-01-31;23;57,2;918,1;19,4;5,7;1,9;
2013-02-28;20;227,2;917,5;20,3;6,4;1,7;
2013-03-31;16;88,6;918,7;18,6;5,3;1,6;
2013-04-30;21;65,4;920,2;16,4;6,8;1,2;
2013-05-31;25;99,2;920,3;14,4;6,7;1,1;
2013-06-30;24;337,2;920,7;13,4;5,9;1,2;
2013-07-31;21;109,4;922,9;11,9;7,7;1,3;
2013-08-31;17;125,2;921,4;12,5;7,1;1,7;
2013-09-30;15;248,2;920,6;14,6;6,6;1,6;
2013-10-31;17;131,8;919,5;16,6;8,2;2;
2013-11-30;21;85,6;918,1;18;6,8;2;
