Nome: ITAJAI
Codigo Estacao: A868
Latitude: -26.95083333
Longitude: -48.76194444
Altitude: 9.76
Situacao: Operante
Data Inicial: 2010-06-23
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-06-30;null;null;null;null;null;null;
2010-07-31;12;114,8;1020,1;16,8;6,3;1,5;
2010-08-31;17;71,6;1020,3;15,6;8,6;1,6;
2010-09-30;13;83;1016,6;18,5;6,5;1,7;
2010-10-31;16;127,2;1014,4;19,1;9,9;1,8;
2010-11-30;18;124,2;1011;21,4;6;2;
2010-12-31;21;253,4;1009,2;22,9;6,1;1,8;
2011-01-31;23;310,6;1008,3;25,4;6,2;1,8;
2011-02-28;21;255,4;1010,8;24,9;10,7;1,6;
2011-03-31;21;229,8;1013,7;23,1;5,2;1,8;
2011-04-30;15;65,6;1014,5;21,4;4,6;1,5;
2011-05-31;15;82,8;1017,5;18,1;5,3;1,5;
2011-06-30;14;87,4;1017,1;15,4;8,4;1,7;
2011-07-31;22;201,4;1018;15,3;5,4;1,4;
2011-08-31;25;349,6;1017,4;16,3;10,2;1,9;
2011-09-30;14;229,8;1019,9;17;7,1;1,9;
2011-10-31;19;124,4;1013,4;20,2;8,3;1,9;
2011-11-30;18;93,8;1014,1;20,8;6,7;2;
2011-12-31;21;165,6;1010,6;22,6;8,9;2;
2012-01-31;20;203,6;1011,3;23,7;6,5;2;
2012-02-29;11;96;1011,3;25,3;5,7;1,7;
2012-03-31;15;86,2;1013,5;23,1;6,2;1,9;
2012-04-30;17;161,8;1013,7;21,2;5;1,5;
2012-05-31;17;159,6;1018,1;18,9;6,2;1,5;
2012-06-30;16;162;1017,6;16,7;5;1,4;
2012-07-31;21;200,2;1018;15,3;6,7;1,5;
2012-08-31;15;49,2;1021,7;18,6;6,7;1,6;
2012-09-30;15;52,6;1017,8;18,9;6,8;1,9;
2012-10-31;17;137,6;1013,5;21;8;1,7;
2012-11-30;16;57,6;1012,7;22,3;6,5;2,1;
2012-12-31;19;102,8;1009,4;25;9,6;1,8;
2013-01-31;18;110,2;1012,7;23,7;6,5;2;
2013-02-28;23;185,8;1011,2;24,6;11,2;1,8;
2013-03-31;20;337,4;1013,6;22,9;7;1,7;
2013-04-30;17;267,6;1015,4;20,7;6,9;1,6;
2013-05-31;17;82,8;1015,9;18,4;8,4;1,4;
2013-06-30;20;198,8;1016,9;17,4;8,2;1,3;
2013-07-31;24;172;1020;14,9;8;1,4;
2013-08-31;21;112,4;1018,6;15,6;7,5;1,6;
2013-09-30;13;186,8;1016,9;18,1;8,4;1,7;
2013-10-31;22;127,8;1015,7;20,1;6,9;1,8;
2013-11-30;22;81,4;1013,5;21,7;8,3;2;
2013-12-31;17;123,6;1009,9;24,2;5,8;1,7;
2014-01-31;16;199,4;1012;25,6;6,3;1,7;
2014-02-28;13;106;1012,2;26;10,1;1,9;
2014-03-31;22;262,6;1013,2;23,6;7,3;1,6;
2014-04-30;15;57;1015,8;21,7;5,9;1,4;
2014-05-31;19;62,4;1016,3;19,2;5,5;1,2;
2014-06-30;21;307,4;1017,4;17,6;8,7;1,2;
2014-07-31;16;47;1021,2;16,9;6,4;1;
2014-08-31;13;107,6;1018,8;17,3;6,6;1,2;
2014-09-30;20;179,4;1015,8;19,5;6,7;1,4;
2014-10-31;14;70,2;1016,1;21,5;5,7;1,6;
