Nome: CIDADE GAUCHA
Codigo Estacao: A869
Latitude: -23.35916666
Longitude: -52.93194443
Altitude: 365.79
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;208,4;968,8;25,6;6,2;1,6;
2010-02-28;13;151,6;969,4;26,5;7,8;,7;
2010-03-31;11;118;969,2;25,1;8,7;,4;
2010-04-30;7;53,4;972,7;23,2;6,6;,3;
2010-05-31;7;86,2;973,5;18,7;7,4;,3;
2010-06-30;5;21,2;975,6;19,4;6,2;,2;
2010-07-31;5;32,4;975,2;19,6;5,1;,2;
2010-08-31;6;19,4;975,1;20,4;6,7;,5;
2010-09-30;11;165,4;971,3;22,8;10;,8;
2010-10-31;14;217,2;970,4;22;8,2;,6;
2010-11-30;8;99,6;968;23,7;7,9;,4;
2010-12-31;2;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;2;null;null;null;null;null;
2011-03-31;null;null;null;null;7,8;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;5;53,8;973,7;22,3;7,3;2,6;
2011-10-31;11;262,8;969,3;23,5;8,5;2,3;
2011-11-30;7;100;969,3;24,2;7,2;2,3;
2011-12-31;8;24;967,8;26;6,6;1,9;
2012-01-31;12;174,2;968,4;25,3;5,8;2,2;
2012-02-29;9;137,8;969,4;26,6;7,4;1,8;
2012-03-31;9;99,6;971;24,8;7,3;1,8;
2012-04-30;15;120;971,1;22,8;6,8;1,7;
2012-05-31;9;118,8;974,4;19,9;8;2,1;
2012-06-30;15;233,6;974,2;18,9;5,8;1,9;
2012-07-31;5;16,2;974,9;18,3;6,4;1,7;
2012-08-31;2;5,6;976,2;22,5;6,5;2,3;
2012-09-30;5;77,2;972,9;23,9;8,8;2,5;
2012-10-31;10;31,2;969,4;25,6;8,4;2,4;
2012-11-30;11;66,8;968;25,9;7,9;2,2;
2012-12-31;16;170;967,7;26,9;6,3;2;
2013-01-31;9;67,4;969,2;25,5;8,7;2,3;
2013-02-28;20;279;969,6;24,9;7,3;1,8;
2013-03-31;16;null;969,8;24,4;7,1;,6;
2013-04-30;null;null;null;null;null;null;
2013-05-31;13;114,8;973,2;20,6;6,8;1,6;
2013-06-30;14;283,8;974,1;19,1;7,2;1,4;
2013-07-31;5;60,4;976,3;17,9;5,9;1,6;
2013-08-31;2;null;null;19,4;7,4;null;
2013-09-30;7;null;972,4;22,4;7,7;1,9;
2013-10-31;10;167,2;971,2;23,3;8,9;1,2;
2013-11-30;10;68;968,9;25,4;9,9;1,4;
2013-12-31;9;116,6;967,2;26,7;9,2;,8;
2014-01-31;17;169,4;970,6;26,1;5,5;,5;
2014-02-28;11;141,2;969,6;26,6;8,9;1;
2014-03-31;12;342,8;970,6;24,1;6,9;,6;
2014-04-30;12;100,4;972,4;23;8,1;,7;
2014-05-31;8;119;973;20,5;6,2;,7;
2014-06-30;14;123,2;974,1;19,5;8,9;1;
2014-07-31;7;87;976,8;18,9;6,6;1,1;
2014-08-31;4;25,6;974,8;21,7;6,9;,9;
2014-09-30;9;null;971,5;23,5;10,3;1,3;
2014-10-31;7;40,4;971,2;26;9,3;1;
2014-11-30;8;159,2;969,2;24,7;8,9;,5;
2014-12-31;11;69,6;968,8;26;7,4;,7;
2015-01-31;14;267,2;970,9;26,3;6,6;,4;
2015-02-28;11;null;969,6;25,5;7,2;,3;
2015-03-31;13;98,6;970,6;24,7;7,7;,2;
2015-04-30;4;null;972,1;23,7;6,3;,3;
2015-05-31;6;null;null;21,3;5,6;null;
2015-06-30;3;null;976,4;20,6;6,5;,5;
2015-07-31;2;null;null;null;7,3;null;
2015-08-31;1;null;973,7;23,4;8,6;,8;
2015-09-30;7;null;970;24,9;9;null;
2015-10-31;7;null;970;25,9;7,4;,9;
2015-11-30;14;null;968,8;24,9;7,5;null;
2015-12-31;16;null;969,8;25,3;6,7;null;
2016-01-31;11;119,6;968,1;26,1;6,7;,5;
2016-02-29;21;280,4;970,3;25,7;7;,3;
2016-03-31;11;112,6;971,9;24,4;5;,2;
2016-04-30;null;0;971,7;26;5,7;,5;
2016-05-31;null;null;null;null;6;null;
2016-06-30;6;null;null;null;null;null;
2016-07-31;4;38,6;974,8;18,9;6,4;1,8;
2016-08-31;10;108,6;973,8;20,3;8;2,1;
2016-09-30;8;28,4;974,1;20,9;8;1,9;
2016-10-31;6;174,4;970,6;23,4;8;2,3;
2016-11-30;7;19;969,4;25,2;8,7;2,2;
2016-12-31;17;168,8;969,1;25;9,6;2;
2017-01-31;24;234;969,8;25,5;6,9;1,5;
2017-02-28;10;176,4;969,5;26,5;7,6;1,6;
2017-03-31;11;80,8;970,8;25,3;6,2;1,8;
