Nome: SAO MATEUS DO SUL
Codigo Estacao: A874
Latitude: -25.83555555
Longitude: -50.36888888
Altitude: 780.21
Situacao: Operante
Data Inicial: 2011-04-16
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2011-04-30;null;null;null;null;null;null;
2011-05-31;16;34,8;930,4;13;4,1;,4;
2011-06-30;23;124,4;929,5;10,7;4,3;,5;
2011-07-31;20;179,2;929,6;12,6;4,2;,6;
2011-08-31;19;341,8;929,2;13,6;5,2;,9;
2011-09-30;15;164,6;931;14,4;5,1;,8;
2011-10-31;13;203;926,1;17,6;4,5;,9;
2011-11-30;9;71;926,5;17,9;4,4;,8;
2011-12-31;12;154,8;924,4;19,5;4,3;,8;
2012-01-31;18;202,2;925,3;20;5;,8;
2012-02-29;16;185;926,2;21,7;3,7;,6;
2012-03-31;12;61;927,5;19,1;3,5;,6;
2012-04-30;19;224,4;927,3;17,2;6,4;,6;
2012-05-31;17;112,4;930,8;13,9;3,5;,4;
2012-06-30;18;null;930,2;12,7;3,3;,5;
2012-07-31;21;146,2;930;12;4,8;,7;
2012-08-31;14;10,6;933,1;15;4,2;,7;
2012-09-30;12;46,8;929,9;15,7;4,6;,8;
2012-10-31;18;169,4;926,6;18,6;4,6;,9;
2012-11-30;11;114,2;925,5;19,7;4,8;,9;
2012-12-31;16;132,2;924,3;22,2;4,4;,7;
2013-01-31;19;134;926,4;20,2;3,8;,7;
2013-02-28;19;253,2;925,9;21;4,2;,6;
2013-03-31;20;152,2;927,1;19,1;3,7;,6;
2013-04-30;19;91,2;928,8;16,1;4,1;,5;
2013-05-31;23;134;929;14,1;4,8;,4;
2013-06-30;23;null;929,9;13,5;5;,4;
2013-07-31;20;106,4;931,6;11,4;3,5;,5;
2013-08-31;13;61;930,1;12,9;4,7;,8;
2013-09-30;12;214,6;929,1;15,1;4,7;,7;
2013-10-31;16;149,6;927,8;17,6;4,4;,9;
2013-11-30;13;102,8;926,3;19,3;4,9;,9;
2013-12-31;13;64;924,2;21;4,3;,7;
2014-01-31;25;334,4;927;21,5;7;,7;
2014-02-28;19;131,4;926,9;21,4;4,6;,6;
2014-03-31;16;233,2;927,2;19,9;4,1;,6;
2014-04-30;14;43,6;929;17,9;3;,5;
2014-05-31;23;73,2;929,2;14,4;3,5;,4;
2014-06-30;19;null;929,5;13,6;4,2;null;
2014-07-31;14;33,4;932,4;12,4;5,1;,4;
2014-08-31;9;48,8;931,1;13,5;4,1;,5;
2014-09-30;17;271,2;928,4;16,8;5;,8;
2014-10-31;8;118,8;928,7;19,3;6,7;,8;
2014-11-30;14;125,4;926;20,1;3,8;,8;
2014-12-31;15;207,2;925,7;21;4,7;,8;
2015-01-31;27;145,6;927,4;22;5,6;,7;
2015-02-28;19;147,6;926,2;21,2;4,6;,5;
2015-03-31;20;151,8;927,2;20,2;4,3;,4;
2015-04-30;16;53,4;928,7;17,6;3,6;,3;
2015-05-31;14;157,6;930,1;15,2;3,7;,4;
2015-06-30;21;114,2;932;13;4,2;,4;
2015-07-31;25;227,2;930,1;13,8;5,7;,6;
2015-08-31;18;52,6;930,3;15,2;4,8;,5;
2015-09-30;21;167,6;926,6;17;4,5;,6;
2015-10-31;23;189;927,5;18,8;4,5;,6;
2015-11-30;24;254,2;925,1;19,3;4,4;,5;
2015-12-31;23;224,8;925,7;21,5;4,1;,6;
2016-01-31;15;160,2;925,5;21,6;3,1;,4;
2016-02-29;22;238,4;926,6;22,2;3,5;,4;
2016-03-31;12;113,8;928;20;3,4;,4;
2016-04-30;14;77;928,1;19,5;5,5;,3;
2016-05-31;19;null;930,7;13,6;3,7;,1;
2016-06-30;17;null;932,9;9,5;3,1;,2;
2016-07-31;19;83;930,6;12;4,4;,3;
