Nome: GENERAL CARNEIRO
Codigo Estacao: A875
Latitude: -26.3986111
Longitude: -51.35361111
Altitude: 1009.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;178,8;901,1;20,4;7,5;1,5;
2010-02-28;18;134;902;21;6,8;1,3;
2010-03-31;24;220;901,7;18,5;6,3;,9;
2010-04-30;17;null;905,4;15,6;5,3;,7;
2010-05-31;20;null;904,1;12,6;5,3;,8;
2010-06-30;11;null;null;10,7;7,5;null;
2010-07-31;16;null;906,2;11,7;6,3;,7;
2010-08-31;17;null;906,1;12,7;5,6;1,1;
2010-09-30;10;null;903,7;15,7;7,7;1,4;
2010-10-31;11;null;901,8;15,4;5,8;1;
2010-11-30;15;133,8;899,7;17,5;6,4;1,1;
2010-12-31;18;null;899,1;19,3;5,9;1,1;
2011-01-31;25;342,2;899,3;20,5;8,4;,8;
2011-02-28;null;null;901,1;20,6;5,3;,9;
2011-03-31;null;null;902,6;18,7;4,9;1,2;
2011-04-30;10;30,2;903,7;16,4;7,2;,7;
2011-05-31;21;70,8;905,3;12,4;4,8;,7;
2011-06-30;23;102,8;904,3;10;7,3;,7;
2011-07-31;16;null;904,3;12,5;5,1;,7;
2011-08-31;14;null;904,8;13,5;7,4;1,1;
2011-09-30;null;null;906,5;14,2;6,7;1,1;
2011-10-31;null;null;901,7;16,5;6,7;1,2;
2011-11-30;1;null;902;17,5;6;1,2;
2011-12-31;14;80,6;900;18,2;6,2;1,1;
2012-01-31;16;200,8;900,8;19,5;4,8;1;
2012-02-29;17;132,2;901,9;21;5;,8;
2012-03-31;15;51,2;903,1;18,1;6,2;,7;
2012-04-30;25;253;902,8;16,2;7,7;,6;
2012-05-31;22;66,2;905,9;13,2;5,3;,7;
2012-06-30;27;170;904,8;12,5;5,4;,6;
2012-07-31;18;50,8;904,9;11,5;6,7;,8;
2012-08-31;14;21;908,1;14,9;5,4;1;
2012-09-30;27;146;905;15,4;6,2;1,3;
2012-10-31;29;179,2;902,1;17,9;7,5;1,1;
2012-11-30;12;5,4;901;19,3;5,8;1,1;
2012-12-31;17;71,8;900,1;21,4;7,2;1;
2013-01-31;31;143,4;901,9;19,6;7;,8;
2013-02-28;26;44,2;901,5;20,2;5,6;,8;
2013-03-31;28;330,6;902,7;18,2;5,4;,8;
2013-04-30;23;41;904,2;15,6;5,2;,4;
2013-05-31;26;170;904,2;14,2;6,7;,6;
2013-06-30;28;407,8;904,4;13,2;5;1;
