Nome: CLEVELANDIA
Codigo Estacao: A876
Latitude: -26.41722221
Longitude: -52.3486111
Altitude: 966.06
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;16;133,8;904,5;21,1;8,9;1,4;
2010-02-28;1;2,2;905,4;21,8;7,8;1,4;
2010-03-31;9;81,8;905,2;20;9,9;2,1;
2010-04-30;7;158;908,1;17,4;8,7;3;
2010-05-31;9;214;907,5;13,6;10,1;3,6;
2010-06-30;5;15,2;909,6;13,8;9,7;4;
2010-07-31;0;0;909,6;13,2;11,6;4,2;
2010-08-31;null;0;909,5;14,2;10,6;4,2;
2010-09-30;0;0;906,4;16,6;13,1;4,3;
2010-10-31;0;0;905,5;16,4;10,6;3,7;
2010-11-30;3;4,6;903,3;18,8;8,4;3,6;
2010-12-31;17;392,2;902,1;19,8;10,9;3,7;
2011-01-31;19;206,2;902,9;21,2;6,9;2,8;
2011-02-28;24;333,8;904,6;20,6;7,4;3;
2011-03-31;10;141,8;905,6;19,9;9,4;3,6;
2011-04-30;10;32,4;907;17,9;11,5;3,2;
2011-05-31;9;24;908,8;14,1;8,5;2,8;
2011-06-30;11;224;907,8;11,8;10,9;3,3;
2011-07-31;13;238;907,8;13,7;8,6;2,8;
2011-08-31;11;199,8;907,3;13,9;10;3,8;
2011-09-30;8;161,6;908,8;15,5;10;3,6;
2011-10-31;11;214;904,7;17,8;10,9;3,5;
2011-11-30;11;112;904,9;18,6;9,8;3,8;
2011-12-31;13;82,4;903,5;20;8,4;3,1;
2012-01-31;10;74;904,1;20,7;8,2;3,4;
2012-02-29;13;208,2;905,3;21,9;null;null;
2012-03-31;6;29,4;906,6;19,7;null;null;
2012-04-30;10;85,6;906,3;17,2;null;null;
2012-05-31;4;15,4;909,2;14,7;null;null;
2012-06-30;9;28,6;908,2;13,2;null;null;
2012-07-31;5;27;908,4;12,6;null;null;
2012-08-31;null;0;911,1;16,6;null;null;
2012-09-30;2;1,2;908,1;17,1;null;null;
2012-10-31;16;167,2;905,2;18,7;null;null;
2012-11-30;9;66,2;904,1;20,5;9,2;3,6;
2012-12-31;19;185,2;903,5;21,6;9,5;3,5;
2013-01-31;11;162,2;905,3;20,1;10,7;3,4;
2013-02-28;19;186,6;905;20,3;8,3;3,2;
2013-03-31;18;299,6;906;18,4;8;3,2;
2013-04-30;9;111,6;907,6;17,1;9,8;3,1;
2013-05-31;18;193,6;907,7;14,9;9,2;3,3;
2013-06-30;25;360,8;907,8;13,6;8,8;3;
2013-07-31;13;78,4;909,9;12,9;9,3;3,4;
2013-08-31;9;null;null;13,3;8,7;null;
2013-09-30;6;null;null;null;9;null;
2013-10-31;14;180,4;906,4;17,2;12,1;3,7;
2013-11-30;13;178,8;904,7;19,6;11,7;4,6;
2013-12-31;17;108;903,3;21,2;8,9;3,5;
2014-01-31;19;189,4;906,1;21,4;8,1;3,1;
2014-02-28;15;149,4;906;21,6;9,5;3,6;
2014-03-31;18;279,8;906,1;19,3;8,8;3,4;
2014-04-30;15;95,4;907,6;17,7;10,5;3,5;
