Nome: FORTALEZA
Codigo Estacao: A305
Latitude: -3.81583333
Longitude: -38.53777777
Altitude: 29.55
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;5;null;null;null;5,7;null;
2010-02-28;15;73,4;1007,4;28,6;6,8;2,9;
2010-03-31;8;null;null;28,9;5,8;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;null;null;null;null;6,7;null;
2010-10-31;null;null;null;null;6,4;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;5;null;null;28,1;5,7;null;
2011-01-31;null;null;null;null;5,2;null;
2011-02-28;19;null;null;26,1;5,3;null;
2011-03-31;7;null;1007,4;26,5;4,9;1,5;
2011-04-30;8;null;null;null;5,2;null;
2011-05-31;10;null;1008,4;26,8;5,2;1,8;
2011-06-30;13;106,4;1009,9;26,4;5,7;2,1;
2011-07-31;10;91;1010,2;26;5,7;2,2;
2011-08-31;5;19,4;1011;26,7;6,5;2,9;
2011-09-30;0;0;1010,9;27,1;6,4;3,3;
2011-10-31;12;28,6;1008,1;27,4;7,1;3,2;
2011-11-30;2;null;null;null;6,2;null;
2011-12-31;null;null;null;null;5,9;null;
2012-01-31;null;null;null;null;6,1;null;
2012-02-29;null;null;null;null;7,1;null;
2012-03-31;24;259,4;1008,4;26,9;6;2,2;
2012-04-30;26;145;1008,2;27,3;5,8;2,2;
2012-05-31;14;132,2;1009,6;27,2;5,8;2,5;
2012-06-30;19;128;1010,9;26,7;5,9;2,4;
2012-07-31;8;7,2;1010,8;26,7;7;2,9;
2012-08-31;1;,2;1011,7;26,8;6,3;3,3;
2012-09-30;2;1,4;1011,7;27,1;6,8;3,4;
2012-10-31;9;11,4;1009,2;27,3;6,8;3,8;
2012-11-30;4;4,6;1008,3;27,7;6,4;3,1;
2012-12-31;12;14,2;1007,7;28,1;6,1;3,2;
2013-01-31;13;48,4;1008,6;28;6,1;2,9;
2013-02-28;14;102,8;1007,6;28,2;6,3;3;
2013-03-31;17;68,8;1008,2;28,4;6,5;2,7;
2013-04-30;19;159,6;1008,7;27,5;5,5;1,7;
2013-05-31;20;149,4;1009,3;27,2;5,6;2;
2013-06-30;19;222,8;1010,2;26,4;5,8;1,9;
2013-07-31;20;90,4;1011,2;26,3;5,5;2,3;
2013-08-31;7;13,8;1010,4;27,1;6,5;3,3;
2013-09-30;7;11,2;1010,5;27,3;6,8;3,7;
2013-10-31;11;11,4;1009,7;27,7;6,7;3,6;
2013-11-30;12;13,4;1007,9;27,7;6,4;3,6;
2013-12-31;8;11,8;1008,4;28;6,1;3,2;
2014-01-31;18;72,2;1008,8;27,7;6;2,9;
2014-02-28;21;136,6;1007,8;27,3;5,8;2,4;
2014-03-31;16;140,8;1008,5;27,3;5,2;1,9;
2014-04-30;23;274,6;1008,7;27;4,7;1,4;
2014-05-31;24;262,8;1008,9;26,8;4,7;1,5;
2014-06-30;11;58,6;1010,2;27,1;5,5;2,4;
2014-07-31;8;36,8;1012,4;26,6;6,6;2,6;
2014-08-31;4;2,4;1011,6;27;6,8;3,4;
2014-09-30;8;8,4;1011;27,2;6,6;3,5;
2014-10-31;9;5,2;1009,9;27,7;7,1;3,8;
2014-11-30;10;19;1008,9;27,6;6,4;3,2;
2014-12-31;15;52,6;1009,1;27,7;6,5;3,2;
2015-01-31;11;75;1009,8;27,5;5,8;2,8;
2015-02-28;18;139;1009;27,5;6,3;2,4;
2015-03-31;28;377,8;1008,7;26,8;6,7;1,7;
2015-04-30;27;310,8;1009;26,8;5,4;1,5;
2015-05-31;18;87,2;1009,6;27,7;5,5;2,3;
2015-06-30;18;75,2;1011,3;26,9;5,6;2,4;
2015-07-31;15;155,8;1011,4;26,4;5,8;2,7;
2015-08-31;2;12,8;1011,3;26,7;6,4;3,3;
2015-09-30;11;18;1011;27,1;6,4;3,5;
2015-10-31;2;1,2;1010,5;27,4;6,8;3,5;
2015-11-30;5;2,2;1008,9;27,8;6,6;3,1;
2015-12-31;12;52,8;1009,8;28,2;6,1;3;
2016-01-31;10;null;null;27,8;5,1;null;
2016-02-29;null;null;null;null;5,4;null;
2016-03-31;19;null;null;27,9;5,8;null;
2016-04-30;8;null;null;27,5;10;null;
2016-05-31;11;null;null;27,6;12,8;null;
2016-06-30;1;null;null;null;14,6;null;
2016-07-31;6;6;1011,3;27,3;6;2,8;
2016-08-31;6;10,8;1011,4;27,2;6,6;3,1;
2016-09-30;7;10,8;1011,1;27,5;6,4;3,4;
2016-10-31;7;8,2;1009;28;6,4;3,4;
2016-11-30;5;9;1008,2;28,2;6,7;3,4;
2016-12-31;null;null;1008,1;28,2;5,6;2,8;
2017-01-31;22;101,2;1008,4;27,6;5,5;2,4;
2017-02-28;23;213,4;1008,2;27,3;5;2;
2017-03-31;30;471;1008,3;26,5;4,7;1,3;
2017-04-30;25;334,2;1008,4;27,1;5;1,6;
2017-05-31;19;133,8;1009,4;27,3;5,3;1,8;
2017-06-30;12;47,2;1010,2;27,3;5,1;2,1;
2017-07-31;7;79,2;1012,2;26,5;5,5;2,3;
2017-08-31;3;1,8;1011,2;27,1;6,1;2,9;
2017-09-30;2;7,6;1011;27,3;6,6;3,4;
2017-10-31;7;11,6;1009,2;27,7;6,5;3,5;
2017-11-30;6;9,8;1008,3;27,7;6,2;3,1;
2017-12-31;12;14,6;1008,2;28,1;5,6;2,9;
2018-01-31;20;139,6;1008,3;27,5;5,9;2,2;
2018-02-28;18;195,8;1008;26,6;4,8;1,5;
2018-03-31;22;274,4;1008,3;27,4;5;1,7;
2018-04-30;23;190,6;1008,9;26,7;5,2;1,5;
2018-05-31;18;null;1009,8;26,6;5;1,6;
2018-06-30;11;48,6;1011,3;26,6;5,1;2,1;
2018-07-31;5;193,2;1011,4;26,4;5,7;2,3;
2018-08-31;8;20;1011,9;26,8;5,8;2,9;
2018-09-30;6;10,6;1009,8;27,2;6,5;3,3;
2018-10-31;6;7;1009,2;27,7;5,9;3;
2018-11-30;5;3,4;1008;28,3;6,1;3,1;
2018-12-31;18;197,6;1009,1;27,6;5,8;2,2;
2019-01-31;15;null;1009,6;27,3;5,6;1,9;
2019-02-28;1;null;null;null;4,4;null;
2019-03-31;null;null;null;null;null;null;
2019-04-30;null;null;null;null;null;null;
2019-05-31;18;null;null;27;4,8;null;
2019-06-30;12;207;1011,1;26,8;5,2;2,2;
2019-07-31;14;53,4;1011,3;26,6;5,6;2,5;
2019-08-31;7;20,4;1012,6;26,8;6,5;3,1;
2019-09-30;7;13,6;1010,9;27,2;6,7;3,4;
