Nome: CAMPO BOM
Codigo Estacao: A884
Latitude: -29.674293
Longitude: -51.064042
Altitude: 23.35
Situacao: Operante
Data Inicial: 2013-11-28
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2013-11-30;null;null;null;null;null;null;
2013-12-31;6;121,2;1007,5;25;4,8;1,5;
2014-01-31;13;137;1009,3;26,5;5,5;1,4;
2014-02-28;15;290;1010;26,1;5,6;1,6;
2014-03-31;14;154,8;1011,1;23;5,5;1,3;
2014-04-30;13;108,8;1014,2;20,7;6,8;1,3;
2014-05-31;18;74;1015;16,6;5,3;1,1;
2014-06-30;18;264,6;1015,1;15,4;5,5;1,1;
2014-07-31;16;168;1018,4;15;7;1,2;
2014-08-31;16;85,6;1016,2;16,1;6,1;1,3;
2014-09-30;16;263;1012,8;18,9;5,6;1,5;
2014-10-31;15;200,6;1013,1;21,3;6,3;1,5;
2014-11-30;13;139,4;1010,2;23,1;5,7;1,5;
2014-12-31;15;244,2;1009,1;24,5;6,3;1,5;
2015-01-31;18;300,4;1010,3;25,5;6;1,3;
2015-02-28;16;95,8;1010;24,7;5,7;1,4;
2015-03-31;10;95,4;1011,7;23,6;3,6;1,3;
2015-04-30;14;115,6;1014;20,7;4;1,1;
2015-05-31;17;159,2;1015,7;17,9;5,2;1;
2015-06-30;20;218;1017,2;15,3;5,4;,9;
2015-07-31;24;448,4;1015,8;15,6;7;1,2;
2015-08-31;10;97,4;1013,5;20,7;5,5;1,4;
2015-09-30;18;247,2;1012;17,3;5,1;1,3;
2015-10-31;15;367,8;1012,7;19,3;7,6;1,5;
2015-11-30;17;157,2;1010;21,4;5,1;1,7;
2015-12-31;16;157;1008,8;24,2;7,5;1,4;
2016-01-31;15;65,8;1009,1;25,9;4,3;1,5;
2016-02-29;7;null;1009;26,5;4,8;1,4;
2016-03-31;15;187,6;1012,5;22,8;4,8;1,4;
2016-04-30;14;202,4;1011,6;22,7;6,8;1,4;
2016-05-31;14;66,8;1017,5;15,2;4,8;1,1;
2016-06-30;10;6,2;1020,2;11,5;5,2;1,1;
2016-07-31;6;64,2;1016,2;14,2;6,3;1,4;
2016-08-31;15;129,6;1015,1;16,2;3,9;1,1;
2016-09-30;11;81;1016,1;16,9;6,2;1,6;
2016-10-31;12;275,2;1012,1;19,7;7,1;1,6;
2016-11-30;10;107,4;1011,3;21,4;5,2;1,4;
2016-12-31;12;132,6;1008,6;24,8;4,5;1,5;
2017-01-31;15;154;1009,5;25,6;4,1;1,4;
2017-02-28;12;175,6;1008,8;26,3;4,7;1,3;
2017-03-31;10;170;1012,3;23,1;3,8;1,3;
2017-04-30;13;32;1013,9;20,2;5,9;1,3;
2017-05-31;21;244;1014,4;18,2;4,4;1,2;
2017-06-30;25;180,8;1015,9;15,7;4,2;1;
2017-07-31;17;32,2;1020,9;15,7;3,9;1;
2017-08-31;16;116,2;1015,1;17,4;5,5;1,2;
2017-09-30;15;167;1015;20,8;4,2;1,3;
2017-10-31;18;235,2;1010,5;20,5;4,8;1,5;
2017-11-30;12;222,6;1009,9;21;8,1;1,5;
2017-12-31;9;155,8;1008,5;24,3;4,6;1,4;
2018-01-31;15;125;1008,9;24,9;4,5;1,4;
2018-02-28;9;62,8;1010,5;23,9;3,9;1,3;
2018-03-31;12;99,8;1009,6;23,2;4,1;1,2;
2018-04-30;15;142,8;1014,1;22,8;3,9;1;
2018-05-31;14;99;1015,9;17,6;4,5;1,1;
2018-06-30;20;162,4;1017,1;13,6;4,5;1,2;
2018-07-31;21;155;1017;14,7;5,5;1,3;
2018-08-31;11;105,4;1017,1;14,1;5,1;1,4;
2018-09-30;15;260;1012,9;19,4;5,8;1,4;
2018-10-31;12;193;1012,4;20,3;5;1,3;
2018-11-30;11;95,2;1010,5;22,9;5,2;1,3;
2018-12-31;11;106,8;1009,9;24,5;4,9;1,3;
2019-01-31;14;113;1009,8;27;4,9;1,3;
2019-02-28;14;96,8;1010,2;24,6;4;1,3;
2019-03-31;12;206,8;1012,8;22,8;5,1;1,1;
2019-04-30;23;222,6;1012,2;21,5;4,4;,9;
2019-05-31;23;254,4;1013,7;19,1;4,6;,9;
2019-06-30;24;46,4;1015,8;18,1;6,5;,9;
2019-07-31;18;160,4;1017,5;13,7;6,1;1,1;
2019-08-31;11;81,4;1019,1;15,7;4,5;1,2;
2019-09-30;11;82,6;1015,1;17,3;4,3;1,2;
2019-10-31;19;284,4;1012,3;20,9;5,1;1,2;
2019-11-30;16;167,2;1010,3;22,4;4,7;1,1;
2019-12-31;5;23;1008,9;25,4;5,3;1,5;
2020-01-31;16;84,4;1008,6;25,7;5,9;1,4;
2020-02-29;8;88,2;1011;24,9;4,8;1,3;
