Nome: ITABERABA
Codigo Estacao: A408
Latitude: -12.52416666
Longitude: -40.29972221
Altitude: 250.11
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;49,4;984,3;26,9;7,6;2,5;
2010-02-28;6;38,2;983,9;27,8;8,1;2,8;
2010-03-31;12;296,4;983,4;26,9;7;1,8;
2010-04-30;12;65,8;984,6;25,7;5,4;1,7;
2010-05-31;11;30;985,2;25,5;5,9;1,6;
2010-06-30;7;4,2;988,7;23,7;6,7;2,2;
2010-07-31;23;94,4;989,5;22,3;8;2,2;
2010-08-31;13;23;989,8;21,8;7,2;2,2;
2010-09-30;11;16,8;988;23,7;9,7;2,8;
2010-10-31;6;57,6;984,4;26,4;7,3;2,8;
2010-11-30;5;5;982,9;26,7;6,9;2,7;
2010-12-31;6;58,2;981,4;26,8;6,2;2,3;
2011-01-31;14;59;982,8;26,3;7,6;2,5;
2011-02-28;12;13;983,1;27,5;8,1;2,8;
2011-03-31;11;34,6;982,1;28;8,2;2,4;
2011-04-30;15;44,4;984,3;26,1;6,4;2,3;
2011-05-31;9;8;986;24,6;6,7;2,1;
2011-06-30;6;10,6;987,5;23,8;7,1;2,1;
2011-07-31;4;null;null;null;8,2;null;
2011-08-31;null;null;null;null;7,3;null;
2011-09-30;7;null;989,2;23,3;7,2;2,4;
2011-10-31;9;15,4;984,3;25,6;8,4;2,7;
2011-11-30;10;94,8;984,4;25,3;7,4;2,4;
2011-12-31;8;104,4;983,6;26,4;7,1;2,2;
2012-01-31;6;8;984,2;26,8;7,2;2,5;
2012-02-29;9;22,8;984,1;26,9;7,7;2,7;
2012-03-31;8;5,8;984,4;27,4;7,6;2,5;
2012-04-30;5;7,6;984,7;26,7;6,6;2,2;
2012-05-31;8;19,2;986,7;25,3;7,7;2;
2012-06-30;12;31;988,3;24,3;6;2;
2012-07-31;8;24,2;989;23;7,4;2;
2012-08-31;17;26,2;990,7;22,5;8;2,4;
2012-09-30;2;1,4;989;24,8;8;2,7;
2012-10-31;8;5,4;986,1;25,6;8,2;3,2;
2012-11-30;7;35,8;983,2;26,4;6,8;2,4;
2012-12-31;3;1,4;983,3;27,8;7,3;2,8;
2013-01-31;12;200,2;984;27,3;11,5;2,5;
2013-02-28;4;9,8;984,1;27,5;7,4;2,6;
2013-03-31;6;5;984,1;28,1;7;2,5;
2013-04-30;5;8,4;985;27,1;7,9;2,2;
2013-05-31;10;16,6;986,3;25,9;7,7;2,1;
2013-06-30;16;22,6;987,6;24,5;6,9;1,8;
2013-07-31;12;33,4;989,2;23,4;8,4;1,8;
2013-08-31;19;31,6;988,7;23,3;8,7;2,2;
2013-09-30;14;43,8;987,9;24,3;8,1;2,4;
2013-10-31;8;5,6;986,3;26;7,6;3,1;
2013-11-30;11;51;983,9;26,3;8,5;2,8;
2013-12-31;null;null;983,1;26,5;6,2;2;
2014-01-31;3;,8;985,1;26,7;9,9;2,3;
2014-02-28;11;25,2;984,3;26,1;7,4;2,3;
2014-03-31;14;40,6;984,6;26,6;7,5;1,9;
2014-04-30;12;21;984,8;26,9;6,5;1,9;
2014-05-31;11;7,6;986,1;25,3;5,7;1,7;
2014-06-30;10;26,6;988,3;23,9;6,8;1,8;
2014-07-31;14;41,6;990,6;23,3;6,9;2;
2014-08-31;9;7;989,8;23,2;7,6;2,2;
2014-09-30;11;18,4;988,2;24,5;8,8;2,7;
2014-10-31;4;5,6;987,1;25,7;8,2;3,2;
2014-11-30;13;87,6;984,5;26;7,3;2,3;
2014-12-31;20;222,4;985;25,6;7,3;2;
2015-01-31;4;5,6;985,8;27;8,7;2,2;
2015-02-28;13;149,6;985;26,6;6,8;1,9;
2015-03-31;7;5,4;984,4;27,8;6,7;2,1;
2015-04-30;9;62,2;984,6;27;6,2;1,6;
2015-05-31;14;21,8;987;24,8;6;1,5;
2015-06-30;null;null;989,4;23,2;6,4;1,5;
2015-07-31;12;32,2;989,7;22,8;7,3;1,6;
2015-08-31;11;20;989,5;23;6,6;2;
2015-09-30;3;1,8;987,3;25,6;7,5;2,6;
2015-10-31;4;14,6;986,7;26,4;7,1;2,7;
2015-11-30;3;38,8;983,6;28,2;7,3;2,8;
2015-12-31;2;4,2;985,4;28,3;9,3;2,9;
2016-01-31;21;304,6;984,1;26,5;7,2;1,7;
2016-02-29;4;1,8;985,5;27,2;6,2;1,8;
2016-03-31;10;16,2;985,7;27,6;7,5;1,9;
2016-04-30;17;13,6;985,6;26,5;7,5;1,8;
2016-05-31;4;1,6;987,7;25,3;5,6;1,5;
2016-06-30;null;null;989,2;24,7;6,2;1,7;
2016-07-31;8;12,2;989,7;23;7,1;1,6;
2016-08-31;10;32,2;989,1;23,7;7;1,8;
2016-09-30;14;28,8;988,3;24,4;6,5;2,2;
2016-10-31;12;40,4;985,6;25,9;6,8;2,3;
2016-11-30;8;53;984,5;26,2;8,3;2,2;
2016-12-31;8;35;984,1;27,4;7,2;2,5;
2017-01-31;6;14,4;984,6;27,6;7,6;2,7;
2017-02-28;7;13,2;984,3;27,5;7,4;2,4;
2017-03-31;8;23,6;984,1;27,8;7,1;2,2;
2017-04-30;7;85,8;985,2;26,7;6,8;1,8;
2017-05-31;15;36;986,8;25;6,1;1,7;
2017-06-30;14;32,6;988,7;23,9;6,9;1,8;
2017-07-31;16;35,8;992,1;21,9;8,1;2,2;
2017-08-31;2;8,8;989,1;23,3;6,8;2;
2017-09-30;19;28,2;990,1;23,5;7,3;2,8;
2017-10-31;6;8,6;986,5;25,8;7,3;3;
2017-11-30;9;54,8;983,9;26,4;7,2;2,4;
2017-12-31;10;92;983,4;27,2;9,4;2,1;
2018-01-31;9;102;984,2;27,1;8,7;2;
2018-02-28;8;46,2;983,4;27,3;6,6;2,1;
2018-03-31;10;50,2;983,5;27,3;9,5;1,8;
2018-04-30;12;29,6;985,8;25,7;7,4;1,8;
2018-05-31;16;33,4;987,4;24,7;6,4;1,8;
2018-06-30;19;35,4;989,4;23,4;6,9;1,6;
2018-07-31;15;18,4;989,6;23,1;6,2;1,8;
2018-08-31;8;23;989,4;24;7,3;2,1;
2018-09-30;10;8,4;986,9;25,1;6,5;2,6;
