Nome: ENCRUZILHADA DO SUL
Codigo Estacao: A893
Latitude: -30.54305555
Longitude: -52.52472221
Altitude: 427.75
Situacao: Operante
Data Inicial: 2018-03-14
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2018-03-31;5;null;null;19,7;6,9;null;
2018-04-30;12;247;968,9;20,9;6,9;2,1;
2018-05-31;11;56,6;969,6;15,7;7,1;2,5;
2018-06-30;16;123,2;969,9;10,9;7,5;2,4;
2018-07-31;21;214;970;11,6;8,6;3;
2018-08-31;13;150,2;970,6;12;7,2;2,9;
2018-09-30;17;304,6;967,2;16,7;9;2,9;
2018-10-31;9;94,4;966,8;17,1;7,7;3,1;
2018-11-30;8;138,6;965,4;20,6;8;2,9;
2018-12-31;12;161,2;965;21,5;7,7;2,7;
2019-01-31;17;205,2;965,4;23,8;8,6;2,8;
2019-02-28;11;55;965,6;22,3;6,8;2,4;
2019-03-31;13;71,4;967,7;20,5;7,9;2,7;
2019-04-30;6;null;null;null;null;null;
2019-05-31;19;189,2;968,4;16,3;7,9;2,7;
2019-06-30;9;58;969,6;16,4;7,9;2,5;
2019-07-31;12;263,4;970,5;11,8;7,4;2,6;
2019-08-31;6;119,8;972,5;12,9;9,1;2,9;
2019-09-30;13;102,8;968,8;14,6;7,2;2,9;
2019-10-31;16;354;966,8;18,3;10,9;3,1;
2019-11-30;11;110,4;965,2;20,4;7,1;2,7;
2019-12-31;6;52,4;964,2;23,2;7,4;2,6;
2020-01-31;11;117,4;964,2;23;7,9;2,6;
2020-02-29;6;9,4;966,3;22,6;7;2,6;
2020-03-31;8;29;967,6;23;6,7;2,4;
2020-04-30;10;40,2;969;18,3;7;2,7;
2020-05-31;9;171,2;968,3;15,1;8,1;2,6;
2020-06-30;19;151,6;967,6;13,8;8,4;2,7;
2020-07-31;11;135;968,8;11,6;9,6;2,8;
2020-08-31;10;85,8;970,2;14,7;8,6;2,8;
2020-09-30;18;228,4;968,3;14,7;8,3;2,9;
2020-10-31;13;105,4;966,6;17,1;8,8;3,2;
2020-11-30;8;72,8;967,2;19,4;8,4;2,9;
2020-12-31;10;68;964,5;21,5;8,2;2,8;
2021-01-31;11;null;964;23;9,3;2,6;
2021-02-28;16;148,8;964,8;21,8;7,6;2,2;
2021-03-31;4;null;965,5;null;5,9;2,5;
2021-04-30;null;null;null;null;7;null;
2021-05-31;null;null;null;null;8,4;null;
2021-06-30;null;null;null;null;9,5;null;
2021-07-31;null;null;null;null;8,7;null;
2021-08-31;4;null;null;null;7,4;null;
2021-09-30;15;261,6;967,5;15,5;8,2;3;
2021-10-31;8;77;967,2;17,5;7,4;2,8;
2021-11-30;12;68,6;964,8;19,9;8,2;3;
2021-12-31;5;46,6;965;21,3;7,3;2,9;
2022-01-31;11;74,6;963,9;24,8;8,8;2,8;
2022-02-28;9;144,8;964,4;22,9;6,6;2,5;
2022-03-31;14;119,6;965,7;20,1;10,8;2,9;
2022-04-30;14;202,4;967,4;17,3;7,6;2,4;
2022-05-31;22;110,4;968,8;13,3;9,9;2,6;
2022-06-30;13;122;969,3;11;7,3;2,4;
2022-07-31;17;181,8;967,3;14,5;8,4;2,3;
2022-08-31;14;114,4;970,7;12,7;9;2,7;
2022-09-30;11;74,6;969,4;13,9;8,1;2,8;
2022-10-31;14;107,2;966,6;16,4;10;2,8;
2022-11-30;8;55,8;968,4;19,3;8,7;2,6;
2022-12-31;6;42;963,9;22,4;7,2;2,8;
2023-01-31;9;64,4;964,3;24,2;6,2;2,4;
2023-02-28;13;149,6;964,6;22,9;8,2;2,4;
2023-03-31;15;176,4;966,1;23,2;6,6;2,3;
2023-04-30;8;41,4;967,4;17,9;7,2;2,5;
2023-05-31;12;218,4;969,6;16,5;6,5;2;
2023-06-30;14;125,2;970,3;14,2;7,2;2,3;
2023-07-31;16;219,2;970,3;12,7;9,3;2,7;
2023-08-31;10;105,6;967,8;14,6;10,7;2,4;
2023-09-30;19;505,6;965,8;15,7;9,7;3,2;
2023-10-31;14;172,4;965,5;16,6;9,3;2,9;
2023-11-30;18;263,8;963,7;19,3;8,7;2,7;
2023-12-31;16;116,8;964,6;22;8,8;2,9;
2024-01-31;10;95,8;965,6;22,3;8,9;2,7;
2024-02-29;9;94,2;966,3;23,8;6,1;2,4;
2024-03-31;10;73;965,9;22,1;11,6;2,3;
2024-04-30;8;null;null;null;6,3;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;13;null;966,6;15,3;6,7;2,8;
2024-07-31;10;null;null;null;6,3;null;

