Nome: SOBRAL
Codigo Estacao: A306
Latitude: -3.74805555
Longitude: -40.34583333
Altitude: 92.07
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;1;null;null;null;7,3;null;
2010-02-28;5;null;null;null;6,7;null;
2010-03-31;3;null;999,5;28,4;8,4;2,6;
2010-04-30;10;null;null;null;7,3;null;
2010-05-31;6;null;null;null;6;null;
2010-06-30;2;null;null;null;6,1;null;
2010-07-31;null;null;null;null;5,7;null;
2010-08-31;null;null;null;null;6,5;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;7,2;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;9;58;997,7;28,1;7,6;2,5;
2011-01-31;23;202,2;998,6;25,8;6,3;1,8;
2011-02-28;17;130,8;999,4;25,7;6,1;1,6;
2011-03-31;24;193;999,4;25,4;6,8;1,5;
2011-04-30;26;309,6;999,8;25,3;5,9;,9;
2011-05-31;16;122,2;1000,2;25,9;4,8;1,3;
2011-06-30;11;53,8;1001,6;25,6;5,6;1,5;
2011-07-31;7;53,4;1001,8;26;4,9;1,6;
2011-08-31;4;7,2;1002,1;27,4;6,3;2,3;
2011-09-30;1;,4;1001,8;28,4;7,3;2,6;
2011-10-31;null;null;null;28,6;7,8;null;
2011-11-30;null;null;null;null;6,1;null;
2011-12-31;null;null;null;null;6,5;null;
2012-01-31;null;null;null;null;6,9;null;
2012-02-29;null;null;null;null;7,6;null;
2012-03-31;10;null;null;26,5;7,2;null;
2012-04-30;5;null;null;null;null;null;
2012-05-31;4;8,6;1000,9;27,7;6,8;2,3;
2012-06-30;1;,2;1002,1;27,9;6,4;2,3;
2012-07-31;0;0;1001,8;28,3;7,3;2,5;
2012-08-31;null;0;1002,5;28,5;6,4;2,7;
2012-09-30;null;null;1002,4;28,5;7;3,3;
2012-10-31;null;null;null;null;7;null;
2012-11-30;null;null;null;null;7,4;null;
2012-12-31;null;null;998,6;29,2;7,1;3,2;
2013-01-31;7;97;999,9;28,2;7,6;2,6;
2013-02-28;12;112,6;999;28,2;9,7;2,4;
2013-03-31;8;98,4;999,7;28,4;6,7;2,4;
2013-04-30;11;34,2;1000,5;26,8;6,4;1,8;
2013-05-31;1;null;1001,1;26,3;6;1,6;
2013-06-30;9;18,6;1001,9;26,5;7,1;1,8;
2013-07-31;null;null;1002,7;26,6;5,5;1,9;
2013-08-31;1;,6;1001,3;28,4;6,3;2,5;
2013-09-30;1;,2;1001,3;28,9;8,3;3,2;
2013-10-31;1;,6;1000,6;29;7,3;3;
2013-11-30;2;52,6;998,8;28,4;7,3;2;
2013-12-31;3;14,2;999,5;28,5;6,8;2,3;
2014-01-31;11;79,4;1000,2;27,6;7,9;2,2;
2014-02-28;12;171;999,3;27,1;6,3;1,8;
2014-03-31;18;101,8;1000,3;26,5;6,4;1,6;
2014-04-30;23;217,4;1000,6;25,9;7,7;,5;
2014-05-31;19;158,6;1000,8;26,1;4,7;,8;
2014-06-30;4;10,4;1001,6;27;5,1;1,7;
2014-07-31;1;,2;1003,5;27,9;6,5;2,4;
2014-08-31;1;,2;1002,5;28,3;6,5;2,6;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;2;9;999,8;28,7;7,4;3,2;
2014-12-31;2;2,6;1000,1;28,7;9,2;3,2;
2015-01-31;4;15;1000,9;null;9;3,2;
2015-02-28;15;188,4;1000,5;null;7,1;2,3;
2015-03-31;21;143,6;1000,5;null;6,4;1,5;
2015-04-30;18;88,2;1000,9;null;5,8;1,5;
2015-05-31;8;32,6;1001,2;null;5,7;1,8;
2015-06-30;9;44;1002,6;27,2;6,3;1,8;
2015-07-31;5;34,4;1002,7;27,2;7,8;2,2;
2015-08-31;0;0;1002,1;28,1;6,3;2,5;
2015-09-30;0;0;1001,7;28,5;7;3;
2015-10-31;0;0;1001,2;28,9;7,6;3,2;
2015-11-30;0;0;999,7;29;7,3;3,1;
2015-12-31;3;5,6;1000,8;29,3;7,5;3;
2016-01-31;11;64,8;1000,8;27,1;6,4;2;
2016-02-29;null;null;1000,6;26,7;5,9;1,5;
2016-03-31;7;43,2;1000,9;27,3;6,7;1,5;
2016-04-30;5;null;1000,2;26,5;5,8;1,2;
2016-05-31;8;36,8;1002;27,1;5;1,3;
2016-06-30;5;13,4;1003,1;27,7;8;1,7;
2016-07-31;1;,2;1002,5;28;6,5;1,9;
2016-08-31;0;0;1002,3;28,5;6,3;2,3;
2016-09-30;1;,2;1001,8;28,8;7,2;2,7;
2016-10-31;1;,2;999,8;29,4;7,5;3;
2016-11-30;1;null;998,8;null;6,9;3,4;
2016-12-31;1;null;null;null;7;null;
2017-01-31;null;null;999,8;null;5,7;,9;
2017-02-28;null;null;999,9;26,4;6,9;1,5;
2017-03-31;21;270,6;1000,3;25,5;6;,8;
2017-04-30;17;197;1000,4;26,2;5,9;,4;
2017-05-31;15;92,6;1001,2;26,3;4,7;,3;
2017-06-30;9;15;1001,8;26,6;5,6;,4;
2017-07-31;5;7,6;1003,7;27,2;5,2;1,4;
2017-08-31;3;2;1002;28,2;6,1;2;
2017-09-30;0;0;1001,8;28,7;6;2,5;
2017-10-31;0;0;1000;29,2;7,2;3,2;
2017-11-30;0;0;999,2;28,5;7;2,9;
2017-12-31;2;4,4;999,3;28,8;9,2;2,9;
2018-01-31;9;57,6;999,7;28,2;7,5;2,3;
2018-02-28;24;214,4;999,9;25,8;6,4;1;
2018-03-31;24;52,2;1000,1;26,3;6,1;,8;
2018-04-30;null;null;1000,9;25,6;5,7;,7;
2018-05-31;null;null;1001,6;25,8;4,1;,7;
2018-06-30;null;null;1002,8;26;4,7;1,2;
2018-07-31;6;12,4;1002,6;27,2;5,4;1,6;
2018-08-31;0;0;1002,9;28;6;2;
2018-09-30;1;2;1000,6;28,9;6,6;2,5;
2018-10-31;0;0;1000,1;29;7;2,7;
2018-11-30;1;,6;999;29,4;7,6;2,7;
2018-12-31;12;123,6;1000,7;27,2;6,3;1,4;
2019-01-31;21;34;1001,1;26,9;5,6;1;
2019-02-28;null;null;1000,4;26,3;6,3;,3;
2019-03-31;null;null;1001,1;25,5;7,6;,2;
2019-04-30;null;null;1000,8;25,8;5,3;,2;
2019-05-31;null;null;1000,7;26,1;4,7;,1;
2019-06-30;3;4,2;1002,7;26,4;5,2;,3;
2019-07-31;4;11;1002,7;27,1;4,5;,4;
2019-08-31;1;,2;1003,5;28;5,4;,7;
2019-09-30;0;0;1001,7;28,6;6,6;1,4;
2019-10-31;0;0;1000,1;28,8;7;1,8;
2019-11-30;1;,2;998,7;29,3;6,7;1,7;
2019-12-31;2;31,4;999,1;29,3;6,8;1,7;
2020-01-31;20;122,8;1000,4;27,1;9,5;,6;
2020-02-29;25;31;1000,7;26,1;5,6;,3;
2020-03-31;null;null;1000,5;26,3;7,4;,2;
2020-04-30;null;null;1001;26;5,7;,2;
2020-05-31;null;null;1001,9;26,5;4;,3;
2020-06-30;3;7,2;1002;26,6;4,3;,7;
2020-07-31;6;15,8;1001,9;26,7;5,6;,9;
2020-08-31;2;2,6;1001,7;28;6,4;1,4;
2020-09-30;0;0;1001,3;28,6;6,7;1,7;
2020-10-31;0;0;1000,1;29,1;6,5;2;
2020-11-30;7;10,8;999,3;29,2;7;1,8;
2020-12-31;9;12;999,4;29,1;6,8;1,7;
2021-01-31;17;13,6;999,2;28,1;7,6;1,3;
2021-02-28;null;null;999,6;27,7;7,8;1,1;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;4,8;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;5;27,6;999,4;28,1;7,4;1,2;
2023-01-31;17;128,8;1000,3;26,9;6,1;,8;
2023-02-28;19;95,2;1000,2;26,3;5,5;,3;
2023-03-31;24;254,6;1000,7;25,6;5,2;,2;
2023-04-30;21;246,2;1000,1;25,8;5,9;,3;
2023-05-31;8;18,6;1001,2;26,9;4,1;,1;
2023-06-30;11;11;1002,5;27,1;5;,6;
2023-07-31;null;null;1002,5;28,2;5,3;,6;
