Nome: CHAPECO
Codigo Estacao: A895
Latitude: -27.0853111
Longitude: -52.6357111
Altitude: 679
Situacao: Operante
Data Inicial: 2019-02-18
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2019-02-28;3;null;null;null;null;null;
2019-03-31;12;146,6;937,6;21,2;8,4;3,1;
2019-04-30;12;146;937;20,5;7,3;2,7;
2019-05-31;17;299,6;937,7;17,9;8,8;3,2;
2019-06-30;7;43,2;940,6;18;9,6;3,7;
2019-07-31;12;93,4;940,7;14,4;10;3,3;
2019-08-31;8;28,6;942,1;15,8;10,6;3,9;
2019-09-30;7;56,4;937,8;19,4;11,9;4;
2019-10-31;14;197,4;936,4;21,7;10,7;3,8;
2019-11-30;13;183,2;934,6;22,6;10,8;3,5;
2019-12-31;11;149,6;934,9;22,8;11,6;3,2;
2020-01-31;11;115;934,2;23,6;9,2;3,3;
2020-02-29;12;158,8;936,2;22,6;7,3;3,1;
2020-03-31;5;33,2;937,4;23,4;12,3;2,9;
2020-04-30;5;87,8;939,3;18,8;7,5;3,1;
2020-05-31;10;185,6;939,4;15,6;9,1;3,3;
2020-06-30;19;296;938,4;16,4;16,1;4,2;
2020-07-31;13;166,8;939,2;15;9;3,9;
2020-08-31;6;117,8;939,8;17,3;9,5;3,5;
2020-09-30;5;40,2;937,4;20,5;9,2;3,8;
2020-10-31;6;19,2;935,7;22,1;8,8;3,5;
2020-11-30;11;138,6;936;22;9,3;3,6;
2020-12-31;8;239,2;934,3;23,6;9,4;3,4;
2021-01-31;20;null;934,5;22,7;9,1;3,8;
2021-02-28;12;76,8;935,1;22;7,6;3;
2021-03-31;11;97,8;935,7;22,2;6,6;3;
2021-04-30;6;23;938,9;19,6;9;3,1;
2021-05-31;10;67,6;939,1;16,1;10,1;3,1;
2021-06-30;15;185,6;940,3;13,7;9,9;3,3;
2021-07-31;4;56;942,2;13,4;9,8;3,4;
2021-08-31;3;null;941,4;17,6;9,4;3,5;
2021-09-30;2;null;null;null;10,6;null;
2021-10-31;14;323,6;936,4;19,2;11,3;3,5;
2021-11-30;7;108;934,5;22,5;8,4;3,3;
2021-12-31;4;7,4;933,6;24,6;12,2;3,4;
2022-01-31;15;89,6;934,1;24,8;8,4;3,5;
2022-02-28;11;104;934,9;24,2;10;3,1;
2022-03-31;17;209,6;936;21,5;8,7;3,3;
2022-04-30;14;268,6;937,3;18,9;9,8;3,3;
2022-05-31;18;306;938,9;14,5;8,8;3,3;
2022-06-30;13;207,8;939,1;13,7;9,8;3,3;
2022-07-31;9;78,6;938,5;18,1;11,7;4,2;
2022-08-31;10;175,2;939,9;15,1;11,7;3,7;
2022-09-30;14;145;938,5;15,4;14,1;3,7;
2022-10-31;17;361,6;936,1;18,4;9,5;3,4;
2022-11-30;4;49;937,1;20,2;11,4;3,8;
2022-12-31;10;89,8;933,6;23,6;8,9;3,2;
2023-01-31;11;137,8;934,8;23,9;9,6;3;
2023-02-28;10;111;935,4;22,3;7,8;2,9;
2023-03-31;9;86,6;936,8;23,1;11,5;2,8;
2023-04-30;9;156,2;937,2;19,2;8,7;2,8;
2023-05-31;8;208,4;940;17,4;8,1;2,9;
2023-06-30;10;182,6;940,8;15,5;9,1;3,6;
2023-07-31;11;191,6;940,2;16,3;13,8;3,5;
2023-08-31;8;102,6;938;17,6;9,1;3,6;
2023-09-30;11;219,6;935,8;20,8;10,1;4,3;
2023-10-31;16;493,6;934,7;19,6;12,1;3,6;
2023-11-30;15;401;933,9;22,4;11,4;4;
2023-12-31;14;197,2;935,1;23,9;10,6;3,3;
2024-01-31;11;195,6;935,1;23,4;15,7;3,6;
2024-02-29;11;null;936,3;24,2;8,7;3;
2024-03-31;10;136,8;936,6;23,3;10,2;3,1;
2024-04-30;9;181;936,7;22,1;11,7;3,5;
2024-05-31;17;276,8;937,8;17,1;12,6;4;
2024-06-30;11;196,2;938,7;17,9;9,4;4;
2024-07-31;9;null;null;null;7,5;null;

