Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;15;33,2;1012,1;28,4;6,9;3,6;
2010-02-28;19;94,4;1011,8;28,1;10,8;3,1;
2010-03-31;9;37,6;1011,2;28,5;8,3;3,4;
2010-04-30;21;444,8;1011,8;27,5;6,8;2,4;
2010-05-31;21;170,4;1012,7;27;null;null;
2010-06-30;24;320,8;1015,8;25,8;null;null;
2010-07-31;27;183,8;1016,4;25,3;null;null;
2010-08-31;22;121,4;1017,4;24,8;null;null;
2010-09-30;19;95,4;1016;25,2;null;null;
2010-10-31;4;null;null;26,8;7,3;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;7;null;1009,6;27,9;7,9;4,2;
2011-01-31;20;116,4;1010,6;27,8;7,5;3,3;
2011-02-28;8;29,4;1011,3;28;6,9;3,5;
2011-03-31;8;55,4;1010,4;28,5;7,6;3,1;
2011-04-30;22;244,4;1011,7;27,6;7,1;2,5;
2011-05-31;20;365,4;1013,3;26,4;6;2,2;
2011-06-30;21;111,4;1015,2;25,5;6,1;1,9;
2011-07-31;24;150,6;1016,2;24,9;6,6;2,3;
2011-08-31;18;94,4;1016,7;25,1;6,4;2,5;
2011-09-30;18;67,4;1017,3;25,3;5,4;2,7;
2011-10-31;14;118,8;1012,6;26,2;8,1;3,8;
2011-11-30;18;48,2;1012,5;26,3;8,4;4;
2011-12-31;3;5,2;1012,1;26,9;7,6;3,8;
2012-01-31;8;18,6;1012,6;27,2;8,7;3,8;
2012-02-29;16;109,8;1012,3;27,5;6,7;3,5;
2012-03-31;10;26;1012,8;27,6;8;3,4;
2012-04-30;13;36,6;1012,8;27,6;5,8;2,7;
2012-05-31;17;175,4;1014,5;26,6;5,6;2,4;
2012-06-30;20;167,8;1016,1;25,8;6,4;2,4;
2012-07-31;18;140,6;1016,8;25,1;5,8;2,2;
2012-08-31;23;126;1018,4;24,7;7,4;2,2;
2012-09-30;15;103;1017,4;25,4;7;2,9;
2012-10-31;18;108,6;1014,6;25,8;7,7;3,5;
2012-11-30;3;8,2;1011,7;26,9;8,4;4,7;
2012-12-31;5;4;1011,9;27,5;6,4;4;
2013-01-31;7;9;1012,5;27,7;7,6;4,1;
2013-02-28;9;23;1012,3;28,1;6,8;3,5;
2013-03-31;12;29,4;1012,4;28,3;7,7;3,6;
2013-04-30;13;227,2;1012,7;27,6;6,4;2,7;
2013-05-31;13;110;1014;26,6;5,9;1,6;
2013-06-30;null;null;1015,2;26;6,3;1,6;
2013-07-31;null;null;1016,7;25,2;7;1,7;
2013-08-31;13;66,4;1016,4;24,9;6,6;2,2;
2013-09-30;15;40,4;1016,1;26;7,4;3,2;
2013-10-31;15;186,4;1014,6;26,4;8,2;3,7;
2013-11-30;13;170;1012,4;26,7;8,1;4,2;
2013-12-31;6;71,6;1011,7;27,3;8,1;4,3;
2014-01-31;10;21,2;1013,2;27,9;7,2;3,2;
2014-02-28;19;82,8;1012;27,8;6,2;3,1;
2014-03-31;17;111,2;1012,5;27,9;6,2;3,1;
2014-04-30;19;227,8;1012,6;27,8;6,2;2,6;
2014-05-31;23;204,6;1013,6;26,6;6,8;2,1;
2014-06-30;25;168;1015,7;25,8;5,4;1,8;
2014-07-31;23;216,4;1018,2;25,2;6,2;2,4;
2014-08-31;18;93;1017,7;25,2;5,3;2,2;
2014-09-30;15;70,6;1016,5;25,6;7,3;3,1;
2014-10-31;17;57,8;1015,4;26,4;7,7;3,6;
2014-11-30;13;70,6;1012,8;26,7;8,2;3,8;
2014-12-31;16;21,2;1013,3;27,2;7,2;3,6;
2015-01-31;8;41,8;1014,1;27,8;6,9;3,8;
2015-02-28;15;68,2;1013;27,8;7,1;3,4;
2015-03-31;14;76,4;1012,5;28,2;6,5;3,3;
2015-04-30;15;177,2;1012,4;28;6,8;2,7;
2015-05-31;23;451,6;1014,2;26,8;6,9;2;
2015-06-30;29;229,6;1016,5;26;7,8;1,8;
2015-07-31;25;255,2;1017,2;25,3;5,2;,2;
2015-08-31;19;107,6;1017,3;25;0;0;
2015-09-30;11;27,6;1015,8;26,2;6,6;2,4;
2015-10-31;9;41,2;1015,2;26,6;7,3;3,8;
