Nome: TANGARA DA SERRA
Codigo Estacao: A902
Latitude: -14.65
Longitude: -57.43166666
Altitude: 440.01
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;14;null;null;25,1;9,6;null;
2010-04-30;5;6;962,6;24,8;9,8;2,9;
2010-05-31;5;32,4;963,8;22,9;8,4;3,3;
2010-06-30;1;1,8;965,2;24,2;8,9;3;
2010-07-31;null;null;null;null;9,1;null;
2010-08-31;1;null;null;null;7,2;null;
2010-09-30;0;0;961;28,1;9,5;3,3;
2010-10-31;6;53,2;960,9;26;9,1;null;
2010-11-30;1;22,2;959,7;24,6;9,1;3,1;
2010-12-31;2;,8;958,5;24,8;10,2;2,7;
2011-01-31;4;30,6;959,5;24,4;9,3;2,7;
2011-02-28;9;112,2;960,6;24,1;7,9;null;
2011-03-31;18;222,4;960;24,4;7,8;2,5;
2011-04-30;9;null;961,9;25,2;7,3;2,5;
2011-05-31;null;null;null;23,5;6,6;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;7;47,2;962,7;27;9,1;3,1;
2011-10-31;18;235,6;959,8;25,6;10,8;2,9;
2011-11-30;15;87,2;959,4;25,7;7,9;2,5;
2011-12-31;22;302,8;959,8;24,7;10,4;2,3;
2012-01-31;25;207,8;960;24,4;8,8;2,6;
2012-02-29;26;353;960,7;24,4;9,5;2,4;
2012-03-31;16;69,2;962;24,4;8,9;2,1;
2012-04-30;null;null;961,8;24,9;7,5;2;
2012-05-31;null;null;963,5;23,5;8,6;2,3;
2012-06-30;null;null;964,4;23;9,1;2,5;
2012-07-31;2;1,2;964,7;22,8;7,6;2,7;
2012-08-31;1;,4;964,6;25,8;8;3,3;
2012-09-30;5;25;962,7;27,1;12,6;2,8;
2012-10-31;14;124,6;960,4;26,3;17,3;2,6;
2012-11-30;17;217,6;959,5;25,2;9,7;2,4;
2012-12-31;22;238,4;959,8;25,3;9,8;2,5;
2013-01-31;24;310,2;960,5;24,9;9,4;2,2;
2013-02-28;12;null;null;null;8,8;null;
