Nome: S.J. DO RIO CLARO
Codigo Estacao: A903
Latitude: -13.45388888
Longitude: -56.67722221
Altitude: 339.59
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;4,6;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;6;null;null;25,7;6,3;null;
2010-04-30;1;null;973,7;25,5;4,4;null;
2010-05-31;1;1,2;974,7;23,7;null;null;
2010-06-30;2;36,8;976,4;23,5;null;null;
2010-07-31;null;0;975,8;22;null;null;
2010-08-31;null;0;975,6;22,9;null;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;9;null;null;null;null;null;
2011-03-31;24;183;971,2;24,7;6,8;1,1;
2011-04-30;13;151,4;972,8;25,3;5,8;,9;
2011-05-31;2;,4;974,3;23,8;4,4;1,1;
2011-06-30;2;11,4;975;22,9;4,8;1;
2011-07-31;0;0;974,8;23,1;4,6;1;
2011-08-31;1;3,2;974,4;24,4;4,2;1,2;
2011-09-30;7;42,4;973,6;26,8;4,6;1,2;
2011-10-31;19;96,6;971,2;25,6;8,1;1,2;
2011-11-30;20;217,8;971;25,5;6,2;1,1;
2011-12-31;22;203,6;971,4;25;5,7;1,1;
2012-01-31;23;242,6;971,9;24,4;4,5;1,3;
2012-02-29;20;88,6;972,2;24,5;5,5;1,2;
2012-03-31;null;null;973,2;24,9;6,3;1,1;
2012-04-30;16;66,4;973;25,1;4,4;,8;
2012-05-31;null;null;974,6;23,6;3,6;,8;
2012-06-30;null;null;975,6;23,1;4,3;,9;
2012-07-31;null;0;975,7;22,4;6;1;
2012-08-31;null;0;975,6;23,7;4,3;1,1;
2012-09-30;9;40,8;974;26;6,2;1,1;
2012-10-31;11;58,6;971,7;26,5;7,2;1,1;
2012-11-30;17;113,8;971;25,5;6,5;1,2;
2012-12-31;10;null;971;null;5,1;1,2;
2013-01-31;6;null;null;null;6,4;null;
2013-02-28;12;null;null;25,3;5,6;null;
2013-03-31;19;236,2;972,6;25,5;5,7;1;
2013-04-30;18;170,4;973,9;24,5;5,6;1;
2013-05-31;2;null;974,5;24,2;4,3;,9;
2013-06-30;4;6;974,9;24,6;3,3;,8;
