Nome: CAMPO NOVO DOS PARECIS
Codigo Estacao: A905
Latitude: -13.78583333
Longitude: -57.8386111
Altitude: 525.41
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;24;4,8;null;
2010-07-31;1;11,8;954,2;22;6,8;2;
2010-08-31;2;4,8;953,6;24,1;7;1,8;
2010-09-30;3;2,8;950,6;27,8;6,8;2,1;
2010-10-31;22;9,8;950,5;25,8;7;2,1;
2010-11-30;2;null;949,4;24,2;5,4;1,7;
2010-12-31;null;null;null;null;7,2;null;
2011-01-31;8;null;null;null;4,5;null;
2011-02-28;24;null;950,3;23,7;4,7;1,4;
2011-03-31;24;236;949,6;24,1;5,8;1,6;
2011-04-30;14;170,8;951,4;24,6;6,1;1,3;
2011-05-31;1;,4;953;23,2;6,4;2;
2011-06-30;2;2;953,5;23,1;8;1,7;
2011-07-31;null;0;953,2;23,3;6,3;1,8;
2011-08-31;null;null;null;null;9,1;null;
2011-09-30;2;null;null;null;7,2;null;
2011-10-31;1;null;null;null;6;null;
2011-11-30;null;null;null;null;6,1;null;
2011-12-31;null;null;null;null;6,1;null;
2012-01-31;null;null;null;null;6,1;null;
2012-02-29;10;null;null;null;7,5;null;
2012-03-31;20;92,6;951,8;23,7;5,6;1,5;
2012-04-30;14;115,8;951,6;24,6;5,8;1,4;
2012-05-31;8;103,2;953,1;23,4;6,4;1,5;
2012-06-30;null;null;954;23;6,3;1,7;
2012-07-31;null;0;954,2;22,7;6,2;1,8;
2012-08-31;0;0;954,2;24,6;7;1,9;
2012-09-30;null;null;952,6;26,3;7,7;1,9;
2012-10-31;null;null;950,3;26;5,3;1,9;
2012-11-30;4;null;null;null;6,4;null;
2012-12-31;2;null;null;null;5,2;null;
2013-01-31;1;null;null;null;5,3;null;
2013-02-28;13;null;null;24,4;5;null;
2013-03-31;19;177;951;24,6;6,3;1,5;
2013-04-30;13;null;952,5;23,4;8,2;1,6;
2013-05-31;5;16,2;953,1;23,6;5,5;1,7;
