Nome: GUARANTA DO NORTE
Codigo Estacao: A906
Latitude: -9.9525
Longitude: -54.89777777
Altitude: 283.58
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;0;0;978,9;25,1;5,8;1,3;
2010-02-28;0;0;978,3;26,1;7,2;1,5;
2010-03-31;0;0;978,9;26,2;6,9;1,5;
2010-04-30;0;0;979,1;26,5;5,5;1,3;
2010-05-31;0;0;979,7;26,2;5,3;1,4;
2010-06-30;0;0;981,6;25,3;4,9;1,4;
2010-07-31;0;0;981;25,3;6,1;1,6;
2010-08-31;null;0;980,6;24,8;7,4;1,4;
2010-09-30;0;0;978,1;27,2;6,3;1,3;
2010-10-31;0;0;978,3;26,4;7,2;1,6;
2010-11-30;0;0;977,4;25,6;7,5;1,6;
2010-12-31;null;null;null;null;7;null;
2011-01-31;null;null;null;null;7,1;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;null;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;null;null;null;null;null;null;
2011-09-30;6;28,4;979,1;27,3;6,7;1,2;
2011-10-31;18;164;977,1;26,1;7,9;1,3;
2011-11-30;23;299,8;977,4;25;7,9;1,2;
2011-12-31;28;334,6;977,6;25;6,1;1;
2012-01-31;29;370;978,4;24,4;6,7;1,1;
2012-02-29;23;228,6;978,2;24,7;5,8;1,1;
2012-03-31;23;389,8;978,9;24,8;5,9;1,1;
2012-04-30;18;235,4;978,5;25,6;4,8;,9;
2012-05-31;9;51,2;979,8;25,1;3,9;1;
2012-06-30;3;8,4;980,8;24,9;4,5;1;
2012-07-31;1;,6;980,7;24,5;4,8;1,1;
2012-08-31;null;0;980,8;25,5;5,5;1,3;
2012-09-30;8;73;979,8;26,7;8,6;1,2;
2012-10-31;17;208,6;977,8;25,9;5,6;1,2;
2012-11-30;21;284;977,4;25,2;7,8;1,1;
2012-12-31;25;270;977,4;25,4;6,1;1;
2013-01-31;12;null;null;25,3;5,6;null;
2013-02-28;18;null;978,1;25,3;6,8;1;
2013-03-31;23;355;978,7;25,6;6,2;,9;
2013-04-30;18;285,6;979,4;25,5;5,7;,9;
2013-05-31;7;35,2;979,8;25,8;4,2;,8;
2013-06-30;0;0;980,3;25,7;5,3;,9;
2013-07-31;0;0;981,2;24,9;4,4;1;
2013-08-31;0;0;979,7;25,8;5,3;1,1;
2013-09-30;14;131,4;979,3;26;9,6;,8;
2013-10-31;18;160,8;978,7;25,5;5,3;,8;
2013-11-30;21;288,2;977,3;24,7;6,1;,8;
2013-12-31;26;249,8;977,8;24,8;4,8;,8;
2014-01-31;26;290,6;979,2;24,7;7,5;,9;
2014-02-28;26;99,4;978,3;24,7;4,4;,8;
2014-03-31;31;62,2;978,9;25,1;5;,5;
2014-04-30;30;42,6;979,4;25,3;5,9;0;
2014-05-31;29;65;979,6;25,8;1,2;0;
2014-06-30;0;0;980,6;25;1,4;0;
2014-07-31;0;0;982;25,4;4,7;,6;
2014-08-31;3;1,4;980,4;26,4;4,5;,9;
2014-09-30;13;88,4;979,3;26,8;5,8;,7;
2014-10-31;14;99,2;978,6;26,4;6;,8;
2014-11-30;19;183,4;977,9;26;5,3;,6;
2014-12-31;25;287,6;978,4;25,3;3,8;,6;
2015-01-31;28;214,4;979,7;25,1;6,7;,7;
2015-02-28;25;254,8;979,4;24,6;4;,6;
2015-03-31;24;188,4;979,2;25;3,1;,5;
2015-04-30;21;251,6;979,5;25,4;3,5;,4;
2015-05-31;23;69;980,2;25,6;5;,7;
2015-06-30;null;null;null;null;4,2;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;1;null;null;null;null;null;
2015-09-30;4;71,4;978,6;27,5;4;,6;
2015-10-31;15;117,4;978,6;26,7;6,5;,4;
2015-11-30;7;null;null;26,3;4,9;null;
2015-12-31;null;null;null;null;3,7;null;
2016-01-31;null;null;null;null;2,9;null;
2016-02-29;1;null;null;null;2,7;null;
2016-03-31;23;258,4;979,9;26,1;4;,4;
2016-04-30;10;134,6;979;26,5;3,7;,4;
2016-05-31;3;10,4;980,6;26,3;3,8;,3;
2016-06-30;4;44,4;982,2;24,9;4,4;,4;
2016-07-31;0;0;981,2;24,7;4,2;,7;
2016-08-31;7;25,2;980,1;26;4,2;,6;
2016-09-30;null;null;980;26,1;5,9;,5;
2016-10-31;null;null;978,1;26,2;7,2;,5;
2016-11-30;18;83,2;977,3;25,9;4,7;,6;
2016-12-31;25;520,6;978,3;25,1;4,7;,5;
