Nome: RONDONOPOLIS
Codigo Estacao: A907
Latitude: -16.4625
Longitude: -54.58027777
Altitude: 289.88
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;2;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;5;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;23,7;4,7;null;
2010-07-31;1;1,2;982,3;22,1;6,2;1,9;
2010-08-31;0;0;981,4;24,6;7,1;1,9;
2010-09-30;1;,4;977,5;29,1;6,9;2,1;
2010-10-31;9;175;977,2;27,4;7,1;1,9;
2010-11-30;15;193;976,2;26;7,3;1,8;
2010-12-31;13;145,4;975;26;8,6;1,8;
2011-01-31;26;357,8;976,2;25,2;6,4;1,4;
2011-02-28;22;146;977,5;25,2;6,3;1,6;
2011-03-31;24;257;976,7;24,9;6,2;1,4;
2011-04-30;11;38,6;978,7;25,6;5,8;1,3;
2011-05-31;8;2,6;980,8;23,5;4,7;1,5;
2011-06-30;4;18,6;981,5;22,4;6;1,5;
2011-07-31;1;,2;981,1;23,6;6;1,8;
2011-08-31;1;1,2;980,5;25,4;6,3;2;
2011-09-30;6;6;979,6;28,5;7,5;2,1;
2011-10-31;16;199,2;976,8;26,8;6,6;2;
2011-11-30;12;114,4;976,6;26,3;9,1;1,9;
2011-12-31;18;134,4;976,7;25,9;6,4;1,6;
2012-01-31;23;484,2;977,3;25,1;5,7;1,6;
2012-02-29;18;166;978;25,5;7,9;1,6;
2012-03-31;15;53,6;979;25,4;8,9;1,4;
2012-04-30;12;58;978,8;25,6;7,5;1,4;
2012-05-31;15;78,2;981;23,4;5,3;1,3;
2012-06-30;15;47;982;22,5;6,6;1,2;
2012-07-31;0;0;982,3;22;5,2;1,4;
2012-08-31;null;0;982,4;24,6;6,2;1,9;
2012-09-30;7;41;979,8;27,5;8,9;1,8;
2012-10-31;11;50;977,1;28;9;1,8;
2012-11-30;18;251,4;976,2;26,2;10,2;1,6;
2012-12-31;22;91,4;976,8;26,6;9,8;1,6;
2013-01-31;22;299,6;977,2;25,8;8;1,5;
2013-02-28;19;156,8;978,1;25,2;7;1,4;
2013-03-31;16;123,6;978,2;26,1;6,6;1,3;
2013-04-30;14;101,6;980;24,5;6,2;1,2;
2013-05-31;7;23;980,7;24,2;5,3;1,3;
2013-06-30;10;40,8;981,3;24,2;5,7;,9;
2013-07-31;2;,4;982,9;22,4;5,8;1,4;
2013-08-31;0;0;981,7;23,5;6,2;1,8;
2013-09-30;5;12;979,5;26,9;6,4;1,9;
2013-10-31;12;92;978,4;26,9;8,2;1,9;
2013-11-30;16;87,4;976,7;26,5;7,1;1,8;
2013-12-31;24;206,6;976,2;25,7;7,7;1,4;
2014-01-31;null;null;979,2;24,9;7,9;1,1;
2014-02-28;null;null;977,8;25,2;11,2;1,1;
2014-03-31;null;null;978,5;25,4;6,9;1,1;
2014-04-30;null;null;979,5;25,7;4,9;1,1;
2014-05-31;11;24;980,7;23,6;4,5;1,1;
2014-06-30;0;0;981,8;23,4;4,8;1,1;
2014-07-31;7;7,8;983,6;22,9;5,6;1,2;
2014-08-31;0;0;981,4;25,1;6;1,3;
2014-09-30;7;60,8;978,9;27,5;5,8;1,3;
2014-10-31;12;91,4;978,2;28,2;6,9;1,4;
2014-11-30;19;175,4;977,3;26,2;8,3;1,4;
2014-12-31;24;268;977,7;25,4;6,9;1,3;
2015-01-31;9;51;979,5;26,2;8;1,2;
