Nome: APIACAS
Codigo Estacao: A910
Latitude: -9.56333333
Longitude: -57.3936111
Altitude: 217.75
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;3,3;null;
2010-02-28;null;null;null;null;3,5;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;7;null;986,4;27,4;4,3;,8;
2010-05-31;7;52,2;986,9;26,8;3,7;,7;
2010-06-30;2;2,8;988,7;26,2;4,7;,7;
2010-07-31;1;1,8;988,2;25,8;4,1;,7;
2010-08-31;null;null;null;25;4,1;null;
2010-09-30;null;null;null;null;3;null;
2010-10-31;null;null;null;null;null;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;4;null;null;null;null;null;
2011-03-31;24;279;985,2;25,5;5,6;,7;
2011-04-30;20;158,6;986,2;25,8;5,3;,6;
2011-05-31;8;66,8;986,9;25,6;5,7;,7;
2011-06-30;2;2,4;987,8;25,5;3,7;,6;
2011-07-31;0;0;987,5;25,9;3,9;,6;
2011-08-31;4;3,6;987,3;27;4,6;,8;
2011-09-30;5;68,8;986,9;27,6;6,2;,6;
2011-10-31;18;344,2;984,7;26,2;5,5;,6;
2011-11-30;24;327,8;984,8;25,6;4;,7;
2011-12-31;25;173,8;985,1;25,7;5;,6;
2012-01-31;27;530,6;986;24,7;5,1;,6;
2012-02-29;21;270;985,9;24,8;4,5;,6;
2012-03-31;25;440,4;986,7;25,3;5,3;,6;
2012-04-30;23;312,6;986,3;26;5,3;,6;
2012-05-31;12;55,4;987,4;25,8;5,2;,6;
2012-06-30;null;null;988,6;25,6;4,3;,7;
2012-07-31;null;0;988,4;25,2;3,9;,7;
2012-08-31;null;0;988,3;26,3;4,2;,6;
2012-09-30;7;84,8;987,6;27,2;6,5;,6;
2012-10-31;18;180;985,5;26,5;6,9;,7;
2012-11-30;20;409,8;984,9;25,7;4,3;,6;
2012-12-31;23;229,2;984,9;26;7,8;,7;
2013-01-31;27;447,6;986,3;25,5;3,9;,7;
2013-02-28;24;259,8;985,9;25,4;4,7;,8;
2013-03-31;22;477,6;986,3;26,1;4,7;,8;
2013-04-30;22;162,2;987;25,8;5,2;,6;
2013-05-31;12;69,6;987,5;26,3;5,7;,6;
2013-06-30;5;null;987,7;26,6;3,9;,6;
2013-07-31;0;0;988,9;25,6;4,1;,7;
2013-08-31;2;1;987,4;26,4;4,9;,9;
2013-09-30;9;65,4;987;26,9;8;,9;
2013-10-31;15;183;986,3;26,2;7,5;1;
2013-11-30;16;null;985;25,3;4,8;,7;
2013-12-31;11;null;985,3;25,7;4,1;,7;
2014-01-31;21;113;986,7;25,3;3,8;,7;
2014-02-28;7;null;null;null;3,7;null;
2014-03-31;21;289,8;986,4;25,5;4,2;,6;
2014-04-30;25;186,6;987;26;4,2;,6;
2014-05-31;11;69;987,2;26,2;3,7;,5;
2014-06-30;null;null;988,2;25,8;4,1;,7;
2014-07-31;null;null;989,5;26,2;4,2;,8;
2014-08-31;2;null;987,9;26,9;10;,7;
2014-09-30;11;50,2;986,9;27,3;5,2;,3;
2014-10-31;5;null;null;null;null;null;
2014-11-30;7;null;null;null;3,7;null;
2014-12-31;21;291;985,9;25,9;4,5;,7;
2015-01-31;7;null;null;null;6,5;null;
2015-02-28;19;77,4;987;25,1;5,7;,6;
2015-03-31;9;26,8;986,7;25,5;4,8;,6;
2015-04-30;null;null;987;26,2;5,9;,6;
2015-05-31;null;null;987,8;26,3;4,1;,7;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;null;null;null;
2015-08-31;null;null;null;null;null;null;
2015-09-30;null;null;null;null;5,4;null;
2015-10-31;3;null;null;null;5,7;null;
2015-11-30;2;null;null;null;4,7;null;
2015-12-31;7;null;null;null;8,3;null;
2016-01-31;16;null;null;26,4;4,4;null;
2016-02-29;null;null;null;null;null;null;
2016-03-31;24;280;987,5;26,4;4,7;,6;
2016-04-30;13;63;986,6;27;5,2;,7;
2016-05-31;9;54,6;988,2;27;6,7;,5;
2016-06-30;6;18;989,8;25,8;4;,7;
2016-07-31;0;0;988,6;25,7;4,4;,6;
2016-08-31;3;,6;987,8;26,8;4,1;,6;
2016-09-30;13;62;987,8;26,9;4,7;,7;
2016-10-31;17;143;985,7;27;4,4;,7;
2016-11-30;18;111,6;984,9;26,5;5,5;,7;
2016-12-31;21;144;985,9;25,6;5,5;,6;
2017-01-31;24;118;986,5;25,6;4,3;,5;
2017-02-28;17;null;986,5;25,3;4,6;,6;
2017-03-31;24;115;986,5;26,1;4,6;,4;
2017-04-30;21;144,8;986,9;26,4;5;,2;
2017-05-31;15;60,8;987,2;27;2,8;0;
2017-06-30;4;4;988,5;25,4;2;0;
2017-07-31;0;0;990,5;24,7;4,3;,4;
2017-08-31;1;null;null;27;3,5;null;
2017-09-30;null;null;null;null;null;null;
2017-10-31;12;null;985,6;26,8;5,8;,6;
2017-11-30;22;250,4;984,8;26,3;4,8;,5;
2017-12-31;24;188;985,4;25,9;4,8;,2;
2018-01-31;28;152,2;986,1;25,3;6,3;,4;
2018-02-28;25;287,2;986,1;25,2;6,2;,8;
2018-03-31;5;null;null;null;null;null;
2018-04-30;null;null;null;null;null;null;
2018-05-31;1;null;null;null;null;null;
2018-06-30;3;1,4;989,4;25,1;3,6;0;
2018-07-31;null;null;null;null;4,1;null;
2018-08-31;null;null;null;null;3,9;null;
2018-09-30;null;null;null;null;4,5;null;
2018-10-31;null;null;null;null;4,7;null;
2018-11-30;17;null;985,1;26,3;4,7;,2;
2018-12-31;27;311,8;987;25,3;4,8;,8;
2019-01-31;24;434,4;987,6;25,6;5,8;,6;
2019-02-28;20;255;986,9;25,8;6,3;,3;
2019-03-31;26;322,8;987,1;25,9;5,6;,6;
2019-04-30;23;135,8;986,8;26,4;4,3;,6;
2019-05-31;1;null;null;null;5,7;null;
