Nome: CAMPO VERDE
Codigo Estacao: A912
Latitude: -15.55888888
Longitude: -55.17944443
Altitude: 747
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;0;0;928,3;23,2;7,3;2,9;
2010-02-28;0;0;928,4;24;8,9;2,6;
2010-03-31;0;0;928,6;24,2;7,6;2,4;
2010-04-30;1;4,4;930,1;23,5;6,1;,6;
2010-05-31;6;7;930,9;21,3;4,1;,1;
2010-06-30;0;0;932,6;22,8;6,4;,2;
2010-07-31;2;1,6;932,2;21,5;8,7;1,5;
2010-08-31;null;0;931,7;23,9;7,7;2,9;
2010-09-30;1;1;928,8;27,2;9,4;3,3;
2010-10-31;11;55;928,3;25;10,3;2,6;
2010-11-30;17;143;927;23,4;11,4;2,9;
2010-12-31;15;78,6;926;23,3;9,6;2,2;
2011-01-31;26;450;927;22,7;8,8;1,2;
2011-02-28;22;null;928,1;22,8;7,5;2,2;
2011-03-31;28;177;927,4;22,5;8,4;3;
2011-04-30;15;39,2;929,4;23,8;6,4;1,7;
2011-05-31;2;51,4;931;21,8;6,3;1,6;
2011-06-30;4;11,6;931,5;21,8;7,5;2,6;
2011-07-31;1;,2;931,3;22,6;7,3;2,8;
2011-08-31;1;1;931;24,2;8,4;3,3;
2011-09-30;11;14,4;930,5;25,7;10,8;3,3;
2011-10-31;null;null;927,7;23,9;11,8;3,1;
2011-11-30;2;22,2;927,4;23,7;11,7;3;
2011-12-31;19;281,4;927,5;23;9,1;2,8;
2012-01-31;21;283,8;927,9;22,5;7,6;3,1;
2012-02-29;24;177,6;928,5;23;9,6;2,4;
2012-03-31;17;199,8;929,6;23,1;7,9;2;
2012-04-30;15;114;929,5;23,4;9,3;1,4;
2012-05-31;12;136,4;931,2;21,8;7;1,5;
2012-06-30;5;82,8;932;21,7;7,6;2,6;
2012-07-31;0;0;932,2;21,8;7,3;2,8;
2012-08-31;null;0;932,5;24;8,8;3,1;
