Nome: JUARA
Codigo Estacao: A914
Latitude: -11.28027777
Longitude: -57.52666666
Altitude: 263.43
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;29;347,4;980,4;25,4;6,3;1,1;
2010-02-28;22;418,8;980;25,7;5,7;1,2;
2010-03-31;24;317;980,4;25,9;5,7;,8;
2010-04-30;14;38;981,1;26,4;4,5;,9;
2010-05-31;9;26,4;981,9;25,3;5,1;1;
2010-06-30;1;,4;983,6;25,3;6;,9;
2010-07-31;2;1;983,2;24,7;5,7;,9;
2010-08-31;1;13,6;982,7;25,4;8,1;1;
2010-09-30;1;4,4;979,9;28,3;5,1;1,2;
2010-10-31;14;214,4;980;26,9;7;1,4;
2010-11-30;21;229;979;25,8;6,3;1,3;
2010-12-31;21;233;978,3;25,4;7,7;1,2;
2011-01-31;28;310,2;979,2;24,9;7,6;1,1;
2011-02-28;25;205,6;980,2;25;5,8;1,2;
2011-03-31;23;161,6;979,6;25,3;6;1,2;
2011-04-30;21;220,8;980,9;25,4;4,2;,9;
2011-05-31;8;25,2;981,9;24,9;4,7;1,1;
2011-06-30;1;,2;982,7;24,8;5,1;1,2;
2011-07-31;0;0;982,4;25,4;5,8;1,3;
2011-08-31;6;20,8;982,1;26,4;6,2;1,3;
2011-09-30;6;24,6;981,5;28;6,3;1,3;
2011-10-31;20;218,4;979,3;26,3;7,7;1,4;
2011-11-30;22;304,4;979,3;25,6;8,1;1,1;
2011-12-31;27;353;979,6;25,4;5,6;,7;
2012-01-31;29;253,8;980,2;24,7;6,3;1,1;
2012-02-29;26;372,2;980,4;24,5;6,3;1,1;
2012-03-31;23;241;981,3;25;5,9;1;
2012-04-30;21;151,6;981;25,4;5,4;,8;
2012-05-31;11;null;982,3;25,2;4,9;,9;
2012-06-30;null;null;null;null;null;null;
2012-07-31;null;null;null;null;4,4;null;
2012-08-31;null;null;null;null;null;null;
2012-09-30;1;null;null;null;null;null;
2012-10-31;null;null;null;null;null;null;
2012-11-30;null;null;null;null;null;null;
2012-12-31;null;null;null;null;null;null;
2013-01-31;null;null;null;null;null;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;22;378,8;980,7;25,7;5,4;1;
2013-04-30;23;167;981,7;25,1;5,2;1,1;
2013-05-31;7;11,8;982,1;25,8;4,7;,9;
2013-06-30;5;13,4;982,5;25,9;4,2;,9;
2013-07-31;1;,4;983,7;24,8;5,3;1,2;
2013-08-31;0;0;982,3;25,6;7,1;1,4;
2013-09-30;7;75;981,4;26,7;8,6;1,3;
2013-10-31;17;286,4;980,8;26;6,6;1,2;
2013-11-30;22;227;979,3;25,1;4,7;1,1;
2013-12-31;24;336,2;979,7;25,3;8,8;1,4;
2014-01-31;25;241,6;981,3;24,9;5;1,1;
2014-02-28;25;256,6;980,3;25;5,6;1,2;
2014-03-31;22;336,8;980,8;25,3;6,5;1,1;
2014-04-30;20;164,2;981,6;25,7;5,4;,9;
2014-05-31;9;162,8;981,9;25,5;5;1;
2014-06-30;1;,2;982,9;25,2;5,4;1,1;
2014-07-31;1;2,8;984,4;25,1;8;1,2;
2014-08-31;2;10,2;982,6;26,8;5,7;1,2;
2014-09-30;11;115;981,2;27,1;6,1;1,1;
2014-10-31;11;75,8;980,6;27,2;5,6;1,2;
2014-11-30;17;208,2;979,8;26,1;6,2;1,2;
