Nome: PARNAIBA
Codigo Estacao: A308
Latitude: -3.08666666
Longitude: -41.78305554
Altitude: 52.11
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;10;33,4;1004,5;26,9;7,7;3,2;
2010-02-28;10;27,2;1003,5;28;7,6;3,7;
2010-03-31;14;151,4;1004,3;27,3;7,3;3,1;
2010-04-30;21;188,2;1004,2;25,7;6,6;2;
2010-05-31;15;54,8;1004,8;26,2;6,4;2,2;
2010-06-30;9;50,2;1006,7;26,2;6,3;1,9;
2010-07-31;7;64,6;1006,4;26,4;6;2,2;
2010-08-31;null;0;1006,3;27,5;6,6;2,9;
2010-09-30;0;0;1004,9;28,2;8,1;3,9;
2010-10-31;2;11,6;1004,5;28,3;8,8;4,3;
2010-11-30;1;3,2;1002,8;29,1;8,4;4,6;
2010-12-31;9;92;1002,4;28,4;7,2;3,4;
2011-01-31;null;null;1003,3;27,1;7,6;2,5;
2011-02-28;null;null;1004,1;26,6;6,3;2,1;
2011-03-31;9;46,8;1004,1;26,8;6,9;1,8;
2011-04-30;25;361,4;1004,6;26,7;6,7;1,5;
2011-05-31;22;80,8;1004,7;28;5;1,3;
2011-06-30;13;69,6;1006,2;28,4;5,9;1,8;
2011-07-31;9;63,8;1006,3;28,7;5,3;1,8;
2011-08-31;5;6,6;1006,6;29,6;6,3;2,9;
2011-09-30;0;0;1006,3;30,3;7,1;3,5;
2011-10-31;5;48;1003,7;30,4;7,9;4;
2011-11-30;0;0;1003,6;30,9;7,6;4,3;
2011-12-31;null;null;null;31;8,7;null;
2012-01-31;null;null;null;null;8,4;null;
2012-02-29;null;null;null;null;7,8;null;
2012-03-31;22;227,2;1004,5;25,8;6,4;2,6;
2012-04-30;12;51,4;1004,2;26,6;6,7;2,9;
2012-05-31;6;29,4;1005,3;27;6,9;3,1;
2012-06-30;11;108,2;1006,6;26,5;7;3;
2012-07-31;7;39,2;1006,1;26,8;6,9;3;
2012-08-31;null;0;1006,9;27;7,4;3,4;
2012-09-30;0;0;1006,6;27,3;7,7;4,5;
2012-10-31;0;0;1004;27,8;8,2;5;
2012-11-30;null;null;null;27,6;8;null;
2012-12-31;null;null;null;null;8,2;null;
2013-01-31;1;null;null;null;7,6;null;
2013-02-28;null;null;null;null;null;null;
2013-03-31;null;null;1004,3;27,8;7,4;3,4;
2013-04-30;17;181;1005,1;26,4;6,1;2,2;
2013-05-31;12;163,6;1005,5;26,4;6,2;2,1;
2013-06-30;11;34,4;1006,2;26,1;6,7;2,4;
2013-07-31;13;117;1007,1;25,9;5,9;2,3;
2013-08-31;4;10,6;1005,7;27,1;6,5;3,3;
2013-09-30;0;0;1005,5;27,9;8;4,5;
2013-10-31;0;0;1004,7;28,1;9,5;5,1;
2013-11-30;4;22;1003,1;28;8,6;4,9;
2013-12-31;2;16,8;1003,8;28;9,5;4,8;
2014-01-31;13;71,8;1004,8;27;8,5;3,7;
