Nome: PARANATINGA
Codigo Estacao: A915
Latitude: -14.42138888
Longitude: -54.0361111
Altitude: 476.91
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;null;null;null;null;null;null;
2010-03-31;null;null;null;null;null;null;
2010-04-30;null;null;null;null;null;null;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;null;null;null;null;null;null;
2010-08-31;null;null;null;null;null;null;
2010-09-30;2;6,8;956,8;27,6;9;2,1;
2010-10-31;15;110,6;956,4;27,2;11,9;2,2;
2010-11-30;26;421,2;955,6;24,7;7,5;1,9;
2010-12-31;20;301,6;954,6;24,6;8,9;1,9;
2011-01-31;22;303,2;955,6;24,1;10,2;1,8;
2011-02-28;23;276,2;956,8;24,4;8,6;1,9;
2011-03-31;24;393,2;956,1;24,2;8,9;1,6;
2011-04-30;12;66;957,7;24,9;6,6;1,4;
2011-05-31;2;10,6;959;23,7;6,2;1,6;
2011-06-30;2;13,8;960;22,6;7,7;1,7;
2011-07-31;0;0;959,7;23,3;7,5;1,8;
2011-08-31;null;null;null;null;null;null;
2011-09-30;4;null;null;null;null;null;
2011-10-31;16;119,6;956,1;25,5;10,3;2;
2011-11-30;18;230,8;956,1;24,7;9,6;2;
2011-12-31;27;283,6;956,2;24,2;11,1;1,8;
2012-01-31;27;299;956,9;23,8;7,6;2;
2012-02-29;23;151,8;957,2;24,1;7;1,6;
2012-03-31;14;182,8;957,9;24,6;7,6;1,5;
2012-04-30;15;110,6;957,7;25,3;10,1;1,4;
2012-05-31;13;41,8;959,5;23,6;13;1,5;
2012-06-30;5;51;960,4;23,3;7,3;1,5;
2012-07-31;4;1,6;960,5;23;6,8;1,7;
2012-08-31;3;1,8;960,8;25;7,6;2,2;
2012-09-30;8;72,2;958,9;26,5;8,9;1,9;
2012-10-31;14;78,2;956,5;26,8;9,9;1,9;
2012-11-30;21;282,2;955,8;24,8;10,4;1,9;
2012-12-31;22;173,4;956,3;25,2;10,5;1,8;
2013-01-31;27;358;956,9;24,2;7;1,8;
2013-02-28;20;231,2;957,3;24,3;7,5;1,6;
