Nome: VILA BELA DA SANTISSIMA TRINDADE
Codigo Estacao: A922
Latitude: -15.06277777
Longitude: -59.87305554
Altitude: 213
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;null;null;null;null;null;null;
2010-02-28;7;null;null;null;null;null;
2010-03-31;20;174,2;985,6;26,6;4,3;1,2;
2010-04-30;9;null;987,3;25,6;5,6;1,2;
2010-05-31;null;null;null;null;null;null;
2010-06-30;null;null;null;null;null;null;
2010-07-31;2;11,4;990,2;21,5;4;,4;
2010-08-31;null;0;989,2;23,2;3,5;0;
2010-09-30;5;17;985,8;27,2;5;,1;
2010-10-31;9;157,2;985,7;26,6;2,9;0;
2010-11-30;13;157,8;984,4;25,6;4,8;,4;
2010-12-31;10;111;983;26,2;6;1,5;
2011-01-31;22;null;983,4;25,1;6,3;,9;
2011-02-28;null;null;null;null;null;null;
2011-03-31;3;null;null;null;null;null;
2011-04-30;14;90,2;986,6;26;5,7;1,1;
2011-05-31;6;21,6;989;23,5;5,7;,8;
2011-06-30;3;8,8;989;23,1;4,5;,8;
2011-07-31;2;1,4;988,7;23,7;5,9;1,1;
2011-08-31;3;4,6;988,8;24,5;5,9;1;
2011-09-30;6;62,4;987,8;26,8;5,2;,8;
2011-10-31;9;59,6;984,6;26,9;4,4;0;
2011-11-30;14;239,8;984,2;26,8;4,9;,1;
2011-12-31;17;162,6;984,7;26,2;3,3;,1;
2012-01-31;2;null;null;null;4,6;null;
2012-02-29;null;null;null;null;4,9;null;
2012-03-31;5;null;null;null;4,2;null;
2012-04-30;13;47,8;986,9;25,6;4,9;,3;
2012-05-31;10;41,6;988,5;24,3;4;,1;
