Nome: RIO BRANCO
Codigo Estacao: A104
Latitude: -9.95920402
Longitude: -67.86898266
Altitude: 163
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;27;255,8;984,1;25,5;7,5;1,7;
2010-02-28;19;190,4;983,7;25,9;7,2;1,3;
2010-03-31;26;188,8;984,4;25,7;8,1;1,1;
2010-04-30;11;83;985,5;25,9;6,5;1,2;
2010-05-31;9;13,4;986,6;24,3;7,8;1,2;
2010-06-30;3;21,2;987,9;25,2;6,6;1,1;
2010-07-31;6;10,4;987,9;23,9;7;1,6;
2010-08-31;4;6,4;986,9;26,3;7,7;1,6;
2010-09-30;4;7,2;984,5;27,7;7,9;2;
2010-10-31;13;99;984,2;26,5;8,3;1,7;
2010-11-30;21;134,8;982,9;25,6;9,3;1,6;
2010-12-31;20;138,8;982,3;25,2;7;1,8;
2011-01-31;23;176,2;982,9;24,9;6,5;1,6;
2011-02-28;21;277;984,1;24,6;6,7;1,4;
2011-03-31;22;167,6;983,9;24,7;5,6;1,1;
2011-04-30;25;238,4;984,9;25;6,4;1;
2011-05-31;8;41,2;986,4;24,4;7,3;1,2;
2011-06-30;9;28,8;986,8;24,8;6,9;1,1;
2011-07-31;1;4;986,5;25,2;8,2;1,7;
2011-08-31;5;21;986,8;25,5;10,9;1,5;
2011-09-30;8;146,4;986,4;26,5;6,7;1;
2011-10-31;18;157,8;983,3;25,4;7,4;,8;
2011-11-30;16;222,2;983;26,1;7,2;,9;
2011-12-31;23;223,2;983,6;25,2;9,2;,8;
2012-01-31;27;521,6;984,3;24,5;7,2;,6;
2012-02-29;27;535,4;984,2;24,3;5,2;,4;
2012-03-31;24;260,2;985,5;24,7;5,8;,3;
2012-04-30;18;80,8;985,2;25,2;7,3;,3;
2012-05-31;2;20,4;986,5;24,8;6,3;,1;
2012-06-30;10;108,2;987,8;24,3;8;,2;
2012-07-31;3;30,6;988,1;24,2;6,2;,6;
2012-08-31;5;16,2;987,7;25,7;7,8;1,8;
2012-09-30;6;59,2;986,5;26,7;10,1;1,9;
2012-10-31;15;278,6;984,4;26;8,4;1,7;
2012-11-30;21;281,2;983,4;25,8;7,4;1,8;
2012-12-31;24;230,6;983,6;25,1;6,2;1,8;
2013-01-31;23;370,8;985;25,4;7,6;1,8;
2013-02-28;22;282,2;984,5;25,3;5,6;1,8;
2013-03-31;24;257,2;985,3;25,1;5,9;1,7;
2013-04-30;12;63,4;986,1;25,4;7;1,9;
2013-05-31;17;81,2;986,8;24,7;5,7;1,5;
2013-06-30;16;33,8;987,1;25,2;5,8;1,2;
2013-07-31;null;null;988,8;24;6,4;1,5;
2013-08-31;8;71,8;987,5;24,3;7,5;2;
2013-09-30;9;null;986,2;26;8,6;2;
2013-10-31;17;140,8;985;25,4;7,9;1,3;
2013-11-30;22;233,8;983,1;25,4;7,4;1,6;
2013-12-31;22;244,4;983,8;25,5;6,3;2;
2014-01-31;26;391,2;984,9;24,9;5,5;1,8;
2014-02-28;23;250,4;984,6;24,9;6,5;1,7;
2014-03-31;26;312,8;985,5;24,8;6,7;1,5;
2014-04-30;18;155,8;988,1;25;5,2;,8;
