Nome: BRASNORTE (NOVO MUNDO)
Codigo Estacao: A927
Latitude: -12.52194443
Longitude: -58.23138888
Altitude: 426.2
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;26;329,8;961,9;24,1;8,1;1,9;
2010-02-28;24;345;961,7;24,7;9,9;2;
2010-03-31;26;343,2;962,1;25;7,3;1,6;
2010-04-30;8;94,4;963;25,3;6,9;1,4;
2010-05-31;6;26,2;963,9;24,4;5,9;,8;
2010-06-30;0;0;965,6;24,8;4,2;,1;
2010-07-31;1;,2;965,1;24;7,9;,3;
2010-08-31;3;2,8;964,6;25,8;7,5;,9;
2010-09-30;0;0;961,7;28,3;7,3;2,9;
2010-10-31;8;null;null;26,8;9,3;null;
2010-11-30;null;null;null;null;null;null;
2010-12-31;null;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;1;null;null;null;null;null;
2011-04-30;13;183;962,5;24,9;0;0;
2011-05-31;1;,2;963,8;24,4;0;0;
2011-06-30;1;,8;964,5;24,5;0;0;
2011-07-31;1;1;964,2;25,1;0;0;
2011-08-31;null;null;null;null;null;null;
2011-09-30;null;null;null;null;null;null;
2011-10-31;null;null;null;null;null;null;
2011-11-30;17;null;960,5;25;12,7;2,3;
2011-12-31;28;358;960,9;24,3;6,8;2;
2012-01-31;28;293,6;961,2;23,6;6,4;2,4;
2012-02-29;22;280,4;961,5;23,8;8,9;2,3;
2012-03-31;25;311;962,6;24,2;7,8;2;
2012-04-30;22;116,4;962,4;24,7;5,9;1,7;
2012-05-31;6;18,2;963,8;24,2;6,3;2,2;
2012-06-30;4;35,6;964,9;24,2;6,1;2,2;
2012-07-31;0;0;965,1;24,3;6,6;2,5;
2012-08-31;null;0;965,1;26,4;7,6;3,1;
2012-09-30;null;null;null;null;7,1;null;
2012-10-31;13;72,8;961,6;26,3;13,7;2,5;
2012-11-30;23;295,4;960,7;24,7;9;2,1;
2012-12-31;23;232,4;960,7;24,8;10,2;2,2;
2013-01-31;26;262,2;961,7;24,5;8,8;2,2;
2013-02-28;null;null;961,6;24,1;7,5;2,3;
2013-03-31;null;null;962,1;24,8;6,4;1,9;
2013-04-30;19;68,6;963,3;24,1;6,3;2,1;
2013-05-31;4;17,6;963,8;24,6;6,5;2,1;
2013-06-30;5;29,6;964,2;25,2;5,9;2,2;
2013-07-31;3;6,2;965,6;24,4;8,2;2,9;
2013-08-31;1;1,8;964,4;25,3;9,7;3,3;
2013-09-30;6;38,8;963,3;26,5;11,2;2,7;
2013-10-31;14;209,8;962,6;25,2;9,6;2,3;
2013-11-30;20;292;960,8;24,3;8,6;2,4;
2013-12-31;27;426,4;960,9;24,3;8,9;2,4;
2014-01-31;27;304,4;962,7;23,8;9,9;2,3;
2014-02-28;23;305;961,6;23,9;8,3;2,1;
2014-03-31;13;null;961,9;24,4;7,6;2;
2014-04-30;null;null;null;null;null;null;
2014-05-31;null;null;null;null;null;null;
2014-06-30;null;null;null;null;null;null;
2014-07-31;null;null;null;null;null;null;
2014-08-31;null;null;null;null;null;null;
2014-09-30;null;null;null;null;null;null;
2014-10-31;null;null;null;null;null;null;
2014-11-30;null;null;null;null;null;null;
2014-12-31;null;null;null;null;null;null;
2015-01-31;null;null;null;null;null;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;null;null;null;null;null;null;
2015-06-30;null;null;null;null;null;null;
2015-07-31;null;null;null;25,5;6,7;null;
2015-08-31;1;33,8;963,7;27,2;7,2;2,6;
2015-09-30;1;13;962,3;28,2;11,9;2,4;
2015-10-31;null;null;962,3;27,5;9,1;2,5;
2015-11-30;8;60;961,1;26,2;10,3;2,2;
2015-12-31;21;200,6;962,6;25,6;10,9;1,9;
2016-01-31;25;357,6;961,6;24,6;6,8;2,1;
2016-02-29;21;161,4;962,5;25,5;8,5;1,9;
2016-03-31;28;131,4;963,6;24,9;10,1;1,6;
2016-04-30;7;1,6;963;25,6;7,8;1,6;
2016-05-31;11;8,8;964,9;25,1;5,3;1,5;
2016-06-30;2;,8;966,4;24,2;5,5;1,7;
2016-07-31;0;0;965,2;25,6;7,2;2;
2016-08-31;4;3,2;964,2;26,4;7,8;2,1;
2016-09-30;8;6;964,3;25,3;8,5;2,2;
2016-10-31;5;75;961,9;25,9;8;2,3;
2016-11-30;14;182,8;961,1;25;8,1;1,9;
2016-12-31;28;151,2;961,7;24,1;7,5;2;
2017-01-31;null;null;962,4;24,3;7;1,5;
2017-02-28;null;null;962,2;23,7;9,4;1,7;
2017-03-31;null;null;962,4;24,8;9,1;1,4;
2017-04-30;null;null;963;24,9;5,1;1,6;
2017-05-31;13;25,8;963,6;25,2;5,8;1,4;
2017-06-30;2;,4;965;23,9;5,3;1,5;
2017-07-31;0;0;967,1;24;7,2;2,4;
2017-08-31;3;2,8;963,6;27,2;7;1,9;
2017-09-30;null;null;963,3;28,1;7,8;2,1;
2017-10-31;16;null;962;25,7;12,2;2,1;
2017-11-30;null;null;null;null;5,3;null;
2017-12-31;null;null;null;null;null;null;
2018-01-31;null;null;null;null;10,8;null;
2018-02-28;null;null;null;null;5,2;null;
2018-03-31;13;null;null;24,1;6,2;null;
2018-04-30;22;178,2;963,5;24,3;4,9;,8;
2018-05-31;5;28,6;964,6;24,3;6,3;,9;
2018-06-30;null;null;966,1;23;8,1;1,1;
