Nome: NOVA MARINGA
Codigo Estacao: A928
Latitude: -13.0386111
Longitude: -57.09222221
Altitude: 334.36
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;26;400,6;972,3;28,6;6,4;1,4;
2010-02-28;21;205,2;972,1;30,9;6,3;1,3;
2010-03-31;23;300,6;972,4;28,6;5,7;1,1;
2010-04-30;6;92,4;973,4;25,6;5,3;1,2;
2010-05-31;4;52,8;974,4;24,1;5,4;1,4;
2010-06-30;2;29,8;976,1;23,8;5,1;1;
2010-07-31;0;0;975,8;22,4;6,3;1,5;
2010-08-31;null;null;null;null;6,1;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;6;57,2;971,9;26,9;8,3;1,5;
2010-11-30;22;346,4;970,9;25,5;9;1,4;
2010-12-31;23;430,4;970,1;25,2;7,2;1,2;
2011-01-31;24;468,2;971,1;24,7;7,5;1,3;
2011-02-28;21;339,2;972,1;24,7;5,9;1,1;
2011-03-31;19;105,4;971,4;25,1;6,3;1,1;
2011-04-30;16;265;973;25,4;6,2;1;
2011-05-31;0;0;974,4;24,1;6,5;1,3;
2011-06-30;2;3,8;975,1;23,5;6,6;1,2;
2011-07-31;1;1;974,8;23,9;6,4;1,3;
2011-08-31;1;1,4;974,5;25,1;7,1;1,4;
2011-09-30;5;54,4;973,7;27,4;6,8;1,5;
2011-10-31;18;196,6;971,3;25,8;8,3;1,5;
2011-11-30;15;124;971,2;25,9;6,5;1,3;
2011-12-31;22;381;971,6;25,1;5,2;1,1;
2012-01-31;27;338;972,1;24,4;5,7;1,1;
2012-02-29;26;229,6;972,3;24,7;6;1,1;
2012-03-31;19;158,8;973,4;25;5,9;,9;
2012-04-30;9;99,4;973,1;25,5;6;,9;
2012-05-31;8;95,4;974,7;24,4;5,5;1,1;
2012-06-30;3;64,2;975,7;23,8;5,4;1,1;
2012-07-31;0;0;975,8;23,2;5,6;1,2;
2012-08-31;null;0;975,6;25,3;6,9;1,6;
2012-09-30;4;null;null;null;10;null;
2012-10-31;8;20,4;971,9;27,4;9,1;1,2;
2012-11-30;20;255,6;971,2;25,6;8,4;1;
2012-12-31;19;218,8;971,4;25,9;6,1;,9;
2013-01-31;26;256,2;972,3;25,3;5,1;,9;
2013-02-28;22;244;972,4;25;6,1;,8;
2013-03-31;22;321,2;972,8;25,6;5,1;,7;
2013-04-30;15;154,6;974,1;24,8;8,8;1;
2013-05-31;2;56,4;974,6;25;6,3;1,1;
2013-06-30;4;7,8;975;25,1;4,9;,9;
2013-07-31;4;3;976,3;23,6;5,4;1,4;
2013-08-31;1;1;975,1;24,2;6,8;1,6;
2013-09-30;4;36;973,7;26,8;7,3;1,4;
2013-10-31;15;143,4;973;26,1;7;1,2;
2013-11-30;20;303,8;971,4;25,3;6,7;1,1;
2013-12-31;26;528;971,6;25;5,3;1,2;
2014-01-31;23;179,2;973,5;24,7;7,6;1,1;
2014-02-28;21;514,6;972,4;24,7;5,8;1,1;
2014-03-31;21;214,6;972,9;25,2;8,5;1;
2014-04-30;17;61,4;973,8;25,6;7,5;1,1;
2014-05-31;8;66,4;974,4;24,7;5,6;1,2;
2014-06-30;1;,2;975,4;24,4;5,9;1,3;
2014-07-31;2;2,8;977;23,8;7,4;1,4;
2014-08-31;3;4,2;975,1;25,9;6,4;1,3;
2014-09-30;7;72,8;973,4;27,3;6,4;1,2;
2014-10-31;11;132,2;972,7;27,6;6,5;1,1;
2014-11-30;15;305;971,9;26,3;7,5;,8;
2014-12-31;23;344;972,4;25,1;6,5;,6;
2015-01-31;17;223,8;974;25,3;6,2;,7;
2015-02-28;19;237;973,4;24,8;11,3;1,1;
2015-03-31;24;235,8;973,2;25,2;6,5;,6;
2015-04-30;18;181,6;973,8;25,5;5,6;,7;
2015-05-31;10;23,6;974,9;25;4,9;,7;
2015-06-30;4;12;976,3;24,3;5,7;,6;
2015-07-31;0;0;975,9;24,2;5,7;1,1;
2015-08-31;2;24,2;974,3;25,8;6,5;1,2;
2015-09-30;5;63,2;972,8;27,8;6;1,1;
2015-10-31;4;95,4;972,8;27,6;9;1,2;
2015-11-30;12;116,6;971,6;26,9;6,6;,8;
2015-12-31;21;95,8;973,1;26,8;6,7;,6;
2016-01-31;23;351;972,1;25,4;8;,8;
2016-02-29;22;246,8;973,2;26,2;7,6;,8;
2016-03-31;24;424;974,2;25,7;7,2;,7;
2016-04-30;7;81,6;973,6;26,1;8;1,1;
2016-05-31;1;7,4;975,6;25,3;5,2;1,1;
2016-06-30;2;4;977,2;23,6;4,5;,9;
2016-07-31;0;0;976;23,5;6,7;1;
2016-08-31;null;null;null;25,3;5,5;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;7;null;null;26,4;9,6;null;
2016-11-30;17;102,8;971,6;25,9;5,4;,4;
2016-12-31;26;294,2;972,4;24,7;5,9;,2;
2017-01-31;25;366;973,1;25;5;,8;
2017-02-28;22;366,2;972,8;24,7;10,4;,3;
2017-03-31;24;336;973,1;25,3;7,9;,1;
2017-04-30;13;53,2;973,7;25,7;5,6;,3;
2017-05-31;14;65,6;974,3;25,6;3,7;,2;
2017-06-30;3;1,4;975,8;23,3;5,8;,5;
2017-07-31;0;0;978;22,5;6;,8;
2017-08-31;null;null;974,2;25,9;5,7;,4;
2017-09-30;2;23,8;973,7;26,8;5,8;,3;
2017-10-31;10;120,4;972,2;26,3;7,8;,2;
2017-11-30;21;232,6;971,2;25,8;5,6;,1;
2017-12-31;23;288,8;971,7;25;5,1;,2;
2018-01-31;27;261;972,5;25;7;,1;
2018-02-28;25;403,4;972;25,1;3,7;,1;
2018-03-31;25;254,4;972,6;25,6;5,1;,1;
2018-04-30;22;180,8;974,2;24,9;3,6;,1;
2018-05-31;5;22,2;975,3;24,1;9;,1;
2018-06-30;2;9;977;22,3;4,4;,2;
2018-07-31;0;0;976,3;22,6;4,7;,3;
2018-08-31;2;7;975,7;24,8;4,7;,2;
2018-09-30;8;77,8;972,9;25,5;9,2;,3;
2018-10-31;20;339;972,3;26,1;7,1;,1;
2018-11-30;23;268,2;971,6;25,5;6;,1;
2018-12-31;21;218,8;973,3;25,3;7,4;,1;
2019-01-31;21;195,8;974,1;25,5;7,9;,1;
