Nome: GAUCHA DO NORTE
Codigo Estacao: A930
Latitude: -13.18472221
Longitude: -53.2575
Altitude: 375.87
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;24;379,4;968;24,8;5,8;1,4;
2010-02-28;21;188,6;967,7;25,7;6,4;1,1;
2010-03-31;20;312;967,9;25,5;5,8;1,2;
2010-04-30;7;59,2;968,6;26,4;5,2;1,1;
2010-05-31;0;0;969,2;25,7;5,8;1,2;
2010-06-30;0;0;971,5;24,7;5;1,1;
2010-07-31;2;3;971;24,2;5,8;1,2;
2010-08-31;null;0;970,5;24,8;5,8;1,3;
2010-09-30;1;30,4;967,6;27,5;8,3;1,3;
2010-10-31;12;118,8;967,1;27,3;10,5;1,5;
2010-11-30;21;222,8;966,4;25,4;6,4;1,3;
2010-12-31;20;314,6;965,5;25,1;5,5;1,2;
2011-01-31;8;null;null;null;6,4;null;
2011-02-28;null;null;null;null;5,4;null;
2011-03-31;null;null;null;null;4,3;null;
2011-04-30;1;null;null;null;3,1;null;
2011-05-31;1;4,4;969,4;25,3;5,6;1,2;
2011-06-30;2;4,2;970,6;24,3;5,2;1;
2011-07-31;0;0;970,4;24,9;5,8;1;
2011-08-31;0;0;969,6;26,6;5,8;1,1;
2011-09-30;3;42,6;969;27,9;5,7;1,3;
2011-10-31;16;183,6;966,9;26;5;1,1;
2011-11-30;21;141;967,1;25;4,4;1;
2011-12-31;27;171;967,2;24,8;6,2;1;
2012-01-31;null;null;968;24,3;6,2;1;
2012-02-29;null;null;968,1;24,9;6;1;
2012-03-31;null;null;968,5;25,4;5,8;1;
2012-04-30;null;null;968,3;26,5;6,2;,9;
2012-05-31;4;26,6;970;25,2;4,6;1;
2012-06-30;2;1,8;970,9;25,4;6;1,1;
2012-07-31;0;0;971;24,8;4,8;1,3;
2012-08-31;null;0;971,4;26,1;5,9;1,5;
2012-09-30;6;13,8;969,6;27,7;6;1,3;
2012-10-31;12;157;967,2;27,7;7;1,3;
2012-11-30;21;392;966,8;25,2;8,4;1,2;
2012-12-31;14;156;967,1;26;7;1,1;
2013-01-31;28;553,6;968;24,7;4,6;1,1;
2013-02-28;18;402;968;25,3;6,4;,9;
2013-03-31;20;443;968,3;25,8;6,8;,9;
2013-04-30;11;67,8;969,3;26;4,6;,9;
2013-05-31;1;30;969,9;26,3;5,3;,8;
2013-06-30;4;35,4;970,6;25,6;5,1;,8;
2013-07-31;0;0;971,5;25,3;4,9;1,2;
2013-08-31;1;,2;970,1;26;7,1;1,5;
2013-09-30;5;30,8;968,9;27,7;5,6;1,5;
2013-10-31;17;168,4;968,3;26,6;5;1,5;
2013-11-30;24;226,6;967;25,3;7,8;1,1;
2013-12-31;23;184,4;966,9;25,3;6,5;1,3;
2014-01-31;16;120,8;969;25,1;7;,8;
2014-02-28;19;232;967,9;24,9;5,5;1;
2014-03-31;21;262;968,5;25,5;5;1;
2014-04-30;10;null;null;26,2;7;null;
2014-05-31;3;null;null;26,2;3,9;null;
2014-06-30;2;,6;970,9;25,4;4,9;1;
2014-07-31;1;1;972,5;25,3;5,9;1,1;
2014-08-31;2;1,4;970,6;26,9;5,3;1;
2014-09-30;13;11;968,8;28;5,2;,9;
2014-10-31;null;null;968,3;27,7;9,8;1,1;
2014-11-30;null;null;967,5;26,3;7,5;,9;
2014-12-31;null;null;968,1;24,9;5,4;,9;
2015-01-31;null;0;969,3;25,8;10,2;,9;
2015-02-28;null;null;969;25,1;4,7;1,1;
2015-03-31;null;null;968,8;25,2;5,1;,8;
2015-04-30;null;null;969,2;25,8;5,9;,7;
2015-05-31;null;null;970,5;25,6;4,5;,9;
2015-06-30;null;null;971,9;25,7;5,2;1;
2015-07-31;2;2,6;971,4;25,7;4,9;1,1;
2015-08-31;0;0;970,2;27,1;5,6;1;
2015-09-30;5;3,4;968,1;29;5,2;1,3;
2015-10-31;null;null;967,9;28,7;6,8;1,5;
2015-11-30;null;null;967,1;27,7;6,9;1,1;
2015-12-31;null;null;968,6;27,3;8,3;1;
2016-01-31;null;null;967,8;25,2;4,8;1;
2016-02-29;null;null;968,7;27,1;5,2;1;
2016-03-31;19;231;969,5;26,6;5,3;1;
2016-04-30;7;52,2;968,8;27,6;5,7;1,1;
2016-05-31;1;7,6;970,6;27,5;4,9;1,1;
2016-06-30;0;0;972,2;26,1;4,8;1,1;
2016-07-31;0;0;971,4;26,1;5,5;,7;
2016-08-31;2;null;null;27,2;3,1;null;
2016-09-30;null;null;null;null;null;null;
2016-10-31;6;null;null;28,2;4,5;null;
2016-11-30;19;218,6;966,9;26,4;4,1;,5;
2016-12-31;23;343,8;968;25,2;5,1;,7;
2017-01-31;23;260,8;968,4;25,6;5,3;,6;
2017-02-28;21;258,6;968,4;25,1;4,8;,9;
2017-03-31;24;158,8;968,5;25,9;5,4;,8;
2017-04-30;13;167,2;968,9;26,6;4,8;,9;
2017-05-31;4;15,6;969,7;27;3,8;,7;
2017-06-30;null;null;971,2;25,9;4,6;,9;
2017-07-31;null;0;973,7;24,3;5,2;1,3;
2017-08-31;0;0;969,7;27,5;5,4;1;
2017-09-30;2;7,4;969,3;28,8;5,4;1,3;
2017-10-31;9;84,6;967,2;28;6,3;1,3;
2017-11-30;18;235,6;966,8;26,1;6,2;,9;
2017-12-31;27;350,8;967,4;25,2;6,5;,7;
2018-01-31;20;118,2;968,1;25,7;5,5;,9;
2018-02-28;19;331,4;967,6;25;4,8;,4;
2018-03-31;18;130;968,1;26,1;5,1;,9;
2018-04-30;16;71,4;969,7;25,9;4,8;,7;
2018-05-31;3;20;970,7;25,9;5,9;,9;
2018-06-30;0;0;971,9;25,4;4,6;1,3;
2018-07-31;0;0;971,6;25,4;4,9;1,2;
2018-08-31;2;21;970,7;27,4;6,7;1,3;
2018-09-30;1;null;968,3;27,9;6;1,3;
2018-10-31;null;null;null;null;4;null;
2018-11-30;null;null;null;null;3;null;
2018-12-31;null;null;null;null;null;null;
2019-01-31;null;null;null;null;null;null;
2019-02-28;8;null;null;null;null;null;
2019-03-31;26;282,8;969,1;25,7;5;,1;
2019-04-30;17;137,8;969;26,2;5,9;,7;
2019-05-31;3;10;969,5;27;4,7;1,3;
2019-06-30;0;0;972;25,7;4,6;,4;
2019-07-31;0;0;971,8;25,4;0;0;
2019-08-31;null;0;971,8;27;4,5;,3;
2019-09-30;2;11,2;968,6;29,2;5,5;,6;
2019-10-31;15;196;968,1;27,1;6,9;1,4;
2019-11-30;14;199;967,2;26,6;5,8;1,4;
2019-12-31;19;142,2;967,7;26,6;4,9;,4;
2020-01-31;20;279,6;968,1;26,1;4,2;1,1;
2020-02-29;17;197,8;968,8;25,8;6,6;1,3;
2020-03-31;22;242,2;968,4;25,9;6,1;1,1;
2020-04-30;13;187,8;969,9;26,4;6;1,3;
2020-05-31;1;null;null;26,1;4,7;null;
2020-06-30;null;null;null;null;5,4;null;
2020-07-31;null;null;null;null;4,9;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;5,5;null;
2020-10-31;null;null;null;null;5;null;
2020-11-30;null;null;null;null;4,7;null;
2020-12-31;null;null;null;null;4,3;null;
2021-01-31;null;null;null;null;4,2;null;
2021-02-28;null;null;null;null;6;null;
2021-03-31;null;null;null;null;3,4;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;6;null;null;26,3;7;null;
2022-04-30;8;44;968,4;27,1;5,4;,8;
2022-05-31;1;1;970,9;25,2;6,2;1,1;
2022-06-30;1;,2;970,5;25,7;5,2;1,1;
2022-07-31;0;0;971,1;25,8;5,3;,9;
2022-08-31;0;0;970,2;26,8;6,7;1,3;
2022-09-30;3;11,6;968,6;28,5;5,1;,7;
2022-10-31;12;132,2;967,7;27,6;7,6;1,4;
2022-11-30;13;null;967,5;26,3;6,2;1,5;
2022-12-31;25;null;967;24,9;5,3;1,5;
2023-01-31;24;null;968,6;24,9;5,5;1,1;
2023-02-28;null;null;968,6;26,1;7,5;1,1;
2023-03-31;null;null;968,9;25,2;6,9;1,1;
2023-04-30;null;null;968,6;26,1;7,1;,9;
2023-05-31;null;null;970,4;26,4;5,6;1,2;
2023-06-30;null;null;972;25,6;4,3;1,3;
2023-07-31;null;null;971,9;26,1;5,1;1;
2023-08-31;null;null;969,8;28,2;5,6;1,1;
2023-09-30;null;null;968,4;30,1;5,3;1,4;
2023-10-31;null;null;967,2;29,4;6,8;1,6;
2023-11-30;null;null;967,3;28,4;7,8;1,3;
2023-12-31;null;null;967,6;27,7;7,3;1,4;
2024-01-31;null;null;968,5;26,5;5,6;1,4;
2024-02-29;null;null;969,3;26,4;5,5;1,3;
2024-03-31;null;null;968,7;27,1;5,6;1,4;
2024-04-30;null;null;968,6;27,3;7,5;1,2;
2024-05-31;null;null;970,1;27,2;4,5;1,5;
2024-06-30;null;null;971,5;26,2;4,9;1,4;
2024-07-31;null;null;null;null;null;null;

