Nome: SANTO ANTONIO DO LESTE
Codigo Estacao: A931
Latitude: -14.92499999
Longitude: -53.88444444
Altitude: 662
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;14;121,2;936,8;23,7;10,2;2,5;
2010-02-28;0;0;936,8;24,5;8;1,9;
2010-03-31;15;200,6;936,8;24,7;7,2;1,6;
2010-04-30;5;38,2;938,2;23,8;7,7;1,3;
2010-05-31;0;0;938,9;22,4;8,5;2,2;
2010-06-30;3;12;940,9;23,1;7,2;2;
2010-07-31;1;,8;940,4;22,3;10,4;3;
2010-08-31;null;0;939,9;24,1;10;3;
2010-09-30;0;0;937;27,7;11,9;3,1;
2010-10-31;17;137;936,4;25,9;10,5;2,6;
2010-11-30;26;266;935,4;23,8;11;2,4;
2010-12-31;18;288,4;934,4;23,8;9,9;2,3;
2011-01-31;26;305,8;935,3;23,2;9;2;
2011-02-28;21;232,6;936,5;23,3;9,8;2;
2011-03-31;21;309,8;935,8;23,5;7,5;2,2;
2011-04-30;8;76;937,6;24,4;7,6;1,9;
2011-05-31;1;,2;939;22,4;7,3;2,3;
2011-06-30;1;6,6;939,8;22;9,4;2,4;
2011-07-31;0;0;939,6;23,1;8,7;3;
2011-08-31;0;0;939,1;25,1;9,9;3,3;
2011-09-30;3;23,8;938,7;26,9;10,5;3,5;
2011-10-31;15;119,2;936;24,7;9,5;2,9;
2011-11-30;18;216,4;935,9;23,9;10,7;2,7;
2011-12-31;26;126,4;935,9;23,5;10,3;2,3;
2012-01-31;30;184,4;936,5;22,9;7,9;2,7;
2012-02-29;5;null;null;23,5;10,8;null;
2012-03-31;null;null;null;23,7;8,5;null;
2012-04-30;null;null;null;null;6,5;null;
2012-05-31;9;null;null;22,4;6,6;null;
2012-06-30;4;10,4;940,2;22,6;6,6;2;
2012-07-31;0;0;940,4;22,4;8,1;2,6;
2012-08-31;null;0;940,8;24;10,3;3,6;
2012-09-30;7;55,8;938,9;26,6;11,6;2,7;
2012-10-31;11;60,8;936,5;25,8;12,5;2,3;
2012-11-30;24;173,6;935,5;23,8;12,3;1,9;
2012-12-31;23;188,8;936,1;24,5;8,1;2;
2013-01-31;28;232,2;936,5;23,4;7,1;1,5;
2013-02-28;null;null;937,1;23,5;8,3;,4;
2013-03-31;null;null;937,2;24,2;7,6;,2;
2013-04-30;17;36,4;938,6;23;8,4;,1;
2013-05-31;2;null;939,2;23,1;5,6;,3;
2013-06-30;null;null;939,9;23,3;6,4;,1;
2013-07-31;2;5,8;941;22,2;8,2;2,5;
2013-08-31;0;0;939,8;23,1;10,5;3,5;
2013-09-30;5;27,8;938,3;25,6;9,7;3;
2013-10-31;19;134,2;937,5;24,6;7,9;2,5;
2013-11-30;18;135,6;935,9;24;8;2,4;
2013-12-31;26;220,2;935,6;23,5;9;2,2;
2014-01-31;26;223,8;938,1;23,1;8,6;1,8;
2014-02-28;21;232,8;936,8;23,2;12,6;2,1;
2014-03-31;24;132,8;937,5;24;9,5;1,9;
2014-04-30;14;70,4;938,3;23,9;6,2;1,7;
2014-05-31;5;36,4;939,1;22,7;6,6;2,2;
2014-06-30;4;21,2;940,2;22,7;6,9;2,3;
2014-07-31;4;15,8;941,8;22,6;9,3;2,9;
2014-08-31;0;0;940;25,2;8;2,9;
2014-09-30;12;93,8;938,1;26,2;9,9;2,4;
2014-10-31;null;null;937,5;26,5;15,9;2,6;
2014-11-30;null;null;936,5;24,7;9,3;2;
2014-12-31;null;null;936,9;23,4;15,5;1,8;
2015-01-31;null;0;938,4;23,9;9,3;1,8;
2015-02-28;null;null;937,7;23,6;8,3;2,1;
2015-03-31;null;null;937,7;23,7;7,8;1,8;
2015-04-30;null;null;938,3;23,8;6,5;1,5;
2015-05-31;null;null;939,7;22,8;8,2;1,9;
2015-06-30;null;null;941,3;22,8;6,8;2,5;
2015-07-31;5;7,8;940,7;23,2;9,4;2,6;
2015-08-31;1;1,2;939,6;25,3;11,2;2,9;
2015-09-30;5;21,4;937,6;27,2;11;2,6;
2015-10-31;9;55,6;937,3;26,7;11,5;2,8;
2015-11-30;16;81,4;936,3;25,6;9,7;2,3;
2015-12-31;21;33,4;937,9;25;9,5;2;
2016-01-31;25;70;936,3;23,9;7,4;2,3;
2016-02-29;11;5,4;938;25;8,5;2;
2016-03-31;9;4,4;938,6;24,7;8,4;2,2;
2016-04-30;5;12,2;938,3;25,2;9,3;2,6;
2016-05-31;1;,2;940,2;23,8;6,7;2,4;
2016-06-30;0;0;941,7;22,2;7;2,7;
2016-07-31;0;0;940,7;23,5;9,3;3,1;
2016-08-31;5;2,4;939,6;24,4;12;3,2;
2016-09-30;null;null;939;25;9,7;3,8;
2016-10-31;null;null;937;25;11,2;2,8;
2016-11-30;null;null;936,2;23,7;11,4;2,9;
2016-12-31;null;null;936,9;23,5;15,9;2,5;
2017-01-31;null;null;937,4;23,6;9,4;2,5;
2017-02-28;null;null;937,1;23,7;10,9;2,6;
2017-03-31;null;null;937,6;24,2;7,1;2,1;
2017-04-30;null;null;938,2;24,1;6;2,3;
2017-05-31;null;null;null;null;null;null;
2017-06-30;null;null;null;null;8,3;null;
2017-07-31;null;null;null;null;10,6;null;
2017-08-31;null;null;null;null;10,4;null;
2017-09-30;null;null;null;null;11,7;null;
2017-10-31;4;null;null;null;11,4;null;
2017-11-30;21;149,2;935,7;24,2;11,3;2,8;
2017-12-31;25;329,8;936,2;23,7;8,4;2,7;
2018-01-31;15;146;937;24,1;9,9;2,5;
2018-02-28;19;225;936,4;23,8;7,6;2,3;
2018-03-31;19;212,2;937,1;24,3;8,3;1,9;
2018-04-30;15;54,4;938,9;23;7;1,9;
2018-05-31;5;63,6;940,1;22,2;7;2,3;
2018-06-30;0;0;941,3;21,9;6,9;3;
2018-07-31;0;0;940,9;22,6;9,8;2,7;
2018-08-31;5;13,6;940,3;24;9,1;3,1;
2018-09-30;4;22,2;937,5;25;12,8;2,8;
2018-10-31;null;null;937;24,7;8,8;2,4;
2018-11-30;21;232,2;936,2;23,8;7,2;2,4;
2018-12-31;19;60;937,6;24,1;7;2,3;
2019-01-31;22;166,2;938,8;24,5;9,3;2,4;
2019-02-28;22;159,6;937,6;24,4;7,6;2,1;
2019-03-31;27;59,2;938,3;24,1;6,8;2,2;
2019-04-30;null;null;938,3;24,2;8;1,4;
2019-05-31;null;null;939;23,5;7,5;2,1;
2019-06-30;null;0;941,2;23,1;7,6;2,3;
2019-07-31;1;,2;941;22,6;7,8;2,3;
2019-08-31;0;0;941,2;25,1;10,3;3;
2019-09-30;0;0;938;27,9;10,6;2,6;
2019-10-31;null;null;937,2;25,2;10,7;2,3;
2019-11-30;null;null;936,2;24,3;15,9;2;
2019-12-31;null;null;936,7;24,2;7,8;1,6;
2020-01-31;null;null;936,8;24,7;7;2,1;
2020-02-29;null;null;937,6;24,1;6,8;1,9;
2020-03-31;null;null;937,3;24,4;7,8;1,6;
2020-04-30;null;null;939,1;24,2;6,2;1,4;
2020-05-31;3;null;940,5;21,9;7,4;1,7;
2020-06-30;null;0;940,5;23,3;6,1;1,5;
2020-07-31;null;null;940,2;23,5;7;1,8;
2020-08-31;null;null;null;null;7,4;null;
2020-09-30;null;null;null;null;7,2;null;
2020-10-31;null;null;null;null;4,9;null;
2020-11-30;null;null;null;null;7,9;null;
2020-12-31;null;null;null;null;8,5;null;
2021-01-31;null;null;null;null;null;null;
2021-02-28;null;null;null;null;null;null;
2021-03-31;null;null;null;null;null;null;
2021-04-30;null;null;null;null;null;null;
2021-05-31;null;null;null;null;null;null;
2021-06-30;null;null;null;null;null;null;
2021-07-31;null;null;null;null;null;null;
2021-08-31;null;null;null;null;null;null;
2021-09-30;null;null;null;null;null;null;
2021-10-31;null;null;null;null;null;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;10;null;null;24,3;7,5;null;
2022-04-30;14;26,6;937,8;24,7;5,4;1;
