Nome: AREIA
Codigo Estacao: A310
Latitude: -6.975451
Longitude: -35.718128
Altitude: 573.45
Situacao: Operante
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;20;129,8;947,6;23,1;7,5;3,7;
2010-02-28;16;44,8;947,2;23,9;8,6;4,2;
2010-03-31;15;98,4;947,2;24,7;11;3,6;
2010-04-30;20;140,2;947,1;23,8;7,4;3,9;
2010-05-31;17;54,6;947,8;23,3;7,3;3,9;
2010-06-30;22;199,8;949,8;22,1;8,7;4,3;
2010-07-31;21;143,8;950;20,8;8,7;5;
2010-08-31;24;109,6;950,7;20,2;9,4;5,1;
2010-09-30;19;62,2;949,6;21;9,5;5,5;
2010-10-31;7;16,4;948;23;9,8;4,3;
2010-11-30;11;3,4;946,7;23,4;9;4,8;
2010-12-31;10;66,2;945,6;23,5;7,5;4,1;
2011-01-31;18;140,6;945,9;23;7,4;3,8;
2011-02-28;16;50,2;946,6;23,4;7,7;4,1;
2011-03-31;21;86,6;946,4;23,8;6,8;3,2;
2011-04-30;25;285,2;946,7;22,8;7,8;3,7;
2011-05-31;26;459;947,6;21,9;8,6;4,1;
2011-06-30;23;188;949,2;21,1;8,4;4,4;
2011-07-31;26;367,6;949,6;20,1;10;4,7;
2011-08-31;21;156,8;950,4;20,4;8,2;4,7;
2011-09-30;17;21,8;950,6;20,8;10,1;5,5;
2011-10-31;17;15;947,5;22,2;8;4,6;
2011-11-30;17;49,8;947,4;22,7;7,2;4,6;
2011-12-31;6;30;947,5;23,1;8,3;4,5;
2012-01-31;16;179,4;947,7;22,6;7,7;4,3;
2012-02-29;12;149,6;947,2;22,5;8,6;4,5;
2012-03-31;15;34,6;947,7;23;7,6;4,6;
2012-04-30;9;33;947,4;23,4;7,8;4,1;
2012-05-31;20;110,4;948,8;22,6;8,1;4;
2012-06-30;21;310,2;950,1;21,1;6,9;3,9;
2012-07-31;25;172,2;950,2;20,3;7,7;4,5;
2012-08-31;18;30,8;951,3;20,2;8,5;5;
2012-09-30;7;7,8;950,9;21,3;8,3;4,9;
2012-10-31;11;16;948,6;21,9;8,2;5,1;
2012-11-30;2;1;947,2;23,2;7;3,7;
2012-12-31;6;6,2;946,9;23,7;6,7;4,2;
2013-01-31;11;43,2;947,7;23,9;7,7;4;
2013-02-28;13;62,4;947;24;7,9;4,8;
2013-03-31;14;52,6;947,4;24,2;9,1;4;
2013-04-30;18;196,8;947,7;23,8;7,4;3,4;
2013-05-31;23;114,4;948,6;22,5;7,4;3,6;
2013-06-30;25;228,8;949,4;21,3;6,8;3,6;
2013-07-31;17;null;950,4;20,6;8,7;3,9;
2013-08-31;21;127;949,9;20,6;8;4,5;
2013-09-30;23;65;950;21;9,3;4,7;
2013-10-31;11;40,6;949,1;22,1;7,2;4,4;
2013-11-30;14;50,2;947,3;22,4;7,4;4,2;
2013-12-31;13;66,6;947,4;23,2;7;3,6;
2014-01-31;14;35,2;947,9;23;8,6;4,3;
2014-02-28;18;154;947;22,6;7,5;3,6;
2014-03-31;22;75,4;947,6;23,3;7,1;3,5;
2014-04-30;14;46,8;947,7;23,9;7;3,2;
2014-05-31;21;118;948,1;22,5;7,1;3,5;
2014-06-30;23;152,4;949,6;21,4;8;4,3;
2014-07-31;23;159;951,7;20,7;8,6;4,2;
2014-08-31;18;92,6;951,1;20,4;8,5;4,4;
2014-09-30;15;208,2;950,3;21;7,6;4,5;
2014-10-31;26;80,6;949,4;21,7;8,2;4,7;
2014-11-30;18;41,6;948;22,6;6,7;3,6;
2014-12-31;19;36,2;948,3;22,9;7,2;3,9;
2015-01-31;9;null;null;22,9;7,4;null;
2015-02-28;null;null;null;null;null;null;
2015-03-31;null;null;null;null;null;null;
2015-04-30;null;null;null;null;null;null;
2015-05-31;16;null;949,3;23;7,3;3,7;
2015-06-30;27;165,2;950,6;21,2;8,4;3,6;
2015-07-31;28;371,4;950,8;20,4;8,3;4,2;
2015-08-31;23;68;950,8;20,5;7,8;4,7;
2015-09-30;15;28;950,2;21,6;7,8;4,4;
2015-10-31;9;25,8;949,7;22,3;8,8;4,6;
2015-11-30;5;5;948;23,4;7,6;3,9;
2015-12-31;13;89;949,1;23,3;7,2;3,9;
2016-01-31;17;180,4;948,2;23,1;7,7;2,6;
2016-02-29;15;48;948,4;23;6,7;3,8;
2016-03-31;14;128,4;948,6;23,2;7,4;3,9;
2016-04-30;22;217,4;948;22,6;8,8;4;
2016-05-31;21;221,2;949,8;21,7;7,5;3,6;
2016-06-30;16;70;951,1;21,4;7,9;3,9;
2016-07-31;15;38,2;950,9;21;9,5;4,6;
2016-08-31;12;25,6;950,9;21,5;9,4;4,6;
2016-09-30;9;29,6;950,5;22,1;8;4,9;
2016-10-31;6;18,4;948,6;23;8,5;5;
2016-11-30;3;2,6;947,8;23,6;8,6;4,7;
2016-12-31;16;165,8;947,6;23,5;7,9;4,2;
2017-01-31;10;27,6;947,8;23,3;7,1;4,2;
2017-02-28;12;40;947,4;23,7;7;4;
2017-03-31;20;88,8;947,4;23,4;6,6;3,5;
2017-04-30;null;null;947,8;23,3;6,9;3,8;
2017-05-31;9;46;948,8;22,2;7;3,4;
2017-06-30;20;105,2;949,8;21,2;8,3;4;
2017-07-31;3;20,4;951,7;19,4;9,4;5,2;
2017-08-31;1;7;950,7;20,4;7,8;4,3;
2017-09-30;null;null;950,8;20,6;9,3;5;
2017-10-31;8;50,6;948,9;21,9;8,2;4,9;
2017-11-30;6;4,8;947,6;22,9;8,5;3,9;
2017-12-31;1;null;null;null;6;null;
2018-01-31;null;null;null;null;7,3;null;
2018-02-28;1;null;null;null;7,8;null;
2018-03-31;null;null;null;null;6,2;null;
2018-04-30;20;190;948,3;22,3;6;3,1;
2018-05-31;23;106,6;949,1;21,8;7,7;3,9;
2018-06-30;23;103,8;950,7;20,9;7,8;3,9;
2018-07-31;17;83,2;950,9;20,6;8,7;4,5;
2018-08-31;10;18,6;951,3;21,3;8,1;4,6;
2018-09-30;12;20;949,4;21,8;8,2;4,9;
2018-10-31;8;15,2;948,4;23,1;8,7;4,3;
2018-11-30;6;7;947,7;23,7;7,7;4,8;
2018-12-31;9;35,8;948,3;23,8;8;4;
2019-01-31;12;38,4;948,7;24,1;7,7;4,4;
2019-02-28;15;215,4;947,7;23,7;6,5;3;
2019-03-31;17;175;948;23,5;6,7;3;
2019-04-30;21;132,4;947,9;23,3;6;2,8;
2019-05-31;18;104,4;948,3;23;6,3;3,1;
2019-06-30;17;173,6;950,6;21,5;7;3,8;
2019-07-31;24;279;950,7;20,5;7,4;3,7;
2019-08-31;21;121,6;952,1;20,3;8,8;4,5;
2019-09-30;16;55,4;950,4;21,2;7,8;4,4;
2019-10-31;10;58,8;948,7;22,2;7,9;4,5;
2019-11-30;4;1,2;947,3;23,4;7,1;4;
2019-12-31;6;5;947,5;23,9;7,7;4;
2020-01-31;11;19,2;947,8;24,5;5,8;3,2;
2020-02-29;14;24,6;947,8;24,8;7,3;3,4;
2020-03-31;19;186;947,5;24,2;6,3;2,3;
2020-04-30;17;148;948,3;23,7;6,4;2,8;
2020-05-31;23;152,2;949,3;22,7;8,5;2,9;
2020-06-30;21;156,6;949,8;21,4;7,8;3,7;
2020-07-31;19;190,4;950;20,5;7,8;3,9;
2020-08-31;13;24,8;950,3;20,9;8,4;4,6;
2020-09-30;11;78,8;950;21,4;7,4;4,4;
2020-10-31;8;28,2;948,6;22,9;7,4;3,9;
2020-11-30;12;49,2;947,8;23,3;7,2;3,9;
2020-12-31;11;8,6;947,9;23,5;7,8;3,9;
2021-01-31;8;6;947,3;23,8;7;3,2;
2021-02-28;10;64;947,2;24;6,7;2;
2021-03-31;17;106,2;947,3;23,5;5,9;1,8;
2021-04-30;21;164,4;947,6;23,1;6,9;1,6;
2021-05-31;21;161,2;949;21,8;7,4;1,8;
2021-06-30;15;49;949,7;21,5;7,2;1,8;
2021-07-31;19;101,2;951,1;21,1;7,5;2,8;
2021-08-31;23;138;950,7;20,6;9,1;4,2;
2021-09-30;11;16,6;949,9;22,4;7,3;4;
2021-10-31;15;34;948,4;23,4;7,8;3,8;
2021-11-30;7;4,2;947,2;24,4;7,4;3,3;
2021-12-31;17;109,2;946,8;24;7,5;3,3;
2022-01-31;17;68,2;947,7;23,7;6,2;2,9;
2022-02-28;12;53;947,2;24;6,1;2,9;
2022-03-31;19;371,8;946,7;23,6;6,9;1,9;
2022-04-30;16;139,2;947,2;23,1;5,7;1,6;
2022-05-31;23;299,4;948,9;22,2;6,8;2;
2022-06-30;22;238,4;949;21,1;7,4;1,8;
2022-07-31;22;313,4;950;20,4;7,8;3,8;
2022-08-31;16;78,4;950,4;20,3;8,3;3,5;
2022-09-30;8;45,4;949,9;21,2;7,4;3,7;
2022-10-31;7;18,2;948,8;22,6;7,7;3,8;
2022-11-30;9;43,6;947,5;23,1;6,5;1,6;
2022-12-31;9;25,8;947,4;23,5;6,7;1,8;
2023-01-31;16;115;948;23,2;6,3;2,2;
2023-02-28;12;112,2;947,8;23,7;6,4;2,7;
2023-03-31;13;131,6;947,8;23,2;null;1,1;
2023-04-30;21;104;947,3;23,2;null;0;
2023-05-31;16;139,6;948,9;22,9;null;0;
2023-06-30;23;286,2;950,4;21,4;null;0;
2023-07-31;17;129,4;951,3;21,2;null;0;
2023-08-31;18;133;950,4;21,2;null;null;
2023-09-30;16;120;950;21,4;null;null;
2023-10-31;10;12,6;948,7;22,7;null;null;
2023-11-30;12;56;948,1;23,5;null;null;
2023-12-31;10;53,4;947,7;23,6;null;null;
2024-01-31;13;96,8;948,6;24,2;null;null;
2024-02-29;21;154,4;948,4;24,3;null;null;
2024-03-31;20;180,4;947,6;24,4;null;null;
2024-04-30;20;113,6;947,3;24;6,6;null;
2024-05-31;18;85;948,5;22,8;7,1;3,2;
2024-06-30;22;284;950;21,3;6,7;3,7;
2024-07-31;17;null;null;null;7,4;null;

