Nome: MACAJUBA
Codigo Estacao: A412
Latitude: -12.13166666
Longitude: -40.35416666
Altitude: 360
Situacao: Pane
Data Inicial: 2010-01-01
Data Final: 2024-07-20
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2010-01-31;11;88,6;973,3;26;9,8;2,7;
2010-02-28;8;18;972,9;27,2;8,9;3,2;
2010-03-31;17;229;972,6;26,1;8,3;2;
2010-04-30;16;131,6;973,6;24,5;7,5;1,8;
2010-05-31;6;2,4;974,3;24,5;6,1;1,7;
2010-06-30;7;18,8;977,7;22,4;9,2;2,3;
2010-07-31;21;26,4;978,3;21,3;10;2,7;
2010-08-31;1;null;null;20,8;8,8;null;
2010-09-30;null;null;null;null;null;null;
2010-10-31;1;null;null;26,1;8,2;null;
2010-11-30;2;null;null;26,3;8,9;null;
2010-12-31;1;null;null;null;null;null;
2011-01-31;null;null;null;null;null;null;
2011-02-28;null;null;null;null;null;null;
2011-03-31;1;null;null;null;null;null;
2011-04-30;null;null;null;null;null;null;
2011-05-31;null;null;null;null;null;null;
2011-06-30;null;null;null;null;null;null;
2011-07-31;null;null;null;null;null;null;
2011-08-31;12;null;977,7;22,4;7,6;2,7;
2011-09-30;9;12,4;978,2;22,3;9,1;3,2;
2011-10-31;null;null;973,3;24,8;9,8;3,3;
2011-11-30;3;null;973,4;23,5;9,9;3,3;
2011-12-31;3;null;null;25,5;8,5;null;
2012-01-31;3;null;973,1;26,1;10,1;3,2;
2012-02-29;12;46,2;973,1;25,7;8,8;3;
2012-03-31;2;11,8;973,4;26,4;9,5;3;
2012-04-30;6;8,2;973,7;25,7;8,7;2,8;
2012-05-31;13;25;975,7;24,2;7,6;2,5;
2012-06-30;15;34,4;977,2;23,3;8,7;2,6;
2012-07-31;13;32,6;977,8;21,8;7,9;2,6;
2012-08-31;18;55,4;979,4;21,4;9,5;3,3;
2012-09-30;7;5,6;977,8;23,7;9,7;3,5;
2012-10-31;9;6,8;974,9;25;10,2;4,1;
2012-11-30;12;78,8;972,2;25,5;9;2,7;
2012-12-31;3;5,8;972,3;26,9;8,8;3,2;
2013-01-31;9;146,6;973;26,6;13,6;3;
2013-02-28;10;37,2;973,1;26,5;11;3,2;
2013-03-31;5;5;973,1;27,5;9,8;3,2;
2013-04-30;9;35;974;25,9;11,2;2,7;
2013-05-31;9;25,2;975,2;24,8;7,7;2,6;
2013-06-30;19;63,8;976,6;22,9;7,3;2,1;
2013-07-31;16;47,4;978;21,9;8,5;2,1;
2013-08-31;19;32,8;977,5;22,1;9,5;2,7;
2013-09-30;12;23;976,7;23,7;9,4;3,4;
2013-10-31;13;14;975,1;25,2;10,3;4,1;
2013-11-30;9;29,4;972,8;25,6;9,6;3,8;
2013-12-31;12;207,2;972,1;25,9;7,7;2,5;
2014-01-31;7;12,8;974,1;26;9,5;3,2;
2014-02-28;16;39,4;973,3;25,4;8,5;3,1;
2014-03-31;12;43,4;973,6;26;10,3;2,7;
2014-04-30;8;35,6;973,8;26,3;8,5;2,6;
2014-05-31;17;52,4;975,1;23,9;7,1;2,3;
2014-06-30;17;45,4;977,2;22,6;8,5;2,4;
2014-07-31;17;60,2;979,4;22;8,1;2,5;
2014-08-31;15;32,8;978,7;22;9,5;2,6;
2014-09-30;12;24,8;977;23,5;11,4;3,4;
2014-10-31;7;14,8;975,9;24,9;9,8;4;
2014-11-30;14;63,2;973,4;25,2;9,6;3;
2014-12-31;21;279;973,9;24,7;9,1;2,5;
2015-01-31;3;4;974,8;26,1;8,8;2,6;
2015-02-28;12;90,2;973,9;25,9;11,5;2,6;
2015-03-31;3;4,4;973,4;27;8;2,6;
2015-04-30;9;28,2;973,6;26,2;7,3;2,2;
2015-05-31;19;72;975,9;23,7;8,1;2;
2015-06-30;26;85,6;978,3;21,8;7,9;1,9;
2015-07-31;24;52,8;978,5;21,7;8,1;2;
2015-08-31;20;50,6;978,2;22;9,8;2,7;
2015-09-30;7;10,8;976,1;24,7;8,4;3,1;
2015-10-31;5;7,8;975,6;25,9;9,2;3,6;
2015-11-30;2;1,2;972,5;28;9,3;3,5;
2015-12-31;2;7,2;974,3;28;10,4;3,9;
2016-01-31;19;426;973,1;26;8,4;2,4;
2016-02-29;5;4,6;974,4;26,5;7,5;2,5;
2016-03-31;12;23,2;974,6;26,9;9,1;2,5;
2016-04-30;15;31,4;974,5;25,6;8,5;2,4;
2016-05-31;12;46;976,6;24,1;7,3;2;
2016-06-30;10;23;978,1;23,2;7,3;2,1;
2016-07-31;16;62,8;978,5;21,7;9,4;2,1;
2016-08-31;14;46,2;977,9;22,8;7,9;2,6;
2016-09-30;13;38,6;977,1;23,5;9,2;2,9;
2016-10-31;11;103;974,4;25,1;8,7;3,1;
2016-11-30;9;87,6;973,4;25,3;9,3;2,7;
2016-12-31;9;15;973;26,6;9,3;3,1;
2017-01-31;2;3,8;973,5;27,1;9,6;3,4;
2017-02-28;10;27,8;973,2;26,8;10,3;3,3;
2017-03-31;4;9,2;973;27;8,9;2,9;
2017-04-30;12;115,4;974,2;25,5;9,9;2,6;
2017-05-31;4;3,4;975,7;23,7;7;2,2;
2017-06-30;9;6;977,5;22,8;8,5;2,5;
2017-07-31;16;16,2;980,7;20,6;9,6;3;
2017-08-31;13;16,2;977,9;21,9;8,2;2,4;
2017-09-30;2;null;null;null;null;null;
2017-10-31;5;null;975,2;25,3;9,4;4,1;
2017-11-30;9;84,4;972,8;25,5;9,2;3;
2017-12-31;8;54,4;972,4;26,4;8,2;2,7;
2018-01-31;6;80,6;973,1;26,4;8;2,8;
2018-02-28;8;74;972,4;26,4;7,5;2,5;
2018-03-31;17;106,2;972,5;26;7,6;1,9;
2018-04-30;null;null;974,8;24,4;7,8;1,8;
2018-05-31;null;null;976,3;23,2;8,3;1,7;
2018-06-30;null;null;978,1;22,2;8,1;1,7;
2018-07-31;null;null;978,4;21,8;8,8;1,6;
2018-08-31;10;33,8;978,2;23;8,5;2,3;
2018-09-30;7;9,2;975,6;24,3;9,8;2,3;
2018-10-31;3;3,2;973,8;26,4;8,7;1,1;
2018-11-30;11;26;973,5;26,2;9,6;1,6;
2018-12-31;10;32,6;974;25,1;8,2;,4;
2019-01-31;9;17,4;974,9;27,1;9,2;1,7;
2019-02-28;9;28,2;972,7;28,1;8,7;1,5;
2019-03-31;11;135,8;973,4;26,9;11,9;2,3;
2019-04-30;13;37,2;973,7;25,5;6,1;1,7;
2019-05-31;15;40,6;974,6;25,1;6,2;1,8;
2019-06-30;21;68,6;978,2;22,6;7,2;2,2;
2019-07-31;18;48,4;978,1;21,7;7,5;2,2;
2019-08-31;21;74;979,7;21,5;8,9;2,5;
2019-09-30;16;47,4;977,1;23,3;8,9;2,7;
2019-10-31;10;7,4;974,6;25,8;9;3,7;
2019-11-30;5;30,4;972,5;27;9,4;3,6;
2019-12-31;6;20,4;972,7;27,4;9,4;3,7;
2020-01-31;9;37,8;973;26,5;7,6;2,4;
2020-02-29;null;null;973,3;27,4;8;2,6;
2020-03-31;null;null;973;26;9,2;2,1;
2020-04-30;null;null;974,5;24,8;6,2;1,8;
2020-05-31;null;null;976,2;23,5;8,9;1,8;
2020-06-30;null;null;977,4;22,3;8,6;2,1;
2020-07-31;null;null;977,7;21,3;8,1;2,2;
2020-08-31;null;null;977,9;21,5;7,5;2,2;
2020-09-30;null;null;977;22,8;9;2,7;
2020-10-31;null;null;973,9;25,8;7,8;2,8;
2020-11-30;null;null;null;24,7;8,7;null;
2020-12-31;null;null;973,4;26,3;8,2;2,6;
2021-01-31;null;null;null;null;8,5;null;
2021-02-28;null;null;null;null;9,3;null;
2021-03-31;null;null;null;null;8,3;null;
2021-04-30;null;null;null;null;8,3;null;
2021-05-31;null;null;null;null;6,1;null;
2021-06-30;null;null;null;null;6,7;null;
2021-07-31;null;null;null;null;7,3;null;
2021-08-31;null;null;null;null;8,7;null;
2021-09-30;null;null;null;null;7,3;null;
2021-10-31;9;null;null;26,5;8,9;null;
2021-11-30;null;null;null;null;null;null;
2021-12-31;null;null;null;null;null;null;
2022-01-31;null;null;null;null;null;null;
2022-02-28;null;null;null;null;null;null;
2022-03-31;null;null;null;null;null;null;
2022-04-30;null;null;null;null;null;null;
2022-05-31;null;null;null;null;null;null;
2022-06-30;null;null;null;null;null;null;
2022-07-31;null;null;null;null;null;null;
2022-08-31;null;null;null;null;null;null;
2022-09-30;null;null;null;null;null;null;
2022-10-31;null;null;null;null;null;null;
2022-11-30;null;null;null;null;null;null;
2022-12-31;null;null;null;null;null;null;
2023-01-31;null;null;null;null;null;null;
2023-02-28;null;null;null;null;null;null;
2023-03-31;null;null;null;null;null;null;
2023-04-30;null;null;null;null;null;null;
2023-05-31;null;null;null;null;null;null;
2023-06-30;null;null;null;null;null;null;
2023-07-31;null;null;null;null;null;null;
2023-08-31;2;null;null;null;null;null;
2023-09-30;13;43,6;976,5;24,3;8,2;2,8;
2023-10-31;4;4,8;974;26,6;8,8;3,2;
2023-11-30;7;7;972,9;27,5;7,9;3,1;
2023-12-31;5;12,6;972,8;27,9;8,6;3,3;
2024-01-31;8;187,2;972,8;27,8;9,3;2,5;
2024-02-29;5;null;null;null;null;null;
2024-03-31;null;null;null;null;null;null;
2024-04-30;null;null;null;null;null;null;
2024-05-31;null;null;null;null;null;null;
2024-06-30;null;null;null;null;null;null;
2024-07-31;null;null;null;null;null;null;

